,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600095,湘财股份,9.87,5.45,0.51,0.0,8.62,3.85,9.19,9.48亿,11.30亿,111.55亿,--
1,2,002670,国盛金控,9.39,4.1,0.37,0.11,4.62,4.31,6.99,7.06亿,16.23亿,152.43亿,--
2,3,600100,同方股份,5.89,3.52,0.2,-0.51,3.0,2.18,6.33,5.15亿,29.64亿,174.57亿,--
3,4,002116,中国海诚,12.55,3.12,0.38,0.0,5.48,3.11,7.81,2.87亿,4.16亿,52.26亿,23.09
4,5,600713,南京医药,5.44,2.45,0.13,0.0,2.27,4.95,3.01,1.29亿,10.42亿,56.66亿,11.37
5,6,000563,陕国投A,3.38,2.42,0.08,0.0,0.55,2.15,2.73,0.73亿,39.64亿,133.98亿,18.99
6,7,601390,中国中铁,5.98,2.4,0.14,0.17,0.4,1.84,2.4,4.79亿,203.63亿,1217.74亿,4.82
7,8,300085,银之杰,12.14,2.27,0.27,0.17,4.47,2.26,5.98,2.82亿,5.27亿,63.99亿,--
8,9,601318,中国平安,49.96,2.21,1.08,0.26,0.29,1.45,2.02,15.53亿,108.33亿,5412.00亿,8.96
9,10,600802,福建水泥,5.9,2.08,0.12,0.0,1.17,2.2,2.42,0.31亿,4.58亿,27.04亿,--
10,11,600190,锦州港,3.61,1.98,0.07,0.56,1.06,1.0,2.83,0.67亿,17.79亿,64.24亿,70.00
11,12,000987,越秀资本,6.67,1.83,0.12,0.15,0.24,1.75,2.14,0.79亿,50.17亿,334.61亿,13.34
12,13,600054,黄山旅游,12.05,1.77,0.21,-0.08,0.9,1.35,2.62,0.56亿,5.13亿,61.85亿,--
13,14,603999,读者传媒,6.17,1.65,0.1,0.16,0.75,1.3,1.81,0.26亿,5.76亿,35.54亿,41.17
14,15,000538,云南白药,57.48,1.65,0.93,0.07,0.31,2.21,1.86,3.00亿,16.85亿,968.30亿,33.61
15,16,601999,出版传媒,6.9,1.62,0.11,0.0,0.88,1.58,3.24,0.33亿,5.51亿,38.01亿,80.68
16,17,603116,红蜻蜓,5.49,1.48,0.08,0.0,0.3,1.21,1.85,0.09亿,5.76亿,31.63亿,108.60
17,18,000900,现代投资,4.36,1.4,0.06,-0.23,0.37,1.51,1.86,0.24亿,15.18亿,66.17亿,11.01
18,19,600155,华创阳安,7.27,1.4,0.1,0.14,1.18,2.43,1.81,1.49亿,17.40亿,126.47亿,65.30
19,20,600643,爱建集团,5.82,1.39,0.08,0.0,0.26,1.96,1.74,0.25亿,16.19亿,94.23亿,10.63
20,21,600864,哈投股份,5.09,1.39,0.07,0.0,0.49,1.68,2.39,0.52亿,20.81亿,105.90亿,--
21,22,000690,宝新能源,6.58,1.39,0.09,0.0,0.42,0.48,2.62,0.60亿,21.74亿,143.08亿,56.45
