,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,000735,罗牛山,8.13,10.01,0.74,0.0,4.96,5.51,9.61,4.50亿,11.51亿,93.57亿,1180.63
1,2,603009,北特科技,7.73,9.96,0.7,0.0,6.49,5.07,9.96,1.66亿,3.38亿,26.16亿,55.40
2,3,300271,华宇软件,10.21,9.67,0.9,-0.1,8.43,3.12,15.9,5.73亿,6.91亿,70.59亿,--
3,4,002555,三七互娱,24.06,7.84,1.75,-0.17,3.08,3.94,7.71,11.85亿,16.36亿,393.51亿,17.73
4,5,600536,中国软件,79.99,6.5,4.88,0.23,6.21,3.56,11.88,31.30亿,6.43亿,514.28亿,--
5,6,300133,华策影视,5.8,6.23,0.34,0.17,3.04,3.1,7.14,2.80亿,16.18亿,93.87亿,27.47
6,7,300058,蓝色光标,6.28,4.32,0.26,0.16,5.96,2.33,6.64,8.69亿,23.19亿,145.63亿,386.26
7,8,600282,南钢股份,3.97,4.2,0.16,0.25,1.48,0.92,4.99,2.59亿,44.67亿,177.34亿,8.84
8,9,002148,北纬科技,6.77,4.15,0.27,0.0,10.5,1.83,8.62,3.18亿,4.52亿,30.58亿,166.69
9,10,002624,完美世界,15.16,3.55,0.52,-0.13,3.31,3.1,4.51,9.12亿,18.27亿,277.03亿,15.30
10,11,600100,同方股份,5.89,3.52,0.2,-0.51,3.0,2.18,6.33,5.15亿,29.64亿,174.57亿,--
11,12,300485,赛升药业,13.15,3.3,0.42,0.31,4.07,2.83,3.3,1.43亿,2.70亿,35.54亿,18.80
12,13,002279,久其软件,9.19,3.26,0.29,0.33,14.19,2.87,7.98,10.07亿,7.88亿,72.42亿,--
13,14,300084,海默科技,6.5,3.17,0.2,-0.15,4.89,1.57,5.56,1.04亿,3.30亿,21.43亿,--
14,15,000728,国元证券,7.16,3.17,0.22,0.0,1.76,4.8,4.32,5.46亿,43.64亿,312.45亿,18.18
15,16,002238,天威视讯,8.2,3.15,0.25,0.0,3.63,3.3,4.91,2.38亿,8.03亿,65.81亿,60.00
16,17,300043,星辉娱乐,3.33,3.1,0.1,0.0,3.97,2.96,4.64,1.23亿,9.38亿,31.23亿,--
17,18,300226,上海钢联,34.33,3.09,1.03,-0.06,2.83,2.0,8.68,2.52亿,2.57亿,88.37亿,49.90
18,19,000938,紫光股份,26.13,2.79,0.71,0.12,1.83,1.48,5.74,13.38亿,28.60亿,747.34亿,34.18
19,20,002137,实益达,8.13,2.52,0.2,0.0,7.25,2.11,4.92,2.27亿,3.91亿,31.75亿,23.32
20,21,601390,中国中铁,5.98,2.4,0.14,0.17,0.4,1.84,2.4,4.79亿,203.63亿,1217.74亿,4.82
21,22,002317,众生药业,23.38,2.36,0.54,0.34,4.29,1.98,3.94,7.02亿,7.07亿,165.35亿,57.42
22,23,000100,TCL科技,4.58,2.23,0.1,-0.22,3.2,3.32,3.35,19.97亿,136.52亿,625.27亿,208.94
23,24,600757,长江传媒,6.05,2.2,0.13,0.0,1.22,2.99,4.05,0.90亿,12.13亿,73.42亿,7.82
24,25,002587,奥拓电子,6.73,2.12,0.14,0.15,9.61,1.46,5.77,3.33亿,5.09亿,34.25亿,138.25
25,26,002673,西部证券,6.84,2.09,0.14,0.15,0.61,1.55,2.54,1.72亿,41.09亿,281.07亿,46.10
26,27,600373,中文传媒,10.27,2.09,0.21,0.0,0.46,1.74,2.48,0.63亿,13.55亿,139.16亿,8.63
27,28,000686,东北证券,6.92,2.06,0.14,0.15,0.52,1.79,2.06,0.83亿,23.40亿,161.96亿,44.12
28,29,002292,奥飞娱乐,5.56,2.02,0.11,-0.18,7.75,2.24,5.5,4.22亿,9.75亿,54.23亿,--
29,30,300634,彩讯股份,20.38,2.0,0.4,0.05,4.41,2.6,6.11,3.71亿,4.20亿,85.58亿,42.43
30,31,000793,华闻集团,2.7,1.89,0.05,0.37,3.2,1.59,4.15,1.68亿,19.61亿,52.95亿,--
