,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002131,利欧股份,2.16,8.54,0.17,0.47,8.82,3.7,10.55,10.91亿,58.35亿,126.03亿,--
1,2,600095,湘财股份,9.87,5.45,0.51,0.0,8.62,3.85,9.19,9.48亿,11.30亿,111.55亿,--
2,3,603165,荣晟环保,12.65,3.69,0.45,-0.08,2.5,4.55,7.46,0.89亿,2.78亿,35.22亿,19.56
3,4,600272,开开实业,10.3,3.31,0.33,0.0,4.97,4.68,8.83,0.82亿,1.60亿,16.48亿,56.28
4,5,000158,常山北明,6.67,3.25,0.21,1.37,1.71,1.98,4.33,1.76亿,15.81亿,105.47亿,--
5,6,600790,轻纺城,4.63,2.89,0.13,0.0,0.78,2.79,2.89,0.52亿,14.66亿,67.87亿,7.45
6,7,000705,浙江震元,8.69,2.23,0.19,0.12,4.58,3.6,2.59,1.12亿,2.82亿,24.49亿,42.19
7,8,000100,TCL科技,4.58,2.23,0.1,-0.22,3.2,3.32,3.35,19.97亿,136.52亿,625.27亿,208.94
8,9,002424,贵州百灵,8.54,2.15,0.18,0.24,4.27,2.47,2.99,4.35亿,12.01亿,102.54亿,90.21
9,10,300468,四方精创,11.89,2.15,0.25,0.17,3.73,1.84,3.18,2.32亿,5.29亿,62.91亿,84.48
10,11,600070,浙江富润,6.38,2.08,0.13,-0.31,1.69,1.6,3.84,0.54亿,5.07亿,32.33亿,--
11,12,600802,福建水泥,5.9,2.08,0.12,0.0,1.17,2.2,2.42,0.31亿,4.58亿,27.04亿,--
12,13,002444,巨星科技,22.46,2.04,0.45,0.09,0.82,1.17,2.18,2.12亿,11.56亿,259.54亿,16.04
13,14,601601,中国太保,28.15,1.88,0.52,0.18,0.19,1.04,2.79,3.71亿,68.45亿,1926.88亿,10.02
14,15,600222,太龙药业,6.52,1.88,0.12,0.31,1.92,1.7,2.03,0.71亿,5.74亿,37.42亿,--
15,16,601900,南方传媒,8.75,1.86,0.16,0.0,0.31,1.9,1.98,0.24亿,8.96亿,78.39亿,10.80
16,17,600750,江中药业,16.0,1.85,0.29,0.13,1.01,1.85,2.67,1.00亿,6.24亿,99.79亿,14.96
17,18,600981,汇鸿集团,2.85,1.79,0.05,0.0,0.49,2.31,2.86,0.31亿,22.42亿,63.91亿,--
18,19,603858,步长制药,20.53,1.73,0.35,0.2,0.58,1.63,2.18,1.31亿,11.06亿,227.07亿,13.44
19,20,600516,方大炭素,6.74,1.66,0.11,0.0,0.76,2.68,2.11,1.94亿,38.06亿,256.52亿,41.22
20,21,002412,汉森制药,6.59,1.54,0.1,0.0,1.12,1.38,1.54,0.36亿,4.94亿,32.53亿,19.12
21,22,600382,ST广珠,4.67,1.52,0.07,-0.21,0.45,1.45,1.74,0.17亿,7.89亿,36.84亿,8.93
22,23,002315,焦点科技,20.48,1.49,0.3,0.15,4.41,1.5,3.72,1.72亿,1.91亿,39.18亿,19.81
23,24,000501,武商集团,11.11,1.46,0.16,-0.09,0.67,1.73,2.01,0.57亿,7.68亿,85.33亿,19.31
24,25,601929,吉视传媒,2.1,1.45,0.03,0.48,1.03,1.55,2.42,0.71亿,33.01亿,69.33亿,--
25,26,601688,华泰证券,12.77,1.43,0.18,0.08,0.43,2.0,1.51,4.00亿,73.12亿,933.76亿,11.11
26,27,600439,瑞贝卡,2.85,1.42,0.04,1.06,2.04,2.81,2.85,0.65亿,11.32亿,32.26亿,63.84
27,28,000900,现代投资,4.36,1.4,0.06,-0.23,0.37,1.51,1.86,0.24亿,15.18亿,66.17亿,11.01
28,29,600643,爱建集团,5.82,1.39,0.08,0.0,0.26,1.96,1.74,0.25亿,16.19亿,94.23亿,10.63
29,30,600864,哈投股份,5.09,1.39,0.07,0.0,0.49,1.68,2.39,0.52亿,20.81亿,105.90亿,--
