,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600282,南钢股份,3.95,3.67,0.14,0.25,1.42,0.92,4.99,2.48亿,44.67亿,176.44亿,8.79
1,2,300084,海默科技,6.52,3.49,0.22,-1.06,4.74,1.59,5.56,1.01亿,3.30亿,21.50亿,--
2,3,600871,石化油服,2.15,1.9,0.04,0.47,0.17,1.29,1.9,0.49亿,135.69亿,291.74亿,110.76
3,4,600028,中国石化,4.56,1.11,0.05,-0.22,0.08,2.58,1.55,3.65亿,951.15亿,4337.27亿,7.24
4,5,601808,中海油服,16.17,0.31,0.05,0.0,0.06,0.52,0.93,0.29亿,29.60亿,478.71亿,28.05
5,6,002278,神开股份,5.8,0.17,0.01,-0.17,0.66,0.81,1.55,0.13亿,3.41亿,19.77亿,378.38
6,7,600098,广州发展,5.9,0.17,0.01,0.0,0.17,0.78,0.51,0.32亿,32.07亿,189.20亿,12.87
7,8,000039,中集集团,7.74,0.0,0.0,-0.13,0.37,0.57,1.16,0.66亿,23.01亿,178.13亿,10.04
8,9,300191,潜能恒信,19.87,-0.15,-0.03,0.0,0.26,0.61,0.75,0.11亿,2.20亿,43.73亿,111.95
9,10,000852,石化机械,6.31,-0.16,-0.01,-0.16,0.39,0.81,0.95,0.22亿,9.03亿,57.01亿,91.71
10,11,000554,泰山石油,6.0,-0.17,-0.01,-0.17,1.84,0.99,1.33,0.40亿,3.63亿,21.76亿,287.79
11,12,300157,恒泰艾普,3.85,-1.28,-0.05,0.26,1.9,1.16,3.59,0.51亿,6.98亿,26.87亿,--
