,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,000063,中兴通讯,30.59,5.12,1.49,-0.07,1.57,3.42,6.77,18.75亿,39.80亿,1217.45亿,15.93
1,2,002415,海康威视,37.78,4.42,1.6,-0.5,0.46,3.28,5.06,15.76亿,91.09亿,3441.29亿,30.01
2,3,688111,金山办公,305.06,3.33,9.83,-0.86,0.44,1.14,4.77,6.10亿,4.61亿,1407.13亿,129.79
3,4,600600,青岛啤酒,109.03,3.07,3.25,0.34,0.47,1.6,3.56,3.55亿,7.00亿,763.51亿,26.14
4,5,601888,中国中免,206.4,2.94,5.9,-0.16,0.48,1.85,3.17,19.07亿,19.52亿,4029.91亿,84.98
5,6,601360,三六零,11.47,2.41,0.27,1.78,4.3,1.51,5.98,34.05亿,71.45亿,819.57亿,--
6,7,300059,东方财富,22.16,2.31,0.5,0.14,0.92,2.19,2.45,22.49亿,110.89亿,2457.25亿,33.30
7,8,601633,长城汽车,33.61,2.28,0.75,0.06,0.23,1.81,2.59,4.70亿,61.33亿,2061.13亿,35.23
8,9,002027,分众传媒,6.96,2.2,0.15,0.14,0.36,1.53,3.08,3.64亿,144.42亿,1005.18亿,35.38
9,10,600585,海螺水泥,30.6,2.13,0.64,-0.13,0.48,1.84,2.5,5.88亿,40.00亿,1225.11亿,9.80
10,11,601318,中国平安,49.92,2.13,1.04,-0.12,0.25,1.59,1.92,13.55亿,108.33亿,5407.67亿,8.95
11,12,600588,用友网络,25.8,2.02,0.51,-0.35,0.46,1.27,3.99,3.97亿,34.17亿,881.55亿,--
12,13,600809,山西汾酒,302.48,1.84,5.46,0.04,0.17,1.02,2.62,6.12亿,12.18亿,3683.34亿,38.94
13,14,600436,片仔癀,316.43,1.6,4.98,0.06,0.18,1.78,2.05,3.47亿,6.03亿,1909.08亿,77.32
14,15,688223,晶科能源,14.69,1.59,0.23,0.0,1.65,2.12,3.94,4.74亿,19.60亿,287.92亿,65.74
15,16,603288,海天味业,79.29,1.59,1.24,0.04,0.07,1.6,1.79,2.48亿,46.34亿,3674.17亿,59.04
16,17,600519,贵州茅台,1870.2,1.59,29.2,0.01,0.12,1.52,2.63,27.65亿,12.56亿,23493.40亿,39.69
17,18,002129,TCL中环,43.72,1.56,0.67,-0.21,0.78,2.54,2.95,11.05亿,32.30亿,1412.19亿,21.19
18,19,300433,蓝思科技,13.89,1.46,0.2,-0.22,0.46,0.97,2.48,3.15亿,49.61亿,689.02亿,68.23
19,20,300015,爱尔眼科,33.03,1.38,0.45,0.06,0.18,1.08,2.46,3.49亿,58.03亿,1916.74亿,75.42
20,21,600690,海尔智家,26.61,1.37,0.36,0.08,0.14,1.3,2.06,2.36亿,63.09亿,1679.34亿,16.17
21,22,000858,五粮液,213.88,1.36,2.88,0.05,0.26,1.23,3.17,21.14亿,38.81亿,8301.64亿,31.15
22,23,000538,云南白药,57.32,1.36,0.77,-0.02,0.28,2.49,1.86,2.68亿,16.85亿,965.61亿,33.51
