,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,603098,森特股份,28.87,0.91,0.26,0.0,0.08,1.51,0.91,0.12亿,5.39亿,155.55亿,116.48
1,2,300715,凯伦股份,14.92,0.68,0.1,0.0,0.13,0.76,1.49,0.05亿,2.79亿,41.61亿,192.41
2,3,002377,国创高新,2.8,0.36,0.01,0.0,0.53,2.35,2.15,0.14亿,9.16亿,25.65亿,--
3,4,300587,天铁股份,12.35,0.16,0.02,-0.16,0.24,0.94,1.05,0.27亿,9.29亿,114.78亿,29.62
4,5,605001,威奥股份,8.09,0.12,0.01,0.0,0.41,1.04,1.11,0.08亿,2.39亿,19.36亿,--
5,6,300621,维业股份,9.45,0.11,0.01,0.0,0.31,1.11,2.23,0.06亿,1.94亿,18.34亿,696.62
6,7,002591,恒大高新,8.2,0.0,0.0,0.0,4.43,0.82,2.32,0.78亿,2.17亿,17.77亿,--
7,8,300128,锦富技术,4.24,0.0,0.0,0.0,1.09,2.04,2.83,0.51亿,10.93亿,46.34亿,254.28
8,9,300473,德尔股份,22.57,-0.04,-0.01,0.09,5.5,1.34,4.78,1.66亿,1.34亿,30.25亿,--
9,10,300263,隆华科技,9.05,-0.11,-0.01,-0.33,1.84,1.05,2.54,1.29亿,7.72亿,69.86亿,39.96
10,11,300993,玉马遮阳,14.16,-0.35,-0.05,-0.21,0.85,1.5,0.98,0.09亿,0.77亿,10.83亿,21.19
11,12,002480,新筑股份,5.51,-0.54,-0.03,0.0,0.64,0.79,1.26,0.23亿,6.45亿,35.53亿,--
12,13,688175,高凌信息,39.55,-0.63,-0.25,-0.43,1.52,1.65,2.51,0.11亿,0.19亿,7.35亿,65.84
13,14,600458,时代新材,10.99,-0.81,-0.09,0.0,0.28,1.36,2.17,0.25亿,8.03亿,88.23亿,31.85
14,15,300169,天晟新材,4.87,-0.81,-0.04,0.0,0.23,0.86,1.02,0.03亿,3.02亿,14.69亿,--
15,16,300980,祥源新材,20.16,-0.93,-0.19,-0.15,0.41,1.44,1.23,0.04亿,0.51亿,10.28亿,31.74
