,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002663,普邦股份,2.28,10.14,0.21,0.0,3.15,4.07,11.11,0.87亿,12.48亿,28.45亿,--
1,2,300261,雅本化学,13.61,4.69,0.61,0.15,8.52,2.96,9.62,10.96亿,9.50亿,129.23亿,54.17
2,3,600168,武汉控股,6.42,3.21,0.2,0.16,1.84,9.15,9.32,0.84亿,7.10亿,45.55亿,37.47
3,4,300779,惠城环保,45.0,2.98,1.3,0.22,2.82,1.5,6.61,1.13亿,0.90亿,40.43亿,--
4,5,600217,中再资环,5.23,2.95,0.15,-0.19,1.25,3.02,3.54,0.89亿,13.89亿,72.63亿,84.89
5,6,301109,军信股份,17.22,2.93,0.49,0.0,3.27,4.18,4.12,0.50亿,0.89亿,15.39亿,16.13
6,7,002310,东方园林,2.21,2.79,0.06,0.46,1.43,3.02,2.33,0.81亿,26.05亿,57.58亿,--
7,8,002596,海南瑞泽,3.71,2.77,0.1,0.0,4.08,2.47,4.43,1.58亿,10.41亿,38.64亿,201.10
8,9,002674,兴业科技,12.16,1.84,0.22,-0.08,0.47,1.57,2.6,0.17亿,2.89亿,35.13亿,20.20
9,10,000151,中成股份,14.41,1.69,0.24,-0.21,5.55,1.42,3.46,2.14亿,2.67亿,38.41亿,--
10,11,688309,*ST恒誉,22.23,1.6,0.35,0.05,0.47,0.65,1.74,0.05亿,0.45亿,9.99亿,2801.36
11,12,000900,现代投资,4.36,1.4,0.06,-0.23,0.37,1.51,1.86,0.24亿,15.18亿,66.17亿,11.01
12,13,600874,创业环保,6.46,1.25,0.08,0.16,0.33,1.71,1.25,0.23亿,10.87亿,70.23亿,12.02
13,14,603843,正平股份,4.63,1.09,0.05,0.22,0.76,1.19,1.09,0.24亿,7.00亿,32.39亿,100.85
14,15,301127,天源环保,10.76,1.03,0.11,-0.09,0.75,1.42,1.6,0.20亿,2.44亿,26.30亿,30.04
15,16,601827,三峰环境,7.27,0.97,0.07,0.14,0.25,0.78,1.11,0.14亿,8.00亿,58.14亿,10.64
16,17,600710,苏美达,6.37,0.95,0.06,0.0,0.39,1.25,1.11,0.33亿,13.07亿,83.24亿,9.24
17,18,600746,江苏索普,8.92,0.91,0.08,-0.11,0.59,1.34,1.58,0.22亿,4.24亿,37.83亿,11.01
18,19,601330,绿色动力,7.23,0.84,0.06,0.14,0.22,1.25,0.98,0.15亿,9.89亿,71.51亿,12.79
19,20,300422,博世科,6.26,0.81,0.05,0.0,0.35,0.8,1.29,0.08亿,3.84亿,24.04亿,--
20,21,603759,海天股份,10.1,0.8,0.08,0.0,2.19,1.96,2.89,0.44亿,1.95亿,19.72亿,21.74
21,22,000598,兴蓉环境,5.1,0.79,0.04,0.2,0.32,1.48,0.99,0.48亿,29.69亿,151.40亿,8.30
22,23,601727,上海电气,4.22,0.72,0.03,0.0,0.12,1.4,1.19,0.62亿,126.55亿,534.05亿,--
23,24,000401,冀东水泥,9.02,0.67,0.06,0.0,0.39,1.14,1.79,0.55亿,15.47亿,139.57亿,11.00
24,25,002672,东江环保,6.1,0.66,0.04,0.0,0.28,1.23,0.49,0.11亿,6.79亿,41.42亿,--
25,26,300867,圣元环保,18.83,0.64,0.12,0.05,0.86,0.86,1.34,0.25亿,1.54亿,29.04亿,24.11
26,27,300425,中建环能,4.84,0.62,0.03,0.0,0.44,0.85,0.62,0.14亿,6.72亿,32.52亿,45.15
27,28,603588,高能环境,10.91,0.55,0.06,0.0,0.52,2.44,3.32,0.84亿,14.86亿,162.09亿,20.71
28,29,000005,ST星源,1.83,0.55,0.01,0.55,0.37,1.23,0.55,0.07亿,10.58亿,19.36亿,144.26
29,30,000826,启迪环境,3.77,0.53,0.02,0.0,0.43,0.62,0.8,0.23亿,14.31亿,53.93亿,--
30,31,688679,通源环境,12.55,0.48,0.06,-0.16,0.5,1.31,2.32,0.04亿,0.60亿,7.49亿,34.62
31,32,002051,中工国际,8.82,0.46,0.04,0.11,0.4,0.7,1.71,0.43亿,12.37亿,109.11亿,24.84
32,33,002210,飞马国际,2.4,0.42,0.01,0.0,0.59,1.14,0.84,0.38亿,26.59亿,63.83亿,901.91
33,34,002479,富春环保,4.82,0.42,0.02,0.21,0.76,0.8,1.67,0.32亿,8.61亿,41.52亿,23.67
34,35,000820,神雾节能,5.01,0.4,0.02,0.0,1.66,0.9,2.0,0.24亿,2.88亿,14.41亿,--
35,36,000885,城发环境,10.72,0.38,0.04,0.0,0.39,0.96,0.94,0.26亿,6.42亿,68.83亿,6.21
36,37,000838,财信发展,5.39,0.37,0.02,0.0,0.35,0.84,0.74,0.20亿,10.53亿,56.76亿,--
37,38,002034,旺能环境,19.16,0.37,0.07,0.05,0.2,0.85,0.63,0.17亿,4.27亿,81.75亿,11.43
38,39,300664,鹏鹞环保,5.55,0.36,0.02,0.0,0.4,0.98,0.72,0.16亿,7.04亿,39.10亿,11.16
39,40,300145,中金环境,2.81,0.36,0.01,0.36,0.4,0.62,1.07,0.21亿,18.94亿,53.21亿,30.21
40,41,600008,首创环保,2.93,0.34,0.01,0.0,0.26,0.78,0.69,0.55亿,73.41亿,215.08亿,4.96
41,42,002658,雪迪龙,9.11,0.33,0.03,-0.11,1.08,0.58,0.99,0.34亿,3.45亿,31.41亿,18.70
42,43,601200,上海环境,9.47,0.32,0.03,0.0,0.2,0.98,0.85,0.21亿,11.22亿,106.24亿,17.54
43,44,000605,渤海股份,6.58,0.3,0.02,0.0,0.56,0.96,1.07,0.12亿,3.38亿,22.22亿,165.93
44,45,603686,福龙马,11.61,0.26,0.03,-0.09,2.55,0.58,3.54,1.24亿,4.16亿,48.26亿,17.41
45,46,300172,中电环保,4.86,0.21,0.01,0.0,0.44,0.74,0.62,0.11亿,4.97亿,24.16亿,26.90
46,47,600736,苏州高新,5.24,0.19,0.01,0.0,0.68,0.77,0.77,0.41亿,11.51亿,60.33亿,23.11
47,48,300385,雪浪环境,6.56,0.15,0.01,-0.15,0.19,0.58,0.92,0.04亿,2.87亿,18.85亿,--
48,49,300140,中环装备,8.18,0.12,0.01,0.0,1.06,0.88,1.96,0.37亿,4.23亿,34.63亿,--
49,50,000544,中原环保,6.86,0.0,0.0,-0.15,0.26,0.54,0.88,0.17亿,9.75亿,66.86亿,12.26
50,51,000652,泰达股份,4.27,0.0,0.0,-0.23,0.34,0.83,0.7,0.21亿,14.74亿,62.96亿,34.86
51,52,002340,格林美,7.95,0.0,0.0,0.13,0.41,0.94,0.5,1.66亿,50.75亿,403.45亿,30.44
52,53,300237,美晨生态,2.37,0.0,0.0,-0.42,0.9,1.32,1.69,0.31亿,14.38亿,34.09亿,--
53,54,300262,巴安水务,2.88,0.0,0.0,-0.35,0.39,0.95,1.04,0.06亿,5.25亿,15.13亿,--
54,55,601388,怡球资源,3.64,0.0,0.0,0.0,0.49,0.94,0.82,0.36亿,20.21亿,73.56亿,20.71
55,56,601399,国机重装,3.25,0.0,0.0,0.62,0.34,0.92,1.23,0.35亿,31.49亿,102.33亿,55.70
56,57,002761,浙江建投,22.31,-0.09,-0.02,0.05,0.93,0.67,0.98,1.03亿,4.93亿,109.90亿,17.49
57,58,002469,三维化学,6.64,-0.15,-0.01,0.15,0.99,0.67,0.9,0.41亿,6.19亿,41.08亿,16.54
58,59,000546,金圆股份,12.64,-0.16,-0.02,0.08,0.83,0.95,1.26,0.75亿,7.11亿,89.93亿,32.93
59,60,000027,深圳能源,6.27,-0.16,-0.01,0.0,0.11,0.73,0.48,0.33亿,47.57亿,298.29亿,13.69
60,61,003039,顺控发展,18.38,-0.16,-0.03,0.0,1.0,0.75,0.98,0.23亿,1.23亿,22.52亿,47.41
61,62,600531,豫光金铅,5.77,-0.17,-0.01,0.0,0.56,0.97,0.86,0.35亿,10.90亿,62.91亿,17.41
62,63,000035,中国天楹,5.58,-0.18,-0.01,0.18,0.33,0.77,0.9,0.45亿,24.53亿,136.90亿,83.99
63,64,600988,赤峰黄金,18.8,-0.21,-0.04,0.11,0.72,0.92,1.59,2.23亿,16.64亿,312.81亿,59.23
64,65,300190,维尔利,4.47,-0.22,-0.01,0.0,0.27,0.86,1.12,0.09亿,7.76亿,34.69亿,64.96
65,66,301300,远翔新材,34.62,-0.23,-0.08,0.0,2.01,0.68,1.27,0.11亿,0.15亿,5.27亿,37.41
66,67,002266,浙富控股,4.17,-0.24,-0.01,0.0,0.25,0.78,0.72,0.33亿,31.97亿,133.30亿,16.10
67,68,301049,超越科技,23.77,-0.25,-0.06,-0.04,1.33,0.59,1.18,0.08亿,0.26亿,6.11亿,220.00
68,69,600323,瀚蓝环境,18.99,-0.26,-0.05,0.0,0.1,0.72,1.21,0.16亿,8.15亿,154.83亿,13.38
69,70,300103,达刚控股,6.87,-0.29,-0.02,-0.15,0.53,0.81,2.47,0.09亿,2.45亿,16.86亿,--
70,71,300187,永清环保,6.27,-0.32,-0.02,0.32,0.3,0.66,2.38,0.12亿,6.45亿,40.43亿,55.81
71,72,002483,润邦股份,6.12,-0.33,-0.02,0.16,0.74,0.43,1.47,0.40亿,8.85亿,54.18亿,25.65
72,73,002630,华西能源,3.0,-0.33,-0.01,0.0,1.24,1.08,0.67,0.36亿,9.71亿,29.14亿,--
73,74,688178,万德斯,20.11,-0.35,-0.07,0.0,0.21,0.94,1.54,0.04亿,0.85亿,17.09亿,24.81
74,75,000967,盈峰环境,5.68,-0.35,-0.02,0.18,0.43,0.78,2.28,0.78亿,31.78亿,180.49亿,25.89
