,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,000977,浪潮信息,40.14,7.58,2.83,0.48,11.74,2.28,7.16,66.79亿,14.62亿,586.79亿,28.50
1,2,600536,中国软件,80.77,7.54,5.66,-0.46,5.78,3.87,11.88,29.07亿,6.43亿,519.30亿,--
2,3,000063,中兴通讯,30.89,6.15,1.79,0.92,1.7,3.4,6.98,20.24亿,39.80亿,1229.39亿,16.09
3,4,002368,太极股份,40.99,6.05,2.34,0.66,3.54,2.39,11.56,8.31亿,5.88亿,240.91亿,154.87
4,5,000032,深桑达A,28.6,4.8,1.31,-0.94,5.4,2.72,12.53,9.75亿,6.45亿,184.40亿,--
5,6,300578,会畅通讯,20.65,4.77,0.94,-0.24,10.48,5.02,8.07,4.17亿,1.93亿,39.81亿,58.50
6,7,300598,诚迈科技,58.58,4.2,2.36,-0.48,4.47,2.82,6.56,4.13亿,1.60亿,93.77亿,--
7,8,600100,同方股份,5.91,3.87,0.22,0.34,2.62,2.22,5.62,4.48亿,29.64亿,175.17亿,--
8,9,002261,拓维信息,8.81,3.16,0.27,0.0,8.64,1.83,4.68,8.38亿,11.16亿,98.31亿,80.68
9,10,300379,东方通,25.31,3.1,0.76,-0.24,3.14,2.84,4.85,3.41亿,4.33亿,109.63亿,--
10,11,002405,四维图新,13.34,2.54,0.33,1.75,1.46,1.45,3.77,4.39亿,22.98亿,306.54亿,--
11,12,601360,三六零,11.47,2.41,0.27,-0.26,4.67,1.51,6.96,37.05亿,71.45亿,819.57亿,--
12,13,300352,北信源,5.45,2.25,0.12,0.18,5.07,1.54,6.57,3.32亿,12.03亿,65.57亿,974.46
13,14,603189,网达软件,16.95,2.05,0.34,0.0,1.93,1.7,3.61,0.88亿,2.70亿,45.69亿,72.86
14,15,000938,紫光股份,25.91,1.93,0.49,-0.19,1.51,1.42,4.76,10.96亿,28.60亿,741.05亿,33.89
15,16,002465,海格通信,9.47,1.83,0.17,0.42,0.55,1.36,2.26,1.15亿,22.65亿,214.50亿,41.40
16,17,300353,东土科技,12.07,1.77,0.21,-0.25,3.73,1.98,6.16,1.98亿,4.39亿,52.98亿,--
