,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002261,拓维信息,9.39,9.95,0.85,2.07,13.37,2.43,11.01,13.23亿,11.16亿,104.79亿,85.99
1,2,603927,中科软,35.7,9.95,3.23,0.06,2.91,7.22,11.03,6.04亿,5.94亿,211.91亿,52.12
2,3,300271,华宇软件,10.21,9.67,0.9,-0.1,8.43,3.12,15.9,5.73亿,6.91亿,70.59亿,--
3,4,300624,万兴科技,53.2,8.13,4.0,0.0,19.27,2.73,14.57,11.20亿,1.13亿,59.88亿,212.61
4,5,301236,软通动力,42.63,6.63,2.65,-0.37,11.61,4.09,7.78,3.97亿,0.82亿,34.95亿,30.21
5,6,600536,中国软件,79.99,6.5,4.88,0.23,6.21,3.56,11.88,31.30亿,6.43亿,514.28亿,--
6,7,688227,品高股份,26.9,5.86,1.49,0.04,3.81,4.79,6.45,0.62亿,0.62亿,16.69亿,--
7,8,301248,杰创智能,38.35,5.68,2.06,0.13,28.87,1.35,9.15,2.60亿,0.24亿,9.20亿,60.72
8,9,000977,浪潮信息,39.42,5.66,2.11,0.05,12.21,2.03,7.16,69.51亿,14.62亿,576.26亿,27.99
9,10,000063,中兴通讯,30.64,5.29,1.54,-0.07,1.89,3.25,7.01,22.60亿,39.80亿,1219.44亿,15.96
10,11,300170,汉得信息,12.27,5.14,0.6,0.66,9.14,3.01,6.34,9.01亿,8.27亿,101.48亿,18.06
11,12,300379,东方通,25.72,4.77,1.17,0.59,3.58,2.78,5.34,3.90亿,4.33亿,111.40亿,--
12,13,300078,思创医惠,5.96,4.56,0.26,0.34,9.29,3.94,5.79,4.22亿,7.75亿,46.22亿,824.44
13,14,600845,宝信软件,52.0,4.36,2.17,0.02,0.48,2.54,5.58,3.49亿,14.37亿,747.48亿,50.39
14,15,300033,同花顺,129.02,4.05,5.02,-0.09,1.63,2.26,6.47,5.68亿,2.72亿,350.35亿,58.95
15,16,002405,四维图新,13.53,4.0,0.52,0.15,2.36,2.01,5.53,7.17亿,22.98亿,310.91亿,--
16,17,300465,高伟达,11.1,3.93,0.42,0.27,3.01,2.07,7.21,1.46亿,4.47亿,49.59亿,--
17,18,300598,诚迈科技,58.27,3.65,2.05,0.28,4.91,2.65,6.56,4.53亿,1.60亿,93.27亿,--
18,19,002439,启明星辰,30.76,3.6,1.07,-0.36,1.3,1.63,6.6,2.84亿,7.24亿,222.83亿,--
19,20,300166,东方国信,10.28,3.52,0.35,0.0,12.6,3.72,6.14,11.99亿,9.19亿,94.52亿,82.24
20,21,688078,龙软科技,43.53,3.4,1.43,-0.8,4.21,2.53,5.82,0.83亿,0.46亿,19.82亿,45.74
21,22,002279,久其软件,9.19,3.26,0.29,0.33,14.19,2.87,7.98,10.07亿,7.88亿,72.42亿,--
22,23,000158,常山北明,6.67,3.25,0.21,1.37,1.71,1.98,4.33,1.76亿,15.81亿,105.47亿,--
23,24,601519,大智慧,7.32,3.24,0.23,0.27,1.53,2.99,3.67,2.22亿,20.04亿,146.68亿,--
24,25,688118,普元信息,23.06,3.04,0.68,0.09,1.87,1.47,5.09,0.33亿,0.78亿,18.06亿,--
25,26,688579,山大地纬,12.02,2.91,0.34,0.59,1.72,1.7,5.65,0.57亿,2.82亿,33.86亿,146.84
26,27,300352,北信源,5.48,2.81,0.15,0.0,5.41,1.42,6.57,3.55亿,12.03亿,65.93亿,979.83
27,28,688111,金山办公,303.52,2.81,8.29,0.28,0.49,1.02,4.77,6.86亿,4.61亿,1400.03亿,129.13
28,29,300075,数字政通,21.44,2.78,0.58,-0.33,5.84,1.59,4.65,5.11亿,4.15亿,89.01亿,45.87
29,30,688083,中望软件,225.0,2.7,5.92,-0.38,1.24,2.28,8.43,1.36亿,0.48亿,109.07亿,--
30,31,300036,超图软件,21.22,2.31,0.48,0.19,2.04,1.9,3.76,1.82亿,4.25亿,90.09亿,125.22
31,32,603636,南威软件,17.41,2.29,0.39,0.23,2.88,1.11,4.41,2.93亿,5.91亿,102.86亿,--
32,33,300085,银之杰,12.14,2.27,0.27,0.17,4.47,2.26,5.98,2.82亿,5.27亿,63.99亿,--
33,34,688318,财富趋势,133.66,2.23,2.91,0.4,7.26,1.93,3.94,2.78亿,0.29亿,38.52亿,139.99
34,35,605398,新炬网络,32.42,2.21,0.7,0.03,2.93,1.17,3.18,0.25亿,0.27亿,8.75亿,61.35
35,36,300468,四方精创,11.89,2.15,0.25,0.17,3.73,1.84,3.18,2.32亿,5.29亿,62.91亿,84.48
