,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,000977,浪潮信息,38.71,3.75,1.4,-0.26,9.86,3.46,5.84,56.02亿,14.62亿,565.88亿,27.48
1,2,002238,天威视讯,8.18,2.89,0.23,0.0,3.02,5.76,4.91,1.98亿,8.03亿,65.65亿,59.85
2,3,600050,中国联通,5.19,2.77,0.14,-0.19,0.56,2.22,4.75,8.85亿,309.62亿,1610.05亿,18.16
3,4,601858,中国科传,13.83,2.52,0.34,-0.43,3.31,2.39,8.38,3.64亿,7.91亿,109.33亿,29.24
4,5,000815,美利云,16.0,2.43,0.38,-0.19,4.27,2.29,6.72,4.70亿,6.95亿,111.24亿,--
5,6,002401,中远海科,17.52,1.74,0.3,0.46,6.1,2.16,7.72,3.88亿,3.66亿,64.04亿,30.21
6,7,002368,太极股份,39.19,1.4,0.54,0.67,1.6,1.95,4.76,3.66亿,5.88亿,230.33亿,148.07
7,8,600037,歌华有线,8.77,1.15,0.1,0.34,0.56,2.14,2.08,0.69亿,13.92亿,122.06亿,27.86
8,9,603000,人民网,19.59,0.88,0.17,0.15,6.22,4.36,5.0,13.33亿,11.06亿,216.60亿,117.13
9,10,300229,拓尔思,23.74,0.51,0.12,0.13,8.19,2.0,7.11,14.83亿,7.61亿,180.60亿,130.80
10,11,000032,深桑达A,27.33,0.15,0.04,0.18,2.15,1.96,5.31,3.74亿,6.45亿,176.21亿,--
11,12,603860,中公高科,25.34,0.04,0.01,0.08,0.38,1.47,0.91,0.06亿,0.67亿,16.90亿,347.42
12,13,600850,电科数字,24.95,-0.08,-0.02,0.24,0.65,2.12,1.8,0.89亿,5.55亿,138.39亿,44.02
13,14,000158,常山北明,6.45,-0.15,-0.01,0.16,0.62,1.51,1.24,0.63亿,15.81亿,101.99亿,--
14,15,000938,紫光股份,25.34,-0.32,-0.08,0.08,0.98,1.67,3.82,7.12亿,28.60亿,724.74亿,33.15
15,16,603881,数据港,31.36,-0.38,-0.12,-0.13,1.23,1.09,2.45,1.26亿,3.29亿,103.15亿,104.04
16,17,600602,云赛智联,10.09,-0.69,-0.07,0.3,2.95,3.19,3.64,3.23亿,10.74亿,108.40亿,68.01
17,18,688561,奇安信,76.95,-0.72,-0.56,0.01,0.3,1.52,4.32,1.06亿,4.61亿,354.43亿,--
18,19,002152,广电运通,10.96,-0.72,-0.08,0.0,0.71,2.62,2.35,1.95亿,24.82亿,272.04亿,30.59
19,20,000779,甘咨询,12.1,-0.74,-0.09,0.0,0.82,0.72,0.98,0.37亿,3.76亿,45.50亿,22.41
20,21,002232,启明信息,14.91,-1.06,-0.16,-0.07,0.69,0.92,1.19,0.42亿,4.09亿,60.91亿,67.67
21,22,000948,南天信息,23.99,-1.36,-0.33,0.04,2.42,1.35,2.34,1.94亿,3.35亿,80.25亿,145.63
22,23,002268,电科网安,34.8,-1.42,-0.5,0.06,1.13,1.89,1.87,3.33亿,8.41亿,292.77亿,445.28
23,24,000665,湖北广电,6.95,-1.84,-0.13,0.0,3.06,2.36,1.84,2.42亿,11.34亿,78.83亿,--
24,25,301339,通行宝,20.76,-1.84,-0.39,-0.1,3.91,1.7,1.28,0.46亿,0.56亿,11.70亿,59.32
25,26,600756,浪潮软件,16.59,-2.01,-0.34,-0.06,3.27,2.29,2.01,1.76亿,3.24亿,53.77亿,--
26,27,300212,易华录,26.06,-2.14,-0.57,0.19,1.78,1.68,3.12,2.96亿,6.41亿,166.97亿,--
27,28,600476,湘邮科技,17.51,-2.18,-0.39,0.17,2.73,1.94,3.02,0.77亿,1.61亿,28.22亿,--
28,29,002642,荣联科技,9.4,-2.19,-0.21,-0.11,5.9,1.85,2.81,3.38亿,6.05亿,56.85亿,344.64
29,30,000070,特发信息,8.33,-2.35,-0.2,-0.12,2.29,1.38,3.05,1.59亿,8.33亿,69.37亿,72.00
30,31,002528,英飞拓,10.47,-2.42,-0.26,-0.19,2.94,1.45,2.7,3.24亿,10.46亿,109.56亿,--
31,32,300188,美亚柏科,16.02,-2.79,-0.46,0.25,1.21,2.44,1.88,1.40亿,7.24亿,116.02亿,--
32,33,301165,锐捷网络,41.44,-4.52,-1.96,-0.31,7.62,1.93,3.94,1.84亿,0.58亿,23.90亿,34.36
33,34,300895,铜牛信息,43.56,-5.78,-2.67,-0.02,14.83,1.78,3.87,3.93亿,0.60亿,26.20亿,222.78
34,35,600225,卓朗科技,6.98,-10.05,-0.78,0.0,1.22,4.6,9.92,2.98亿,34.09亿,237.94亿,1061.86
