,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,000735,罗牛山,8.13,10.01,0.74,0.0,4.96,5.51,9.61,4.50亿,11.51亿,93.57亿,1180.63
1,2,300158,振东制药,7.73,6.47,0.47,0.26,8.73,3.37,8.13,6.73亿,10.24亿,79.16亿,240.74
2,3,600189,泉阳泉,7.14,1.85,0.13,0.0,1.05,1.72,1.85,0.54亿,7.15亿,51.07亿,44.31
3,4,600708,光明地产,2.43,1.67,0.04,0.41,0.51,1.44,1.25,0.27亿,22.25亿,54.07亿,199.72
4,5,600748,上实发展,3.69,1.65,0.06,0.0,0.22,0.68,2.2,0.15亿,18.45亿,68.06亿,--
5,6,002321,ST华英,2.53,1.61,0.04,0.0,0.34,1.96,2.01,0.18亿,21.29亿,53.85亿,--
6,7,600515,海南机场,4.51,1.35,0.06,0.22,0.27,0.87,1.57,1.12亿,91.76亿,413.84亿,22.68
7,8,600076,康欣新材,3.14,1.29,0.04,0.0,0.45,1.82,1.94,0.14亿,10.34亿,32.48亿,--
8,9,002431,棕榈股份,3.16,1.28,0.04,-0.32,1.41,1.31,1.6,0.65亿,14.58亿,46.08亿,--
9,10,600692,亚通股份,6.44,0.94,0.06,0.0,0.72,0.93,1.41,0.12亿,2.55亿,16.42亿,--
10,11,600759,ST洲际,2.32,0.87,0.02,-0.43,0.24,0.89,1.3,0.13亿,22.58亿,52.39亿,61.50
11,12,600077,宋都股份,2.77,0.73,0.02,0.0,0.58,0.86,1.82,0.21亿,13.40亿,37.12亿,--
12,13,002556,辉隆股份,9.03,0.67,0.06,0.0,0.47,0.71,1.11,0.37亿,8.76亿,79.07亿,12.58
13,14,600108,亚盛集团,3.24,0.62,0.02,0.0,0.55,0.82,0.93,0.35亿,19.47亿,63.08亿,108.17
14,15,601952,苏垦农发,12.51,0.56,0.07,0.48,0.31,0.68,0.8,0.52亿,13.78亿,172.39亿,20.66
15,16,002157,正邦科技,3.68,0.55,0.02,0.0,0.85,0.72,1.37,0.76亿,24.33亿,89.55亿,--
16,17,000911,南宁糖业,8.01,0.5,0.04,0.0,0.56,1.03,1.0,0.15亿,3.24亿,25.96亿,--
17,18,600506,香梨股份,11.84,0.42,0.05,0.0,0.79,0.83,1.02,0.14亿,1.48亿,17.49亿,--
18,19,300021,大禹节水,4.93,0.41,0.02,0.0,0.63,0.5,0.41,0.22亿,7.01亿,34.56亿,69.37
19,20,601996,丰林集团,2.82,0.36,0.01,0.0,0.4,1.26,1.07,0.13亿,11.46亿,32.31亿,50.89
20,21,600057,厦门象屿,11.31,0.35,0.04,0.0,0.17,0.82,1.69,0.40亿,21.42亿,242.22亿,8.80
21,22,600675,中华企业,3.05,0.33,0.01,0.33,0.08,0.74,0.99,0.15亿,60.96亿,185.93亿,--
22,23,002087,新野纺织,3.21,0.31,0.01,-0.31,0.89,1.39,0.94,0.23亿,8.16亿,26.18亿,--
23,24,000797,中国武夷,3.75,0.27,0.01,-0.27,1.25,0.69,1.07,0.73亿,15.70亿,58.88亿,169.51
24,25,300175,朗源股份,4.07,0.25,0.01,0.25,0.83,0.75,0.98,0.16亿,4.71亿,19.16亿,--
25,26,300189,神农科技,4.2,0.24,0.01,0.24,1.28,0.61,0.95,0.52亿,9.63亿,40.45亿,--
26,27,600683,京投发展,5.06,0.2,0.01,-0.2,0.55,0.63,0.99,0.21亿,7.41亿,37.48亿,11.49
27,28,600598,北大荒,14.19,0.07,0.01,0.0,0.4,0.74,0.56,1.00亿,17.78亿,252.25亿,14.69
28,29,002941,新疆交建,13.65,0.0,0.0,0.0,0.62,1.15,1.39,0.54亿,6.40亿,87.36亿,29.75
29,30,000046,泛海控股,1.23,0.0,0.0,0.0,0.28,0.64,0.81,0.18亿,51.94亿,63.88亿,--
30,31,600359,新农开发,8.82,-0.11,-0.01,-0.11,1.08,0.48,0.68,0.36亿,3.82亿,33.65亿,43.31
31,32,002170,芭田股份,6.18,-0.16,-0.01,0.0,0.8,0.56,1.13,0.35亿,7.08亿,43.77亿,49.63
32,33,002002,鸿达兴业,3.09,-0.32,-0.01,0.0,0.67,0.8,0.97,0.65亿,30.95亿,95.64亿,25.20
33,34,000663,永安林业,9.04,-0.44,-0.04,-0.11,0.88,0.84,1.1,0.24亿,3.06亿,27.69亿,6.94
34,35,000009,中国宝安,12.86,-0.54,-0.07,0.0,0.44,0.57,1.16,1.43亿,25.51亿,328.11亿,43.22
35,36,000523,广州浪奇,3.76,-0.79,-0.03,0.27,0.69,0.6,2.9,0.36亿,13.77亿,51.77亿,--
36,37,002403,爱仕达,10.2,-1.83,-0.19,0.1,3.31,1.53,2.41,1.03亿,3.06亿,31.21亿,--
37,38,002417,*ST深南,3.38,-5.06,-0.18,0.0,0.23,5.1,0.0,0.02亿,2.36亿,7.97亿,--
