,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600640,国脉文化,11.91,8.37,0.92,0.08,2.06,6.5,10.28,1.88亿,7.96亿,94.77亿,--
1,2,300133,华策影视,5.82,6.59,0.36,-0.51,2.71,3.73,7.14,2.49亿,16.18亿,94.20亿,27.57
2,3,600258,首旅酒店,25.85,3.11,0.78,-0.5,0.71,1.21,3.95,1.94亿,10.70亿,276.71亿,--
3,4,600138,中青旅,14.92,2.9,0.42,-0.07,2.32,2.09,3.79,2.50亿,7.24亿,108.00亿,--
4,5,000888,峨眉山A,8.55,2.27,0.19,-0.12,2.19,2.69,3.35,0.99亿,5.27亿,45.05亿,--
5,6,002558,巨人网络,10.83,1.98,0.21,-0.55,1.67,2.99,6.87,3.66亿,20.05亿,217.13亿,21.00
6,7,000917,电广传媒,5.71,1.6,0.09,-0.18,0.73,2.06,2.13,0.59亿,14.17亿,80.93亿,72.58
7,8,600576,祥源文旅,7.69,1.58,0.12,0.0,0.94,1.12,2.91,0.44亿,6.19亿,47.63亿,725.51
8,9,000793,华闻集团,2.69,1.51,0.04,-0.37,2.98,2.0,4.15,1.56亿,19.61亿,52.75亿,--
9,10,603199,九华旅游,26.17,1.43,0.37,0.15,0.94,1.78,1.71,0.27亿,1.11亿,28.96亿,2196.77
10,11,002707,众信旅游,9.92,1.43,0.14,-0.4,4.07,2.9,3.07,3.25亿,8.01亿,79.46亿,--
11,12,600650,锦江在线,10.95,1.39,0.15,0.18,0.36,1.52,1.76,0.15亿,3.91亿,42.77亿,8.75
12,13,300859,西域旅游,30.6,1.36,0.41,0.13,2.86,1.49,2.19,0.84亿,0.96亿,29.29亿,426.78
13,14,000978,桂林旅游,8.26,1.23,0.1,0.0,1.16,0.93,1.72,0.34亿,3.60亿,29.74亿,--
14,15,000796,ST凯撒,5.32,1.14,0.06,-0.19,0.69,1.01,2.09,0.29亿,8.03亿,42.69亿,--
15,16,600158,中体产业,9.18,1.1,0.1,0.0,1.49,1.92,1.98,0.98亿,7.22亿,66.29亿,--
16,17,600051,宁波联合,8.03,0.88,0.07,0.0,0.54,0.92,1.13,0.13亿,3.11亿,24.99亿,16.01
17,18,603843,正平股份,4.62,0.87,0.04,0.0,0.66,1.39,1.09,0.21亿,7.00亿,32.32亿,100.63
18,19,300005,探路者,7.83,0.64,0.05,-0.13,0.2,0.95,1.03,0.13亿,8.84亿,69.19亿,457.60
19,20,002627,三峡旅游,5.48,0.55,0.03,0.18,1.14,2.39,1.28,0.44亿,6.97亿,38.20亿,459.94
20,21,002489,浙江永强,3.76,0.54,0.02,0.0,0.4,0.77,1.07,0.28亿,18.81亿,70.74亿,42.55
21,22,000524,岭南控股,11.86,0.51,0.06,-0.17,0.71,0.99,1.61,0.57亿,6.70亿,79.47亿,--
22,23,002357,富临运业,6.8,0.15,0.01,-0.15,1.89,0.95,1.18,0.40亿,3.13亿,21.32亿,23.30
23,24,301396,宏景科技,46.29,0.11,0.05,0.24,18.05,1.78,5.76,1.83亿,0.22亿,10.03亿,110.85
24,25,002780,三夫户外,12.69,0.0,0.0,0.08,0.86,1.07,0.79,0.14亿,1.31亿,16.58亿,--
25,26,000610,西安旅游,15.56,-0.45,-0.07,0.0,4.57,1.0,2.05,1.68亿,2.35亿,36.63亿,--
26,27,301339,通行宝,20.96,-0.9,-0.19,-0.1,4.92,1.37,1.32,0.58亿,0.56亿,11.81亿,59.89
27,28,002181,粤传媒,5.77,-1.2,-0.07,-0.17,3.04,2.22,2.91,2.00亿,11.34亿,65.46亿,184.81
28,29,603721,中广天择,17.67,-1.28,-0.23,-0.17,4.24,1.03,2.74,0.98亿,1.30亿,22.97亿,188.63
