,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002694,顾地科技,5.78,3.4,0.19,0.35,1.75,2.08,4.12,0.54亿,5.34亿,30.87亿,--
1,2,000753,漳州发展,4.6,3.37,0.15,0.0,1.89,3.19,4.49,0.86亿,9.91亿,45.61亿,43.35
2,3,601668,中国建筑,5.56,3.15,0.17,0.18,0.59,3.02,2.97,13.37亿,413.20亿,2297.41亿,4.02
3,4,300075,数字政通,21.44,2.78,0.58,-0.6,5.84,1.59,4.65,5.11亿,4.15亿,89.01亿,45.87
4,5,300434,金石亚药,12.9,2.54,0.32,0.7,4.18,2.95,3.5,1.78亿,3.32亿,42.83亿,36.32
5,6,300036,超图软件,21.22,2.31,0.48,0.0,2.04,1.9,3.76,1.82亿,4.25亿,90.09亿,125.22
6,7,603616,韩建河山,6.05,1.85,0.11,1.68,1.3,1.11,3.03,0.30亿,3.81亿,23.07亿,--
7,8,002431,棕榈股份,3.16,1.28,0.04,0.0,1.41,1.31,1.6,0.65亿,14.58亿,46.08亿,--
8,9,603843,正平股份,4.63,1.09,0.05,0.0,0.76,1.19,1.09,0.24亿,7.00亿,32.39亿,100.85
9,10,688509,正元地信,4.77,1.06,0.05,0.0,1.78,2.5,3.81,0.32亿,3.76亿,17.95亿,--
10,11,600339,中油工程,3.19,0.95,0.03,0.31,0.35,1.19,1.58,0.62亿,55.83亿,178.10亿,15.17
11,12,000598,兴蓉环境,5.1,0.79,0.04,0.0,0.32,1.48,0.99,0.48亿,29.69亿,151.40亿,8.30
12,13,002062,宏润建设,5.78,0.7,0.04,0.17,0.74,0.54,1.04,0.41亿,9.66亿,55.85亿,20.36
13,14,002524,光正眼科,7.52,0.67,0.05,0.13,0.8,0.73,1.21,0.31亿,5.09亿,38.29亿,21.98
14,15,002641,公元股份,5.28,0.57,0.03,0.19,2.86,1.85,2.1,1.70亿,11.34亿,59.90亿,74.74
15,16,600820,隧道股份,5.54,0.55,0.03,0.0,0.2,0.9,0.91,0.34亿,31.44亿,174.18亿,9.61
16,17,000826,启迪环境,3.77,0.53,0.02,-0.27,0.43,0.62,0.8,0.23亿,14.31亿,53.93亿,--
17,18,000778,新兴铸管,3.87,0.52,0.02,-0.26,0.33,1.14,1.04,0.50亿,38.96亿,150.78亿,8.40
18,19,000617,中油资本,6.07,0.5,0.03,0.0,0.23,0.89,1.49,1.79亿,126.42亿,767.37亿,11.58
19,20,688296,和达科技,29.7,0.44,0.13,-0.2,0.33,0.73,2.81,0.06亿,0.58亿,17.20亿,50.83
20,21,002671,龙泉股份,4.83,0.42,0.02,0.0,0.5,0.95,0.83,0.11亿,4.58亿,22.12亿,--
21,22,603815,交建股份,8.26,0.36,0.03,0.0,0.43,1.0,0.73,0.22亿,6.19亿,51.12亿,30.95
22,23,600480,凌云股份,8.74,0.34,0.03,0.12,0.24,0.87,0.92,0.18亿,8.61亿,75.28亿,27.72
23,24,600008,首创环保,2.93,0.34,0.01,-0.34,0.26,0.78,0.69,0.55亿,73.41亿,215.08亿,4.96
24,25,002542,中化岩土,3.25,0.31,0.01,0.31,0.84,0.73,1.24,0.43亿,15.72亿,51.09亿,--
25,26,600939,重庆建工,3.77,0.27,0.01,-0.27,0.23,1.11,1.06,0.17亿,19.02亿,71.70亿,19.36
26,27,600736,苏州高新,5.24,0.19,0.01,0.0,0.68,0.77,0.77,0.41亿,11.51亿,60.33亿,23.11
27,28,003037,三和管桩,12.78,0.16,0.02,0.0,3.2,1.49,2.19,0.37亿,0.91亿,11.63亿,36.84
28,29,002443,金洲管道,6.55,0.15,0.01,0.0,0.61,0.92,0.61,0.21亿,5.19亿,34.00亿,16.37
29,30,000593,德龙汇能,8.07,0.12,0.01,0.12,0.81,0.76,0.87,0.24亿,3.58亿,28.93亿,64.18
30,31,300599,雄塑科技,8.12,0.12,0.01,-0.25,0.25,0.56,0.62,0.04亿,2.07亿,16.80亿,82.06
31,32,600444,国机通用,14.0,0.07,0.01,-0.07,0.41,0.59,0.79,0.08亿,1.46亿,20.50亿,47.11
32,33,600629,华建集团,5.5,0.0,0.0,0.0,7.4,6.17,5.64,3.86亿,9.38亿,51.58亿,15.83
33,34,601686,友发集团,6.59,0.0,0.0,0.15,0.39,0.84,1.21,0.14亿,5.63亿,37.09亿,98.00
34,35,603700,宁水集团,14.68,0.0,0.0,0.07,0.36,0.62,1.5,0.11亿,2.03亿,29.84亿,34.69
35,36,000407,胜利股份,4.11,0.0,0.0,-0.24,0.57,1.09,0.73,0.21亿,8.76亿,35.99亿,19.17
36,37,002457,青龙管业,8.77,0.0,0.0,0.11,0.58,0.69,1.14,0.17亿,3.35亿,29.37亿,25.47
37,38,300210,森远股份,3.33,0.0,0.0,0.0,0.85,0.56,1.2,0.12亿,4.14亿,13.80亿,--
38,39,300732,设研院,9.89,-0.1,-0.01,-0.1,0.45,0.85,0.81,0.14亿,3.22亿,31.89亿,15.97
39,40,300665,飞鹿股份,8.25,-0.12,-0.01,-0.12,0.51,1.09,0.85,0.06亿,1.34亿,11.09亿,--
40,41,002205,国统股份,11.69,-0.17,-0.02,0.17,1.67,0.75,2.13,0.36亿,1.86亿,21.73亿,--
41,42,003013,地铁设计,17.38,-0.17,-0.03,0.12,1.14,0.71,0.8,0.12亿,0.60亿,10.46亿,20.17
42,43,002108,沧州明珠,4.87,-0.2,-0.01,0.0,0.62,0.55,0.82,0.51亿,16.72亿,81.41亿,23.62
43,44,301151,冠龙节能,18.56,-0.27,-0.05,-0.05,0.76,0.86,0.59,0.06亿,0.42亿,7.80亿,29.42
44,45,300778,新城市,14.21,-0.28,-0.04,0.21,0.3,0.84,1.61,0.06亿,1.50亿,21.29亿,30.30
45,46,002478,常宝股份,6.35,-0.31,-0.02,0.0,0.78,1.03,1.73,0.30亿,6.19亿,39.30亿,12.30
46,47,301167,建研设计,24.75,-0.32,-0.08,-0.28,0.93,0.84,0.81,0.13亿,0.56亿,13.86亿,27.23
47,48,600969,郴电国际,7.94,-0.38,-0.03,0.13,0.54,0.87,1.0,0.16亿,3.70亿,29.38亿,31.94
48,49,002554,惠博普,4.13,-0.48,-0.02,0.0,1.27,0.96,0.72,0.45亿,8.54亿,35.26亿,39.84
49,50,301027,华蓝集团,15.0,-0.66,-0.1,-0.07,0.94,1.0,1.46,0.14亿,1.01亿,15.20亿,41.14
50,51,002372,伟星新材,24.52,-0.69,-0.17,0.08,0.11,0.42,1.5,0.39亿,14.59亿,357.63亿,38.07
51,52,301038,深水规院,16.61,-0.72,-0.12,-0.12,1.38,0.72,1.67,0.10亿,0.43亿,7.13亿,--
52,53,603289,泰瑞机器,12.4,-0.72,-0.09,0.08,1.37,1.32,3.36,0.45亿,2.66亿,32.95亿,26.55
53,54,603856,东宏股份,12.5,-0.79,-0.1,0.0,0.53,0.97,1.27,0.17亿,2.56亿,32.05亿,21.98
54,55,600644,乐山电力,8.18,-0.85,-0.07,0.12,0.89,0.65,1.46,0.39亿,5.38亿,44.04亿,62.38
55,56,603316,诚邦股份,6.36,-0.94,-0.06,-0.16,0.93,0.87,1.87,0.16亿,2.64亿,16.81亿,143.26
56,57,601028,玉龙股份,13.91,-1.14,-0.16,-0.07,2.31,1.03,2.2,2.53亿,7.83亿,108.92亿,58.75
57,58,300198,纳川股份,3.27,-1.21,-0.04,0.0,1.83,0.57,2.42,0.55亿,9.08亿,29.70亿,--
58,59,301136,招标股份,14.31,-1.31,-0.19,0.0,2.89,1.41,1.17,0.43亿,1.04亿,14.87亿,82.00
59,60,002871,伟隆股份,15.34,-1.48,-0.23,-0.07,2.41,0.48,2.83,0.32亿,0.86亿,13.18亿,16.22
60,61,300826,测绘股份,13.92,-1.76,-0.25,0.22,3.99,2.13,2.61,0.37亿,0.67亿,9.32亿,51.60
61,62,002339,积成电子,9.25,-1.8,-0.17,-0.54,7.84,0.83,4.78,3.48亿,4.86亿,44.94亿,--
