,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002970,锐明技术,29.02,10.01,2.64,0.0,5.27,3.74,2.73,1.63亿,1.08亿,31.28亿,--
1,2,300261,雅本化学,13.63,4.85,0.63,0.37,8.2,3.68,9.62,10.54亿,9.50亿,129.42亿,54.25
2,3,002116,中国海诚,12.51,2.79,0.34,0.16,5.21,3.81,7.81,2.73亿,4.16亿,52.09亿,23.02
3,4,002596,海南瑞泽,3.71,2.77,0.1,0.27,3.88,3.04,4.43,1.50亿,10.41亿,38.64亿,201.10
4,5,000753,漳州发展,4.57,2.7,0.12,-0.22,1.74,3.77,4.49,0.79亿,9.91亿,45.31亿,43.06
5,6,300203,聚光科技,31.49,2.64,0.81,0.42,1.41,2.43,3.75,1.98亿,4.52亿,142.36亿,--
6,7,600846,同济科技,9.59,2.24,0.21,0.1,0.73,2.79,2.98,0.43亿,6.25亿,59.91亿,24.14
7,8,600217,中再资环,5.18,1.97,0.1,0.0,0.89,2.76,2.17,0.63亿,13.89亿,71.93亿,84.08
8,9,000900,现代投资,4.37,1.63,0.07,0.23,0.34,1.82,1.86,0.23亿,15.18亿,66.33亿,11.04
9,10,300075,数字政通,21.13,1.29,0.27,0.0,3.91,1.37,2.97,3.40亿,4.15亿,87.72亿,45.20
10,11,300631,久吾高科,34.33,0.97,0.33,0.26,1.15,1.19,2.0,0.48亿,1.21亿,41.43亿,166.97
11,12,603686,福龙马,11.68,0.86,0.1,0.09,2.3,0.68,3.54,1.12亿,4.16亿,48.55亿,17.52
12,13,601827,三峰环境,7.26,0.83,0.06,0.14,0.21,0.85,0.97,0.12亿,8.00亿,58.06亿,10.62
13,14,600008,首创环保,2.94,0.69,0.02,0.0,0.2,0.8,0.69,0.44亿,73.41亿,215.81亿,4.98
14,15,002672,东江环保,6.1,0.66,0.04,0.16,0.24,1.37,0.49,0.10亿,6.79亿,41.42亿,--
15,16,300422,博世科,6.25,0.64,0.04,-0.16,0.3,0.89,1.29,0.07亿,3.84亿,24.00亿,--
16,17,002591,恒大高新,8.25,0.61,0.05,0.12,7.0,0.74,2.81,1.24亿,2.17亿,17.88亿,--
17,18,601330,绿色动力,7.21,0.56,0.04,0.0,0.19,1.39,0.98,0.13亿,9.89亿,71.31亿,12.76
18,19,000826,启迪环境,3.77,0.53,0.02,0.0,0.39,0.72,0.8,0.21亿,14.31亿,53.93亿,--
19,20,600653,申华控股,1.98,0.51,0.01,0.0,0.17,0.63,1.01,0.07亿,19.46亿,38.54亿,--
20,21,600565,迪马股份,2.13,0.47,0.01,-0.47,0.97,3.08,1.42,0.51亿,24.92亿,53.07亿,20.14
21,22,603506,南都物业,13.15,0.46,0.06,0.0,0.26,0.73,0.99,0.06亿,1.88亿,24.69亿,12.98
22,23,002479,富春环保,4.82,0.42,0.02,-0.21,0.65,0.9,1.67,0.27亿,8.61亿,41.52亿,23.67
23,24,000685,中山公用,7.28,0.41,0.03,0.0,0.23,1.79,0.97,0.21亿,12.53亿,91.24亿,11.80
24,25,300197,节能铁汉,2.43,0.41,0.01,0.0,0.49,0.97,1.24,0.23亿,19.41亿,47.17亿,--
25,26,603817,海峡环保,6.23,0.32,0.02,0.0,0.35,1.14,0.48,0.11亿,5.18亿,32.24亿,22.15
26,27,601200,上海环境,9.47,0.32,0.03,0.11,0.17,1.12,0.85,0.19亿,11.22亿,106.24亿,17.54
27,28,300176,派生科技,6.89,0.29,0.02,-0.15,0.49,0.61,1.31,0.13亿,3.86亿,26.62亿,445.94
28,29,300334,津膜科技,6.93,0.29,0.02,0.0,0.33,1.15,1.74,0.07亿,3.02亿,20.93亿,--
29,30,300249,依米康,10.49,0.29,0.03,-0.47,6.17,1.1,3.15,2.36亿,3.68亿,38.65亿,108.48
30,31,600461,洪城环境,7.12,0.28,0.02,0.0,0.2,1.43,0.7,0.14亿,9.51亿,67.72亿,7.62
31,32,002696,百洋股份,7.22,0.28,0.02,-0.14,0.94,0.83,0.83,0.23亿,3.46亿,24.97亿,29.45
32,33,300140,中环装备,8.19,0.24,0.02,0.12,0.99,1.06,1.96,0.35亿,4.23亿,34.68亿,--
33,34,300664,鹏鹞环保,5.54,0.18,0.01,-0.18,0.3,0.96,0.72,0.12亿,7.04亿,39.03亿,11.14
34,35,002034,旺能环境,19.12,0.16,0.03,0.0,0.18,0.95,0.63,0.14亿,4.27亿,81.58亿,11.40
35,36,000885,城发环境,10.69,0.09,0.01,-0.19,0.35,1.12,0.94,0.24亿,6.42亿,68.64亿,6.20
36,37,300815,玉禾田,16.86,0.0,0.0,0.24,0.22,0.65,0.71,0.12亿,3.23亿,54.48亿,11.02
37,38,300237,美晨生态,2.37,0.0,0.0,-0.42,0.79,1.49,1.69,0.27亿,14.38亿,34.09亿,--
38,39,600805,悦达投资,4.72,0.0,0.0,-0.21,0.21,0.69,1.06,0.09亿,8.50亿,40.13亿,14.70
39,40,300145,中金环境,2.8,0.0,0.0,0.0,0.36,0.71,1.07,0.19亿,18.94亿,53.02亿,30.11
40,41,002375,亚厦股份,4.87,0.0,0.0,-0.41,0.4,1.1,1.23,0.26亿,13.31亿,64.82亿,21.21
41,42,002272,川润股份,7.56,0.0,0.0,-0.13,3.69,0.62,2.38,0.93亿,3.33亿,25.18亿,--
42,43,002170,芭田股份,6.19,0.0,0.0,0.16,0.69,0.63,1.13,0.30亿,7.08亿,43.84亿,49.71
43,44,002682,龙洲股份,5.07,0.0,0.0,0.0,2.38,0.6,1.77,0.67亿,5.58亿,28.30亿,--
44,45,000544,中原环保,6.86,0.0,0.0,0.0,0.23,0.62,0.88,0.15亿,9.75亿,66.86亿,12.26
45,46,000521,长虹美菱,4.94,0.0,0.0,0.0,0.54,0.68,1.01,0.23亿,8.76亿,43.27亿,23.53
46,47,300008,天海防务,4.93,0.0,0.0,-0.2,1.2,0.64,1.22,0.84亿,14.31亿,70.56亿,78.41
