,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600532,*ST未来,13.23,5.0,0.63,0.0,0.96,1.06,1.51,0.65亿,5.16亿,68.28亿,--
1,2,600107,美尔雅,6.81,2.87,0.19,0.3,3.04,4.6,4.83,0.74亿,3.60亿,24.52亿,--
2,3,300071,福石控股,5.57,2.58,0.14,-0.54,11.37,1.65,9.21,5.72亿,8.91亿,49.65亿,114.97
3,4,002785,万里石,25.41,2.13,0.53,-0.16,5.04,1.34,4.62,2.14亿,1.67亿,42.36亿,625.86
4,5,002576,通达动力,21.52,1.75,0.37,0.23,12.96,2.13,6.43,4.47亿,1.62亿,34.84亿,54.73
5,6,000416,民生控股,4.34,1.64,0.07,0.23,3.42,1.94,2.81,0.79亿,5.32亿,23.07亿,--
6,7,002259,ST升达,4.12,1.48,0.06,0.0,0.46,1.02,2.46,0.14亿,7.52亿,31.00亿,--
7,8,000023,深天地A,11.65,1.39,0.16,0.09,1.75,2.5,4.96,0.28亿,1.39亿,16.16亿,--
8,9,600671,ST目药,9.02,1.12,0.1,0.0,0.24,0.73,1.34,0.03亿,1.22亿,10.98亿,--
9,10,002296,辉煌科技,9.11,1.11,0.1,0.11,3.24,1.07,2.89,1.01亿,3.46亿,31.51亿,26.34
10,11,002021,ST中捷,1.87,1.08,0.02,0.0,3.08,1.17,3.78,0.40亿,6.88亿,12.86亿,40.71
11,12,000953,河化股份,6.66,1.06,0.07,0.0,0.88,1.24,1.67,0.21亿,3.66亿,24.38亿,--
12,13,600732,爱旭股份,35.69,1.05,0.37,0.0,1.47,1.25,4.08,4.82亿,9.23亿,329.37亿,25.07
13,14,002072,凯瑞德,7.77,1.04,0.08,0.13,1.82,1.26,3.38,0.37亿,2.58亿,20.02亿,--
14,15,600746,江苏索普,8.92,0.91,0.08,-0.22,0.59,1.34,1.58,0.22亿,4.24亿,37.83亿,11.01
15,16,002702,海欣食品,6.71,0.75,0.05,-0.3,1.72,0.86,1.5,0.45亿,3.86亿,25.91亿,45.18
16,17,002524,光正眼科,7.52,0.67,0.05,0.13,0.8,0.73,1.21,0.31亿,5.09亿,38.29亿,21.98
17,18,000677,恒天海龙,3.21,0.63,0.02,0.0,0.51,1.1,0.94,0.14亿,8.64亿,27.73亿,49.01
18,19,000679,大连友谊,5.76,0.52,0.03,0.0,0.83,0.95,1.22,0.17亿,3.56亿,20.53亿,--
19,20,002569,ST步森,6.63,0.46,0.03,0.15,0.25,1.0,0.91,0.02亿,1.40亿,9.26亿,--
20,21,002188,中天服务,7.53,0.4,0.03,0.13,1.36,0.65,1.73,0.25亿,2.41亿,18.14亿,34.13
21,22,600234,科新发展,7.63,0.4,0.03,0.13,0.46,1.74,1.71,0.07亿,2.02亿,15.45亿,--
22,23,000929,兰州黄河,11.25,0.36,0.04,0.0,3.02,0.8,1.87,0.63亿,1.86亿,20.90亿,--
23,24,600766,园城黄金,17.09,0.35,0.06,-0.06,0.96,0.87,2.58,0.37亿,2.24亿,38.27亿,2839.01
24,25,600493,凤竹纺织,6.29,0.32,0.02,0.32,0.78,0.69,0.8,0.13亿,2.72亿,17.11亿,46.52
25,26,002098,浔兴股份,6.59,0.3,0.02,-0.15,0.59,0.63,0.76,0.14亿,3.58亿,23.59亿,24.02
26,27,600355,精伦电子,3.92,0.26,0.01,0.0,2.68,1.05,1.79,0.51亿,4.92亿,19.29亿,--
27,28,002054,德美化工,7.87,0.26,0.02,0.0,0.26,0.6,0.64,0.08亿,3.77亿,29.66亿,24.96
28,29,600696,岩石股份,28.29,0.25,0.07,-0.11,0.52,1.73,1.74,0.49亿,3.34亿,94.62亿,150.03
29,30,000816,智慧农业,4.06,0.25,0.01,0.25,1.75,0.5,0.99,0.96亿,13.51亿,54.85亿,158.61
30,31,000573,粤宏远A,4.18,0.24,0.01,0.0,1.9,0.76,1.2,0.50亿,6.33亿,26.46亿,43.01
31,32,600243,青海华鼎,4.5,0.22,0.01,0.22,1.06,0.81,1.56,0.21亿,4.39亿,19.75亿,--
