,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,688158,优刻得,20.94,20.0,3.49,0.0,11.47,3.49,19.71,7.90亿,3.55亿,74.42亿,--
1,2,300288,朗玛信息,14.36,19.17,2.31,-0.69,22.78,10.59,14.69,7.87亿,2.52亿,36.12亿,60.12
2,3,300459,汤姆猫,4.49,15.72,0.61,0.45,16.8,4.36,13.4,22.37亿,30.01亿,134.74亿,29.57
3,4,601728,中国电信,5.8,10.06,0.53,0.0,1.4,2.82,10.82,15.25亿,195.90亿,1136.24亿,16.22
4,5,001339,智微智能,31.72,9.99,2.88,0.0,18.16,2.0,2.46,3.53亿,0.62亿,19.59亿,58.99
5,6,002261,拓维信息,9.39,9.95,0.85,2.07,13.37,2.43,11.01,13.23亿,11.16亿,104.79亿,85.99
6,7,603927,中科软,35.7,9.95,3.23,0.06,2.91,7.22,11.03,6.04亿,5.94亿,211.91亿,52.12
7,8,300271,华宇软件,10.21,9.67,0.9,-0.1,8.43,3.12,15.9,5.73亿,6.91亿,70.59亿,--
8,9,002131,利欧股份,2.16,8.54,0.17,0.47,8.82,3.7,10.55,10.91亿,58.35亿,126.03亿,--
9,10,300133,华策影视,5.8,6.23,0.34,0.17,3.04,3.1,7.14,2.80亿,16.18亿,93.87亿,27.47
10,11,600050,中国联通,5.35,5.94,0.3,0.0,1.64,3.12,9.51,26.87亿,309.62亿,1656.49亿,18.68
11,12,000711,京蓝科技,3.08,5.84,0.17,0.33,12.96,4.17,10.31,3.31亿,8.20亿,25.27亿,--
12,13,002373,千方科技,12.15,5.65,0.65,0.25,1.89,3.08,7.04,3.07亿,13.74亿,166.88亿,--
13,14,300807,天迈科技,27.5,5.65,1.47,0.0,10.22,4.94,11.56,1.35亿,0.49亿,13.38亿,--
14,15,002858,力盛体育,14.73,5.44,0.76,0.0,7.8,4.04,8.16,1.64亿,1.45亿,21.31亿,--
15,16,300229,拓尔思,24.89,5.38,1.27,0.08,12.65,1.47,10.96,23.19亿,7.61亿,189.35亿,137.13
16,17,002354,天娱数科,7.07,5.21,0.35,-0.28,22.99,1.36,12.95,23.63亿,14.69亿,103.84亿,--
17,18,002415,海康威视,38.04,5.14,1.86,0.16,0.62,3.46,5.5,21.07亿,91.09亿,3464.97亿,30.22
18,19,300170,汉得信息,12.27,5.14,0.6,0.66,9.14,3.01,6.34,9.01亿,8.27亿,101.48亿,18.06
19,20,002024,ST易购,2.3,5.02,0.11,0.0,0.75,7.42,4.57,1.34亿,78.83亿,181.32亿,--
20,21,301299,卓创资讯,54.78,5.0,2.61,-0.18,12.07,3.01,9.16,0.98亿,0.15亿,8.22亿,44.58
21,22,603869,新智认知,10.5,5.0,0.5,0.19,2.38,2.79,6.8,1.25亿,5.05亿,52.97亿,120.22
22,23,300494,盛天网络,17.96,4.91,0.84,0.06,6.92,3.28,6.72,2.59亿,2.11亿,37.96亿,19.24
23,24,002368,太极股份,40.5,4.79,1.85,0.22,3.79,2.2,11.56,8.92亿,5.88亿,238.03亿,153.02
24,25,300379,东方通,25.72,4.77,1.17,0.59,3.58,2.78,5.34,3.90亿,4.33亿,111.40亿,--
25,26,688229,博睿数据,49.53,4.6,2.18,-0.22,10.87,2.13,13.09,1.13亿,0.21亿,10.43亿,--
26,27,600845,宝信软件,52.0,4.36,2.17,0.02,0.48,2.54,5.58,3.49亿,14.37亿,747.48亿,50.39
27,28,300058,蓝色光标,6.28,4.32,0.26,0.16,5.96,2.33,6.64,8.69亿,23.19亿,145.63亿,386.26
28,29,688246,嘉和美康,39.55,4.11,1.56,0.15,2.82,2.1,5.37,1.09亿,1.00亿,39.50亿,2771.06
29,30,300033,同花顺,129.02,4.05,5.02,-0.09,1.63,2.26,6.47,5.68亿,2.72亿,350.35亿,58.95
30,31,002405,四维图新,13.53,4.0,0.52,0.15,2.36,2.01,5.53,7.17亿,22.98亿,310.91亿,--
31,32,300465,高伟达,11.1,3.93,0.42,0.27,3.01,2.07,7.21,1.46亿,4.47亿,49.59亿,--
32,33,000032,深桑达A,28.36,3.92,1.07,-0.39,5.91,2.56,12.53,10.69亿,6.45亿,182.85亿,--
33,34,002649,博彦科技,15.93,3.78,0.58,0.13,14.01,1.7,9.77,11.50亿,5.24亿,83.48亿,25.39
34,35,002439,启明星辰,30.76,3.6,1.07,-0.36,1.3,1.63,6.6,2.84亿,7.24亿,222.83亿,--
35,36,300738,奥飞数据,13.87,3.58,0.48,-0.22,7.84,1.59,8.96,7.33亿,6.84亿,94.93亿,64.67
36,37,300166,东方国信,10.28,3.52,0.35,0.0,12.6,3.72,6.14,11.99亿,9.19亿,94.52亿,82.24
37,38,600100,同方股份,5.89,3.52,0.2,-0.51,3.0,2.18,6.33,5.15亿,29.64亿,174.57亿,--
38,39,002236,大华股份,13.99,3.48,0.47,0.29,2.16,2.51,5.25,5.83亿,19.59亿,274.10亿,18.80
39,40,301085,亚康股份,40.55,3.47,1.36,-0.86,21.22,2.05,6.12,2.74亿,0.32亿,12.90亿,42.09
40,41,002279,久其软件,9.19,3.26,0.29,0.33,14.19,2.87,7.98,10.07亿,7.88亿,72.42亿,--
41,42,000158,常山北明,6.67,3.25,0.21,1.37,1.71,1.98,4.33,1.76亿,15.81亿,105.47亿,--
42,43,300578,会畅通讯,20.33,3.15,0.62,0.05,10.7,4.41,8.07,4.26亿,1.93亿,39.20亿,57.59
43,44,872808,曙光数创,38.32,3.12,1.16,0.0,1.73,1.29,7.7,0.17亿,0.26亿,9.87亿,50.13
44,45,688118,普元信息,23.06,3.04,0.68,0.09,1.87,1.47,5.09,0.33亿,0.78亿,18.06亿,--
45,46,002757,南兴股份,13.95,3.03,0.41,0.07,7.87,1.51,3.32,3.05亿,2.80亿,39.03亿,15.38
46,47,300356,*ST光一,4.89,2.95,0.14,0.0,0.72,0.99,3.79,0.14亿,3.92亿,19.17亿,--
47,48,600242,*ST中昌,1.44,2.86,0.04,0.0,2.34,1.19,4.29,0.15亿,4.51亿,6.50亿,--
48,49,835305,云创数据,12.25,2.85,0.34,0.0,2.06,1.64,4.11,0.16亿,0.64亿,7.84亿,34.36
49,50,300352,北信源,5.48,2.81,0.15,0.0,5.41,1.42,6.57,3.55亿,12.03亿,65.93亿,979.83
50,51,000938,紫光股份,26.13,2.79,0.71,0.12,1.83,1.48,5.74,13.38亿,28.60亿,747.34亿,34.18
51,52,300075,数字政通,21.44,2.78,0.58,-0.33,5.84,1.59,4.65,5.11亿,4.15亿,89.01亿,45.87
52,53,300030,阳普医疗,7.29,2.53,0.18,0.0,2.01,3.49,2.95,0.39亿,2.68亿,19.57亿,--
53,54,603636,南威软件,17.41,2.29,0.39,0.23,2.88,1.11,4.41,2.93亿,5.91亿,102.86亿,--
54,55,300085,银之杰,12.14,2.27,0.27,0.17,4.47,2.26,5.98,2.82亿,5.27亿,63.99亿,--
55,56,688318,财富趋势,133.66,2.23,2.91,0.4,7.26,1.93,3.94,2.78亿,0.29亿,38.52亿,139.99
56,57,605398,新炬网络,32.42,2.21,0.7,0.03,2.93,1.17,3.18,0.25亿,0.27亿,8.75亿,61.35
57,58,002308,威创股份,5.81,2.11,0.12,0.35,10.41,2.95,6.15,5.52亿,8.97亿,52.09亿,51.72
58,59,839680,广道数字,14.56,2.1,0.3,0.0,1.35,3.53,4.7,0.07亿,0.38亿,5.54亿,16.85
59,60,600070,浙江富润,6.38,2.08,0.13,-0.31,1.69,1.6,3.84,0.54亿,5.07亿,32.33亿,--
60,61,300377,赢时胜,9.9,2.06,0.2,0.2,2.16,1.69,3.71,1.42亿,6.68亿,66.17亿,901.65
61,62,300634,彩讯股份,20.38,2.0,0.4,0.05,4.41,2.6,6.11,3.71亿,4.20亿,85.58亿,42.43
62,63,600198,大唐电信,7.2,1.98,0.14,0.0,1.05,1.54,3.12,0.66亿,8.80亿,63.39亿,--
63,64,600804,ST鹏博士,3.6,1.98,0.07,-0.28,1.91,2.38,3.97,0.95亿,13.93亿,50.13亿,99.08
64,65,002401,中远海科,17.56,1.97,0.34,0.11,7.8,1.31,7.72,4.98亿,3.66亿,64.18亿,30.28
65,66,002445,中南文化,2.61,1.95,0.05,0.0,1.6,1.81,3.91,0.99亿,23.80亿,62.13亿,64.93
66,67,300766,每日互动,14.12,1.95,0.27,0.07,6.33,1.76,4.76,3.04亿,3.43亿,48.38亿,202.46
67,68,002771,真视通,13.8,1.92,0.26,0.0,6.58,0.86,3.4,1.53亿,1.69亿,23.39亿,--
68,69,000888,峨眉山A,8.52,1.91,0.16,-0.12,2.33,2.12,3.35,1.05亿,5.27亿,44.89亿,--
69,70,600588,用友网络,25.75,1.82,0.46,0.16,0.56,1.23,3.99,4.85亿,34.17亿,879.85亿,--
70,71,002152,广电运通,11.24,1.81,0.2,0.54,1.19,2.08,3.08,3.26亿,24.82亿,278.99亿,31.37
71,72,300096,易联众,7.36,1.8,0.13,0.14,5.96,1.98,3.73,1.65亿,3.77亿,27.71亿,--
72,73,002232,启明信息,15.34,1.79,0.27,0.99,1.72,1.09,3.19,1.06亿,4.09亿,62.67亿,69.62
73,74,002065,东华软件,6.85,1.78,0.12,-0.15,0.98,1.38,2.97,1.93亿,29.04亿,198.94亿,34.05
74,75,300212,易华录,27.1,1.76,0.47,-0.07,4.79,2.15,7.85,8.21亿,6.41亿,173.64亿,--
