,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,000897,津滨发展,2.44,1.25,0.03,0.41,0.42,1.16,1.25,0.17亿,16.17亿,39.46亿,27.48
1,2,600082,海泰发展,3.6,1.12,0.04,0.0,0.95,1.57,1.97,0.21亿,6.34亿,22.84亿,--
2,3,002432,九安医疗,51.72,1.0,0.51,0.08,1.17,1.33,1.62,2.89亿,4.81亿,249.01亿,1.16
3,4,600787,中储股份,5.22,0.97,0.05,0.19,0.4,1.3,1.35,0.46亿,21.70亿,113.28亿,18.52
4,5,000965,天保基建,4.93,0.82,0.04,0.2,0.91,0.79,0.82,0.50亿,11.10亿,54.71亿,66.68
5,6,600717,天津港,4.22,0.72,0.03,0.0,0.17,0.87,0.95,0.21亿,28.94亿,122.13亿,12.23
6,7,600322,天房发展,2.3,0.44,0.01,-0.43,0.69,0.84,1.31,0.18亿,11.06亿,25.43亿,40.19
7,8,600800,渤海化学,4.05,-0.25,-0.01,0.0,0.48,1.02,1.23,0.15亿,7.94亿,32.17亿,--
8,9,002820,桂发祥,10.58,-0.28,-0.03,-0.09,2.29,0.43,0.94,0.49亿,2.00亿,21.20亿,--
9,10,600821,金开新能,7.6,-0.52,-0.04,0.13,1.06,1.0,2.49,1.03亿,12.81亿,97.32亿,17.68
10,11,002134,天津普林,10.1,-0.69,-0.07,0.0,0.51,0.68,1.67,0.13亿,2.46亿,24.83亿,108.71
11,12,002786,银宝山新,8.57,-1.38,-0.12,-0.35,1.37,1.0,3.22,0.58亿,4.94亿,42.35亿,--
12,13,603106,恒银科技,6.49,-1.96,-0.13,0.0,1.94,1.15,1.96,0.65亿,5.21亿,33.78亿,--
13,14,600225,卓朗科技,7.25,-6.57,-0.51,-0.14,1.71,3.05,9.92,4.16亿,34.09亿,247.14亿,1102.94
