,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002053,云南能投,13.5,8.09,1.01,-1.24,1.27,8.26,10.49,1.26亿,7.61亿,102.73亿,45.45
1,2,603173,福斯达,32.09,6.26,1.89,-0.34,23.5,3.86,4.5,3.00亿,0.40亿,12.84亿,34.40
2,3,600107,美尔雅,6.81,2.87,0.19,-0.29,2.68,6.33,4.83,0.65亿,3.60亿,24.52亿,--
3,4,603223,恒通股份,23.03,2.36,0.53,-0.3,0.46,3.94,5.47,0.42亿,3.95亿,91.00亿,157.95
4,5,300084,海默科技,6.43,2.06,0.13,0.0,3.43,1.72,3.97,0.73亿,3.30亿,21.20亿,--
5,6,002971,和远气体,26.4,1.97,0.51,-0.04,5.13,3.5,5.56,1.68亿,1.24亿,32.82亿,62.55
6,7,600871,石化油服,2.15,1.9,0.04,0.47,0.13,1.49,1.9,0.38亿,135.69亿,291.74亿,110.76
7,8,600803,新奥股份,18.73,1.74,0.32,-0.05,0.15,1.09,2.17,0.41亿,14.61亿,273.70亿,13.78
8,9,002259,ST升达,4.13,1.72,0.07,-0.24,0.39,1.32,2.46,0.12亿,7.52亿,31.07亿,--
9,10,600968,海油发展,3.28,1.55,0.05,0.0,0.16,1.47,1.86,0.53亿,101.65亿,333.42亿,13.58
10,11,600028,中国石化,4.56,1.11,0.05,0.0,0.07,3.44,1.55,3.25亿,951.15亿,4337.27亿,7.24
11,12,601969,海南矿业,7.92,1.02,0.08,0.13,0.35,1.53,1.53,0.56亿,20.22亿,160.12亿,20.22
12,13,600339,中油工程,3.19,0.95,0.03,0.0,0.29,1.54,1.58,0.52亿,55.83亿,178.10亿,15.17
13,14,603689,皖天然气,8.41,0.72,0.06,-0.12,0.4,1.52,1.08,0.16亿,4.70亿,39.56亿,14.07
14,15,600256,广汇能源,9.85,0.72,0.07,-0.2,0.28,0.82,1.23,1.78亿,65.66亿,646.73亿,5.77
15,16,002524,光正眼科,7.52,0.67,0.05,-0.13,0.6,0.86,1.21,0.23亿,5.09亿,38.29亿,21.98
16,17,000582,北部湾港,7.62,0.66,0.05,0.0,0.2,1.15,0.66,0.21亿,14.10亿,107.42亿,13.05
17,18,600248,陕西建工,4.57,0.66,0.03,0.0,0.49,1.29,0.88,0.32亿,14.51亿,66.30亿,4.03
18,19,603077,和邦生物,3.27,0.61,0.02,-0.31,0.34,0.84,1.54,0.98亿,88.31亿,288.78亿,6.32
19,20,000552,靖远煤电,3.42,0.59,0.02,0.0,0.34,1.01,0.88,0.29亿,25.05亿,85.66亿,16.66
20,21,601857,中国石油,5.18,0.58,0.03,0.0,0.03,2.46,1.17,2.60亿,1619.22亿,8387.56亿,5.91
21,22,600938,中国海油,16.03,0.56,0.09,-0.06,0.69,1.47,0.88,1.92亿,17.50亿,280.56亿,5.26
22,23,000685,中山公用,7.29,0.55,0.04,0.0,0.2,1.85,0.97,0.18亿,12.53亿,91.36亿,11.82
23,24,603227,雪峰科技,9.16,0.55,0.05,-0.11,0.67,1.67,1.21,0.40亿,6.59亿,60.34亿,17.95
24,25,603619,中曼石油,19.0,0.53,0.1,0.0,0.35,0.91,1.16,0.27亿,4.00亿,76.00亿,15.34
25,26,002573,清新环境,5.96,0.51,0.03,0.17,0.18,0.78,0.84,0.11亿,10.79亿,64.32亿,17.38
26,27,000883,湖北能源,4.38,0.46,0.02,0.0,0.1,0.76,0.92,0.27亿,65.06亿,284.94亿,11.75
27,28,000543,皖能电力,4.63,0.43,0.02,0.0,0.54,1.28,1.3,0.56亿,22.67亿,104.96亿,18.16
28,29,600461,洪城环境,7.13,0.42,0.03,0.14,0.19,1.63,0.7,0.13亿,9.51亿,67.82亿,7.64
29,30,000593,德龙汇能,8.09,0.37,0.03,0.25,0.7,1.01,0.87,0.20亿,3.58亿,29.00亿,64.34
30,31,601808,中海油服,16.18,0.37,0.06,0.06,0.05,0.64,0.93,0.24亿,29.60亿,479.00亿,28.07
31,32,002911,佛燃能源,13.74,0.36,0.05,0.07,0.19,0.71,1.24,0.25亿,9.45亿,129.80亿,20.22
32,33,603299,苏盐井神,11.17,0.36,0.04,-0.09,0.28,0.94,0.81,0.24亿,7.70亿,86.02亿,9.47
33,34,002353,杰瑞股份,31.86,0.35,0.11,-0.09,0.24,0.67,1.35,0.53亿,6.90亿,219.79亿,16.41
34,35,000507,珠海港,5.93,0.34,0.02,-0.34,0.42,1.0,1.52,0.22亿,9.02亿,53.51亿,19.08
35,36,600691,阳煤化工,3.35,0.3,0.01,-0.3,0.13,1.39,1.2,0.10亿,23.76亿,79.58亿,31.16
36,37,600583,海油工程,6.75,0.3,0.02,0.45,0.36,2.16,3.42,1.07亿,44.21亿,298.44亿,26.81
37,38,600979,广安爱众,3.45,0.29,0.01,-0.29,0.35,0.99,0.87,0.15亿,12.32亿,42.51亿,22.61
38,39,001332,锡装股份,70.49,0.27,0.19,0.07,1.54,0.46,1.69,0.22亿,0.20亿,14.10亿,23.69
39,40,605169,洪通燃气,11.67,0.26,0.03,0.0,0.69,0.92,0.34,0.06亿,0.71亿,8.25亿,17.2
40,41,831010,凯添燃气,3.95,0.25,0.01,0.25,0.18,2.64,1.27,0.01亿,1.61亿,6.36亿,13.94
