,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,603566,普莱柯,32.45,4.68,1.48,0.22,0.84,1.55,5.64,0.87亿,3.21亿,104.33亿,64.65
1,2,301116,益客食品,16.68,3.15,0.51,-0.12,5.99,1.95,4.14,1.15亿,1.17亿,19.43亿,--
2,3,301009,可靠股份,13.75,2.15,0.29,-0.22,4.1,2.53,2.9,0.55亿,0.97亿,13.36亿,189.80
3,4,003030,祖名股份,27.19,1.76,0.47,0.0,1.6,2.14,2.13,0.22亿,0.50亿,13.69亿,68.30
4,5,002862,实丰文化,16.52,1.6,0.26,-0.06,1.87,1.55,5.23,0.28亿,0.90亿,14.90亿,228.25
5,6,300871,回盛生物,22.82,1.38,0.31,0.31,1.36,1.37,1.91,0.26亿,0.83亿,18.93亿,107.63
6,7,301110,青木股份,42.49,1.36,0.57,0.0,5.43,1.18,2.93,0.37亿,0.16亿,6.80亿,56.33
7,8,603609,禾丰股份,12.32,0.82,0.1,0.08,0.29,1.02,1.55,0.33亿,9.19亿,113.27亿,24.29
8,9,600267,海正药业,11.3,0.8,0.09,0.0,0.69,1.88,1.52,0.85亿,10.92亿,123.44亿,30.22
9,10,002891,中宠股份,24.11,0.75,0.18,0.04,0.32,0.77,0.96,0.23亿,2.94亿,70.91亿,46.40
10,11,603387,基蛋生物,13.5,0.75,0.1,0.0,0.59,1.38,0.9,0.40亿,5.07亿,68.47亿,10.81
11,12,002311,海大集团,60.21,0.65,0.39,0.1,0.2,1.96,2.14,2.01亿,16.60亿,999.47亿,35.69
12,13,600655,豫园股份,7.87,0.64,0.05,0.13,0.04,0.61,0.77,0.14亿,38.88亿,305.95亿,25.48
13,14,002688,金河生物,5.56,0.54,0.03,0.0,0.22,0.97,0.9,0.09亿,7.66亿,42.60亿,31.76
14,15,605507,国邦医药,26.13,0.5,0.13,0.12,0.4,0.68,1.39,0.32亿,3.02亿,78.84亿,15.19
15,16,300673,佩蒂股份,18.89,0.48,0.09,0.16,0.93,0.77,1.28,0.29亿,1.63亿,30.86亿,22.74
16,17,000513,丽珠集团,35.16,0.43,0.15,-0.11,0.56,1.27,1.34,1.18亿,6.06亿,213.02亿,16.37
17,18,600201,生物股份,12.14,0.41,0.05,0.0,0.53,0.5,1.57,0.71亿,11.20亿,136.01亿,48.56
18,19,002868,绿康生化,54.36,0.28,0.15,0.02,0.48,0.66,1.83,0.39亿,1.52亿,82.64亿,--
19,20,832419,路斯股份,5.98,0.17,0.01,0.0,0.15,2.76,1.0,0.00亿,0.47亿,2.81亿,16.18
20,21,001222,源飞宠物,27.22,0.15,0.04,0.0,2.17,0.79,1.07,0.20亿,0.34亿,9.28亿,20.12
21,22,301335,天元宠物,38.35,0.1,0.04,-0.03,0.72,0.65,0.47,0.06亿,0.21亿,8.18亿,27.26
22,23,300735,光弘科技,10.5,0.1,0.01,0.29,0.5,1.03,1.72,0.39亿,7.53亿,79.03亿,30.32
23,24,300783,三只松鼠,21.57,0.09,0.03,0.05,0.46,0.65,1.21,0.40亿,4.01亿,86.50亿,69.38
24,25,001206,依依股份,26.47,0.08,0.02,-0.04,0.86,1.07,0.94,0.15亿,0.64亿,16.95亿,20.68
25,26,300703,创源股份,11.06,0.0,0.0,-0.09,1.55,1.42,1.63,0.29亿,1.67亿,18.50亿,16.94
26,27,600539,狮头股份,7.07,-0.14,-0.01,0.14,0.36,0.75,0.85,0.06亿,2.30亿,16.26亿,521.4
27,28,603739,蔚蓝生物,14.53,-0.21,-0.03,0.0,0.16,0.63,1.03,0.06亿,2.52亿,36.68亿,50.74
28,29,300119,瑞普生物,20.34,-0.44,-0.09,0.15,0.23,0.78,1.32,0.15亿,3.26亿,66.27亿,30.64
29,30,001238,浙江正特,28.12,-0.49,-0.14,0.04,2.64,0.9,1.31,0.20亿,0.28亿,7.73亿,42.82
30,31,003010,若羽臣,19.21,-0.52,-0.1,-0.1,1.79,0.87,2.28,0.25亿,0.72亿,13.77亿,103.46
31,32,688526,科前生物,29.65,-1.89,-0.57,0.1,0.5,0.43,2.38,0.18亿,1.21亿,35.91亿,36.58
32,33,301135,瑞德智能,27.9,-2.85,-0.82,0.14,4.6,0.92,2.61,0.31亿,0.24亿,6.65亿,66.19
