,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002024,ST易购,2.3,5.02,0.11,0.0,0.75,7.42,4.57,1.34亿,78.83亿,181.32亿,--
1,2,002668,奥马电器,6.75,3.69,0.24,0.15,1.3,1.85,5.68,0.95亿,10.84亿,73.18亿,16.73
2,3,002762,金发拉比,12.94,3.52,0.44,0.08,17.52,2.31,6.24,4.51亿,2.01亿,26.02亿,333.29
3,4,002705,新宝股份,19.19,3.39,0.63,0.0,1.51,2.32,4.04,2.38亿,8.23亿,157.93亿,14.10
4,5,300342,天银机电,10.01,2.88,0.28,0.2,3.31,2.78,7.61,1.38亿,4.16亿,41.67亿,79.04
5,6,688007,光峰科技,27.76,1.91,0.52,0.36,0.57,1.18,3.71,0.72亿,4.57亿,126.89亿,104.17
6,7,600690,海尔智家,26.69,1.64,0.43,0.08,0.16,1.2,2.06,2.74亿,63.09亿,1683.75亿,16.21
7,8,000810,创维数字,16.52,1.6,0.26,0.18,1.59,1.27,3.2,2.89亿,11.17亿,184.57亿,20.16
8,9,603703,盛洋科技,17.09,1.24,0.21,0.06,1.03,1.82,2.55,0.52亿,2.99亿,51.03亿,170.98
9,10,002032,苏泊尔,52.76,1.13,0.59,0.0,0.04,1.08,1.97,0.16亿,8.06亿,425.00亿,24.45
10,11,300475,香农芯创,18.52,0.87,0.16,0.11,0.71,2.22,5.94,0.54亿,4.04亿,74.87亿,40.90
11,12,000016,深康佳A,4.94,0.82,0.04,0.0,0.5,1.21,1.84,0.40亿,15.97亿,78.87亿,65.80
12,13,300070,碧水源,5.08,0.79,0.04,0.0,0.42,1.14,1.19,0.59亿,27.27亿,138.52亿,634.82
13,14,603366,日出东方,6.77,0.74,0.05,0.0,0.87,0.81,1.64,0.47亿,8.06亿,54.58亿,297.95
14,15,002005,ST德豪,1.45,0.69,0.01,0.69,0.43,1.68,1.39,0.11亿,17.52亿,25.41亿,--
15,16,002959,小熊电器,68.5,0.69,0.47,-0.1,0.34,0.82,1.68,0.36亿,1.56亿,106.77亿,33.33
16,17,600619,海立股份,6.08,0.66,0.04,0.0,0.33,1.14,1.16,0.16亿,7.89亿,47.98亿,82.02
17,18,603320,迪贝电气,14.12,0.64,0.09,-0.21,0.49,1.04,1.57,0.09亿,1.30亿,18.36亿,42.17
18,19,002045,国光电器,14.03,0.57,0.08,-0.07,2.28,0.8,2.87,1.48亿,4.68亿,65.62亿,29.04
19,20,000333,美的集团,51.64,0.56,0.29,-0.04,0.14,0.87,1.5,4.78亿,68.53亿,3538.93亿,11.07
20,21,300626,华瑞股份,9.16,0.55,0.05,0.0,0.94,1.82,1.87,0.15亿,1.77亿,16.24亿,69.95
21,22,002723,小崧股份,11.63,0.52,0.06,0.0,1.0,1.16,1.47,0.36亿,3.09亿,35.88亿,186.22
22,23,003028,振邦智能,53.51,0.43,0.23,0.0,4.61,1.22,3.57,0.70亿,0.28亿,14.97亿,33.80
23,24,301055,张小泉,15.85,0.38,0.06,0.0,0.98,0.78,1.08,0.09亿,0.58亿,9.26亿,45.20
24,25,000651,格力电器,34.67,0.38,0.13,0.0,0.17,0.93,0.78,3.25亿,55.87亿,1937.18亿,8.00
25,26,600839,四川长虹,3.02,0.33,0.01,-0.33,0.48,0.82,1.33,0.66亿,46.15亿,139.37亿,46.23
26,27,002035,华帝股份,6.2,0.32,0.02,0.0,0.8,0.68,1.13,0.37亿,7.55亿,46.80亿,14.05
27,28,600336,澳柯玛,6.31,0.32,0.02,0.0,0.41,0.83,0.8,0.21亿,7.98亿,50.35亿,24.85
28,29,300464,星徽股份,6.52,0.31,0.02,0.15,1.02,1.46,2.0,0.21亿,3.12亿,20.34亿,--
29,30,603685,晨丰科技,10.94,0.28,0.03,-0.09,0.62,0.72,2.57,0.11亿,1.69亿,18.49亿,94.68
30,31,000521,长虹美菱,4.95,0.2,0.01,0.2,0.64,0.62,1.01,0.28亿,8.76亿,43.35亿,23.57
31,32,000921,海信家电,17.62,0.17,0.03,-0.4,0.4,0.87,2.1,0.63亿,9.03亿,159.08亿,16.83
32,33,000404,长虹华意,6.07,0.17,0.01,0.17,1.02,0.65,0.66,0.43亿,6.96亿,42.23亿,21.87
33,34,002614,奥佳华,8.92,0.11,0.01,0.11,1.27,0.79,1.01,0.50亿,4.41亿,39.32亿,60.93
34,35,301196,唯科科技,36.55,0.0,0.0,-0.03,0.55,0.91,0.71,0.07亿,0.37亿,13.59亿,29.44
35,36,002759,天际股份,17.8,-0.06,-0.01,0.06,0.49,0.82,0.9,0.35亿,4.02亿,71.58亿,10.05
36,37,603215,比依股份,16.12,-0.06,-0.01,0.0,1.54,0.91,0.87,0.12亿,0.47亿,7.52亿,17.18
37,38,601956,东贝集团,6.6,-0.15,-0.01,0.0,0.71,0.87,0.91,0.10亿,2.18亿,14.40亿,32.95
38,39,603677,奇精机械,12.55,-0.16,-0.02,0.08,0.18,0.65,1.11,0.04亿,1.92亿,24.11亿,31.58
39,40,002508,老板电器,29.7,-0.17,-0.05,-0.13,0.25,0.53,0.87,0.70亿,9.37亿,278.28亿,17.14
40,41,600854,春兰股份,4.92,-0.2,-0.01,-0.2,0.36,0.93,0.81,0.09亿,5.19亿,25.56亿,16.88
41,42,605117,德业股份,307.36,-0.21,-0.64,0.06,1.1,1.2,3.56,2.74亿,0.81亿,249.69亿,59.4
42,43,603726,朗迪集团,13.47,-0.22,-0.03,0.07,0.39,1.1,0.96,0.10亿,1.86亿,25.01亿,21.7
43,44,603355,莱克电气,30.64,-0.33,-0.1,-0.03,0.07,0.61,1.17,0.13亿,5.66亿,173.57亿,16.08
44,45,603551,奥普家居,11.64,-0.34,-0.04,0.0,0.16,0.5,1.46,0.07亿,4.02亿,46.76亿,21.51
45,46,603195,公牛集团,162.46,-0.35,-0.57,0.03,0.07,0.92,2.33,0.68亿,5.99亿,973.33亿,31.02
46,47,300335,迪森股份,5.17,-0.39,-0.02,0.0,1.29,0.78,0.77,0.26亿,3.96亿,20.48亿,184.2
47,48,002420,毅昌科技,7.65,-0.39,-0.03,0.0,1.74,0.52,1.04,0.52亿,3.90亿,29.82亿,54.39
48,49,001259,利仁科技,29.79,-0.4,-0.12,-0.13,3.6,1.19,1.04,0.20亿,0.18亿,5.51亿,39.89
49,50,002050,三花智控,26.93,-0.41,-0.11,0.07,0.23,0.43,2.22,2.14亿,35.28亿,949.98亿,44.56
50,51,600060,海信视像,15.48,-0.45,-0.07,0.0,0.18,0.6,1.03,0.37亿,12.89亿,199.55亿,13.71
51,52,300660,江苏雷利,30.69,-0.52,-0.16,0.0,1.13,0.58,2.08,0.91亿,2.62亿,80.42亿,28.28
52,53,600983,惠而浦,7.79,-0.64,-0.05,-0.13,0.06,0.72,1.4,0.04亿,7.66亿,59.71亿,--
53,54,603519,立霸股份,12.64,-0.71,-0.09,0.08,0.39,1.12,1.65,0.13亿,2.66亿,33.66亿,5.03
54,55,002543,万和电气,9.52,-0.73,-0.07,-0.11,0.68,0.93,1.25,0.41亿,6.31亿,60.06亿,9.75
55,56,605365,立达信,17.51,-0.74,-0.13,-0.06,1.19,0.82,1.59,0.12亿,0.57亿,10.03亿,13.91
56,57,301359,东南电子,24.34,-0.78,-0.19,0.0,2.9,0.73,0.9,0.14亿,0.20亿,4.95亿,51.09
57,58,002242,九阳股份,19.51,-0.96,-0.19,0.0,0.18,0.4,1.32,0.27亿,7.66亿,149.38亿,22.24
58,59,002295,精艺股份,7.69,-1.03,-0.08,0.0,0.96,0.76,1.8,0.19亿,2.50亿,19.24亿,38.30
59,60,300403,汉宇集团,7.91,-1.12,-0.09,0.0,3.03,0.7,1.38,0.94亿,3.92亿,31.02亿,21.76
60,61,605336,帅丰电器,19.37,-1.22,-0.24,-0.05,11.85,2.43,8.11,1.38亿,0.59亿,11.35亿,17.66
61,62,603486,科沃斯,90.13,-1.28,-1.17,0.18,0.41,1.09,2.34,2.10亿,5.65亿,509.27亿,34.48
62,63,003023,彩虹集团,24.81,-1.31,-0.33,0.0,4.67,0.82,1.71,0.60亿,0.51亿,12.75亿,32.58
63,64,300824,北鼎股份,10.18,-1.45,-0.15,0.0,1.35,0.97,2.03,0.20亿,1.45亿,14.79亿,69.89
64,65,603982,泉峰汽车,23.07,-1.7,-0.4,0.04,3.48,0.63,2.13,0.66亿,0.82亿,18.95亿,--
65,66,605555,德昌股份,23.53,-1.79,-0.43,0.09,1.82,1.68,2.71,0.42亿,0.97亿,22.81亿,17.85
66,67,002403,爱仕达,10.2,-1.83,-0.19,0.1,3.31,1.53,2.41,1.03亿,3.06亿,31.21亿,--
67,68,002860,星帅尔,15.49,-1.84,-0.29,0.32,3.55,0.6,1.9,1.21亿,2.19亿,33.96亿,32.91
68,69,300894,火星人,32.28,-1.91,-0.63,-0.03,1.11,0.72,4.25,0.41亿,1.12亿,36.31亿,44.79
