,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300068,南都电源,28.05,5.1,1.36,-0.25,4.58,1.89,6.59,10.48亿,8.34亿,233.99亿,29.92
1,2,600139,*ST西源,0.89,4.71,0.04,0.0,2.94,0.69,1.18,0.17亿,6.62亿,5.89亿,--
2,3,002167,东方锆业,9.77,3.61,0.34,0.51,17.54,1.72,7.0,11.67亿,6.81亿,66.55亿,44.29
3,4,002182,云海金属,23.66,2.51,0.58,0.04,1.98,1.77,2.56,2.58亿,5.57亿,131.83亿,19.81
4,5,601390,中国中铁,5.98,2.4,0.14,0.17,0.4,1.84,2.4,4.79亿,203.63亿,1217.74亿,4.82
5,6,600612,老凤祥,49.45,1.98,0.96,0.04,0.16,0.87,2.64,0.25亿,3.17亿,156.81亿,14.31
6,7,002600,领益智造,6.01,1.69,0.1,0.17,0.47,1.09,3.21,1.92亿,68.92亿,414.18亿,25.88
7,8,000970,中科三环,14.75,1.3,0.19,0.07,1.89,1.21,2.54,3.37亿,12.16亿,179.32亿,21.82
8,9,002428,云南锗业,10.96,1.29,0.14,-0.09,1.95,1.35,3.42,1.38亿,6.44亿,70.62亿,--
9,10,601618,中国中冶,3.4,1.19,0.04,0.0,0.27,1.54,1.49,1.65亿,178.53亿,606.99亿,7.87
10,11,603843,正平股份,4.63,1.09,0.05,0.22,0.76,1.19,1.09,0.24亿,7.00亿,32.39亿,100.85
11,12,600010,包钢股份,2.05,0.98,0.02,0.0,0.46,1.37,1.48,2.95亿,316.77亿,649.38亿,--
12,13,600655,豫园股份,7.88,0.77,0.06,0.0,0.05,0.62,0.77,0.17亿,38.88亿,306.34亿,25.52
13,14,000540,中天金融,1.37,0.73,0.01,0.74,0.76,1.51,1.47,0.72亿,69.69亿,95.47亿,--
14,15,300340,科恒股份,20.65,0.73,0.15,0.34,16.49,1.66,7.32,6.44亿,1.87亿,38.62亿,--
15,16,601669,中国电建,7.03,0.72,0.05,0.14,0.43,1.38,0.86,3.32亿,109.91亿,772.70亿,10.54
16,17,600868,梅雁吉祥,2.86,0.7,0.02,0.35,0.64,1.0,0.7,0.35亿,18.98亿,54.29亿,89.78
17,18,601106,中国一重,3.13,0.64,0.02,-0.32,0.11,0.7,0.96,0.24亿,68.58亿,214.65亿,230.73
18,19,600392,盛和资源,16.25,0.62,0.1,0.06,0.61,0.88,1.49,1.73亿,17.53亿,284.83亿,14.38
19,20,600622,光大嘉宝,3.31,0.61,0.02,-0.3,0.46,0.72,0.91,0.23亿,15.00亿,49.64亿,61.04
20,21,002378,章源钨业,8.7,0.58,0.05,0.0,1.48,1.36,3.24,1.19亿,9.22亿,80.18亿,33.91
21,22,601958,金钼股份,14.48,0.56,0.08,0.07,0.77,1.18,3.4,3.61亿,32.27亿,467.21亿,33.62
22,23,600111,北方稀土,28.86,0.52,0.15,0.07,0.71,1.18,1.95,7.38亿,36.15亿,1043.31亿,16.89
23,24,000778,新兴铸管,3.87,0.52,0.02,0.0,0.33,1.14,1.04,0.50亿,38.96亿,150.78亿,8.4
24,25,000408,藏格矿业,28.13,0.5,0.14,0.04,0.17,0.62,1.04,0.75亿,15.80亿,444.58亿,8.0
25,26,002056,横店东磁,22.18,0.5,0.11,-0.05,0.46,0.77,1.45,1.63亿,15.97亿,354.23亿,22.4
26,27,000960,锡业股份,15.0,0.47,0.07,0.07,0.45,0.67,1.41,1.10亿,16.46亿,246.87亿,13.76
27,28,002225,濮耐股份,4.42,0.46,0.02,0.0,0.78,1.24,1.36,0.28亿,8.25亿,36.49亿,15.53
28,29,600456,宝钛股份,42.99,0.42,0.18,-0.02,0.59,1.07,1.31,1.22亿,4.78亿,205.40亿,30.24
29,30,002601,龙佰集团,21.64,0.42,0.09,0.0,0.25,0.8,1.07,0.90亿,16.49亿,356.78亿,12.22
30,31,600961,株冶集团,8.22,0.37,0.03,0.12,0.56,0.69,1.47,0.24亿,5.27亿,43.36亿,45.03
31,32,601212,白银有色,2.76,0.36,0.01,0.36,0.13,0.72,0.73,0.26亿,74.05亿,204.37亿,--
32,33,600766,园城黄金,17.09,0.35,0.06,-0.06,0.96,0.87,2.58,0.37亿,2.24亿,38.27亿,2839.01
33,34,600058,五矿发展,9.54,0.32,0.03,0.0,0.2,0.61,0.84,0.21亿,10.72亿,102.26亿,21.60
34,35,002460,赣锋锂业,76.92,0.31,0.24,0.07,0.97,0.94,2.36,8.94亿,12.08亿,928.97亿,7.87
