,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,001339,智微智能,31.72,9.99,2.88,0.0,18.09,2.69,2.46,3.52亿,0.62亿,19.59亿,58.99
1,2,000711,京蓝科技,3.08,5.84,0.17,0.33,12.6,5.46,10.31,3.22亿,8.20亿,25.27亿,--
2,3,002903,宇环数控,25.55,4.93,1.2,0.24,8.55,2.63,6.53,2.05亿,0.95亿,24.25亿,55.16
3,4,002415,海康威视,37.95,4.89,1.77,0.61,0.41,3.08,4.92,13.83亿,91.09亿,3456.78亿,30.15
4,5,300166,东方国信,10.37,4.43,0.44,0.58,12.02,4.79,6.14,11.44亿,9.19亿,95.34亿,82.96
5,6,600282,南钢股份,3.94,3.41,0.13,0.25,1.29,1.08,4.99,2.25亿,44.67亿,176.00亿,8.77
6,7,300687,赛意信息,34.81,3.29,1.11,1.19,0.81,0.82,5.04,0.85亿,3.10亿,107.95亿,69.05
7,8,002406,远东传动,5.74,2.87,0.16,0.0,6.17,2.48,8.06,1.75亿,4.96亿,28.48亿,52.25
8,9,300316,晶盛机电,69.0,2.82,1.89,-0.12,0.37,2.3,4.28,3.07亿,12.31亿,849.21亿,33.72
9,10,002757,南兴股份,13.91,2.73,0.37,-0.36,7.37,1.9,3.32,2.86亿,2.80亿,38.92亿,15.34
10,11,300353,东土科技,12.12,2.19,0.26,0.25,3.57,2.19,6.16,1.90亿,4.39亿,53.20亿,--
11,12,300442,润泽科技,55.39,2.03,1.1,-0.11,5.61,3.17,5.62,2.08亿,0.66亿,36.49亿,48.29
12,13,300173,福能东方,5.05,1.81,0.09,-0.39,1.69,2.84,3.02,0.60亿,7.08亿,35.77亿,436.14
13,14,000100,TCL科技,4.55,1.56,0.07,-0.44,2.62,3.67,3.35,16.33亿,136.52亿,621.17亿,207.57
14,15,600690,海尔智家,26.6,1.29,0.34,0.04,0.14,1.32,2.06,2.30亿,63.09亿,1678.08亿,16.16
15,16,600076,康欣新材,3.14,1.29,0.04,0.0,0.42,2.29,1.94,0.14亿,10.34亿,32.48亿,--
16,17,300222,科大智能,8.0,1.27,0.1,0.13,3.09,2.67,3.17,1.56亿,6.26亿,50.11亿,--
17,18,300391,康跃科技,10.46,1.26,0.13,0.1,1.03,2.49,2.23,0.38亿,3.50亿,36.65亿,100.21
18,19,603338,浙江鼎力,60.84,1.23,0.74,0.18,0.22,0.79,2.1,0.66亿,5.06亿,308.06亿,26.36
19,20,002506,协鑫集成,3.3,1.23,0.04,0.0,1.2,3.22,3.07,2.33亿,58.49亿,193.03亿,--
20,21,002506,协鑫集成,3.3,1.23,0.04,0.0,1.2,3.22,3.07,2.33亿,58.49亿,193.03亿,--
21,22,600775,南京熊猫,11.15,1.18,0.13,0.09,0.42,0.8,2.0,0.31亿,6.72亿,74.91亿,1829.94
22,23,603416,信捷电气,52.92,1.17,0.61,0.08,0.66,1.32,2.35,0.48亿,1.41亿,74.38亿,34.05
23,24,300124,汇川技术,74.4,1.09,0.8,-0.11,0.12,0.68,2.23,2.02亿,23.08亿,1716.79亿,48.09
24,25,600812,华北制药,6.35,0.95,0.06,-0.31,0.56,2.82,1.11,0.58亿,16.31亿,103.56亿,215.40
25,26,000928,中钢国际,7.42,0.95,0.07,0.14,1.06,1.37,2.72,1.02亿,12.81亿,95.05亿,15.30
26,27,603728,鸣志电器,46.91,0.95,0.44,0.0,0.91,1.3,4.07,1.81亿,4.18亿,195.92亿,92.37
27,28,603185,上机数控,115.35,0.94,1.07,-0.07,0.69,0.89,2.09,3.21亿,4.08亿,470.70亿,12.56
28,29,603859,能科科技,38.0,0.93,0.35,0.4,0.85,0.65,1.54,0.54亿,1.67亿,63.30亿,43.48
29,30,002158,汉钟精机,27.16,0.93,0.25,-0.04,0.32,1.19,1.82,0.47亿,5.33亿,144.85亿,22.99
30,31,002747,埃斯顿,26.11,0.93,0.24,0.12,0.83,1.52,1.85,1.71亿,7.84亿,204.76亿,141.53
31,32,300378,鼎捷软件,18.77,0.91,0.17,-0.05,1.0,1.4,2.2,0.49亿,2.66亿,50.02亿,78.89
32,33,300430,诚益通,15.28,0.86,0.13,0.0,0.45,1.23,2.64,0.18亿,2.56亿,39.18亿,41.61
33,34,688499,利元亨,182.55,0.86,1.55,-0.08,1.56,1.18,2.1,0.98亿,0.34亿,62.05亿,42.65
34,35,600875,东方电气,20.33,0.84,0.17,-0.05,0.79,1.36,3.12,3.18亿,20.15亿,409.68亿,19.02
35,36,600560,金自天正,12.34,0.82,0.1,-0.16,2.11,1.79,4.41,0.58亿,2.24亿,27.60亿,54.43
