,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,688158,优刻得,20.94,20.0,3.49,0.0,10.75,4.22,19.71,7.37亿,3.55亿,74.42亿,--
1,2,301236,软通动力,43.35,8.43,3.37,0.81,9.96,4.53,7.78,3.39亿,0.82亿,35.54亿,30.72
2,3,002368,太极股份,41.5,7.37,2.85,-1.14,3.29,2.46,11.56,7.71亿,5.88亿,243.91亿,156.80
3,4,300226,上海钢联,34.88,4.75,1.58,-0.06,2.46,2.24,8.68,2.19亿,2.57亿,89.79亿,50.70
4,5,300166,东方国信,10.35,4.23,0.42,0.0,12.11,4.62,6.14,11.52亿,9.19亿,95.16亿,82.80
5,6,002439,启明星辰,30.93,4.18,1.24,-0.16,1.09,1.76,6.57,2.37亿,7.24亿,224.06亿,--
6,7,600845,宝信软件,51.74,3.83,1.91,-0.12,0.37,2.53,4.92,2.69亿,14.37亿,743.74亿,50.14
7,8,002010,传化智联,6.25,3.82,0.23,0.0,2.04,6.03,5.98,3.42亿,27.00亿,168.72亿,21.70
8,9,300379,东方通,25.42,3.54,0.87,-0.43,2.98,2.98,4.85,3.23亿,4.33亿,110.11亿,--
9,10,600282,南钢股份,3.94,3.41,0.13,0.0,1.31,1.05,4.99,2.28亿,44.67亿,176.00亿,8.77
10,11,002757,南兴股份,13.95,3.03,0.41,0.07,7.43,1.84,3.32,2.88亿,2.80亿,39.03亿,15.38
11,12,300687,赛意信息,34.55,2.52,0.85,-1.23,1.0,0.97,5.7,1.05亿,3.10亿,107.14亿,68.53
12,13,600588,用友网络,25.88,2.33,0.59,0.0,0.45,1.28,3.99,3.90亿,34.17亿,884.29亿,--
13,14,300170,汉得信息,11.94,2.31,0.27,-0.08,7.11,3.02,4.2,6.97亿,8.27亿,98.76亿,17.57
14,15,002261,拓维信息,8.73,2.23,0.19,-0.68,8.17,1.91,4.68,7.91亿,11.16亿,97.42亿,79.95
15,16,300031,宝通科技,16.5,2.1,0.34,0.06,5.75,3.24,4.33,3.28亿,3.45亿,56.96亿,50.58
16,17,300352,北信源,5.44,2.06,0.11,0.0,4.97,1.68,6.57,3.26亿,12.03亿,65.45亿,972.67
17,18,300353,东土科技,12.09,1.94,0.23,-0.17,3.66,2.15,6.16,1.94亿,4.39亿,53.07亿,--
18,19,300383,光环新网,10.78,1.89,0.2,0.94,2.08,1.44,3.88,3.92亿,17.81亿,192.01亿,35.19
19,20,002212,天融信,12.12,1.85,0.22,0.17,0.94,1.7,3.61,1.31亿,11.68亿,141.53亿,--
20,21,000100,TCL科技,4.56,1.79,0.08,0.0,2.64,3.53,3.35,16.46亿,136.52亿,622.54亿,208.03
21,22,002771,真视通,13.78,1.77,0.24,0.07,5.4,0.91,2.95,1.25亿,1.69亿,23.36亿,--
22,23,600166,福田汽车,3.53,1.73,0.06,0.0,0.51,1.09,2.59,1.18亿,65.75亿,232.10亿,87.98
23,24,603100,川仪股份,37.8,1.61,0.6,0.27,0.35,1.06,5.0,0.51亿,3.91亿,147.83亿,27.60
24,25,300433,蓝思科技,13.91,1.61,0.22,0.0,0.45,0.97,2.48,3.09亿,49.61亿,690.02亿,68.33
25,26,600843,上工申贝,5.5,1.48,0.08,0.18,0.7,2.38,2.03,0.18亿,4.69亿,25.81亿,33.05
26,27,688160,步科股份,42.3,1.46,0.61,1.03,3.6,1.37,4.01,0.42亿,0.28亿,11.72亿,39.03
27,28,603859,能科科技,38.16,1.35,0.51,0.58,0.91,0.68,1.54,0.58亿,1.67亿,63.56亿,43.66
28,29,600690,海尔智家,26.6,1.29,0.34,0.0,0.14,1.31,2.06,2.33亿,63.09亿,1678.08亿,16.16
29,30,300222,科大智能,8.0,1.27,0.1,0.0,3.11,2.57,3.17,1.57亿,6.26亿,50.11亿,--
30,31,688681,科汇股份,17.22,1.12,0.19,0.35,1.77,1.71,3.82,0.20亿,0.66亿,11.31亿,--
31,32,300124,汇川技术,74.41,1.1,0.81,-0.11,0.12,0.68,2.23,2.11亿,23.08亿,1717.03亿,48.09
32,33,000158,常山北明,6.53,1.08,0.07,0.15,0.98,1.47,2.32,1.00亿,15.81亿,103.25亿,--
33,34,002158,汉钟精机,27.2,1.08,0.29,0.07,0.33,1.17,1.82,0.48亿,5.33亿,145.06亿,23.02
34,35,688777,中控技术,92.04,1.01,0.92,-0.25,0.5,1.5,2.9,1.50亿,3.28亿,302.08亿,72.69
35,36,002877,智能自控,11.58,0.96,0.11,-0.6,25.7,2.46,7.06,6.35亿,2.08亿,24.14亿,60.06
36,37,300180,华峰超纤,4.3,0.94,0.04,0.0,0.41,1.3,1.64,0.25亿,14.33亿,61.60亿,215.27
37,38,002193,如意集团,8.89,0.91,0.08,0.0,1.88,1.0,1.7,0.44亿,2.61亿,23.20亿,101.40
38,39,002747,埃斯顿,26.1,0.89,0.23,-0.04,0.84,1.49,1.85,1.72亿,7.84亿,204.69亿,141.47
39,40,300607,拓斯达,16.53,0.79,0.13,0.12,1.42,1.71,2.68,0.66亿,2.85亿,47.18亿,37.66
40,41,600710,苏美达,6.36,0.79,0.05,0.0,0.35,1.43,1.11,0.29亿,13.07亿,83.11亿,9.22
41,42,000851,高鸿股份,6.41,0.79,0.05,0.0,4.71,1.08,3.15,3.27亿,10.99亿,70.46亿,26.26
42,43,300002,神州泰岳,6.42,0.79,0.05,0.47,5.37,1.64,4.55,6.02亿,17.65亿,113.31亿,24.64
43,44,000409,云鼎科技,7.83,0.77,0.06,0.0,1.37,1.28,1.67,0.45亿,4.23亿,33.15亿,232.09
44,45,600718,东软集团,11.3,0.71,0.08,0.18,0.94,1.41,2.5,1.26亿,12.04亿,136.02亿,80.56
45,46,300378,鼎捷软件,18.73,0.7,0.13,-0.21,1.04,1.39,2.26,0.51亿,2.66亿,49.91亿,78.73
46,47,002232,启明信息,15.17,0.66,0.1,0.53,1.0,0.82,2.06,0.61亿,4.09亿,61.98亿,68.85
47,48,002042,华孚时尚,3.21,0.63,0.02,0.0,0.7,1.94,1.25,0.38亿,17.01亿,54.59亿,13.62
48,49,601138,工业富联,10.11,0.6,0.06,0.0,0.16,1.84,2.69,3.22亿,197.96亿,2001.32亿,12.77
49,50,300098,高新兴,3.71,0.54,0.02,0.0,1.29,1.38,1.9,0.72亿,15.21亿,56.43亿,--
50,51,300730,科创信息,13.91,0.51,0.07,0.36,5.37,1.49,3.69,1.29亿,1.76亿,24.42亿,--
51,52,002056,横店东磁,22.18,0.5,0.11,0.0,0.41,0.89,1.45,1.46亿,15.97亿,354.23亿,22.40
52,53,300161,华中数控,28.24,0.5,0.14,0.0,1.63,1.18,3.95,0.78亿,1.69亿,47.61亿,--
53,54,300369,绿盟科技,12.9,0.47,0.06,0.16,1.86,2.59,3.74,1.75亿,7.35亿,94.76亿,--
54,55,300050,世纪鼎利,4.33,0.46,0.02,0.23,0.7,1.01,1.86,0.15亿,5.09亿,22.06亿,--
55,56,002296,辉煌科技,9.05,0.44,0.04,0.0,2.34,1.0,2.22,0.72亿,3.46亿,31.30亿,26.17
56,57,603111,康尼机电,4.77,0.42,0.02,0.21,0.35,0.99,1.68,0.14亿,8.36亿,39.88亿,21.03
57,58,000333,美的集团,51.53,0.35,0.18,-0.23,0.12,0.98,1.5,4.17亿,68.53亿,3531.39亿,11.05
