,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,603998,方盛制药,11.1,9.25,0.94,0.0,9.25,2.66,11.32,4.23亿,4.29亿,47.67亿,14.10
1,2,300261,雅本化学,13.61,4.69,0.61,0.15,8.52,2.96,9.62,10.96亿,9.50亿,129.23亿,54.17
2,3,300199,翰宇药业,13.54,4.47,0.58,0.37,7.49,2.85,5.48,6.60亿,6.66亿,90.18亿,--
3,4,600572,康恩贝,5.07,4.32,0.21,0.0,1.99,3.89,4.53,2.54亿,25.63亿,129.96亿,42.61
4,5,600422,昆药集团,17.8,3.43,0.59,0.0,1.1,1.99,4.36,1.46亿,7.57亿,134.74亿,27.16
5,6,300430,诚益通,15.63,3.17,0.48,0.26,0.63,1.29,4.09,0.25亿,2.56亿,40.07亿,42.56
6,7,600535,天士力,12.64,2.76,0.34,0.0,0.81,2.48,3.09,1.53亿,15.00亿,189.56亿,--
7,8,002750,龙津药业,12.08,2.37,0.28,0.08,3.1,2.22,3.81,1.47亿,3.98亿,48.10亿,--
8,9,600664,哈药股份,3.25,2.2,0.07,0.31,1.45,3.76,3.15,1.18亿,25.17亿,81.80亿,19.06
9,10,002172,澳洋健康,4.4,2.09,0.09,0.23,4.02,3.83,4.64,1.36亿,7.65亿,33.67亿,101.73
10,11,603716,塞力医疗,11.22,1.91,0.21,0.09,2.79,3.4,2.63,0.63亿,2.01亿,22.59亿,--
11,12,000538,云南白药,57.48,1.65,0.93,0.07,0.31,2.21,1.86,3.00亿,16.85亿,968.30亿,33.61
12,13,000038,*ST大通,4.32,1.41,0.06,0.0,1.25,1.04,2.82,0.14亿,2.51亿,10.83亿,12.75
13,14,300469,信息发展,15.26,1.4,0.21,-0.39,1.27,2.08,3.46,0.36亿,1.88亿,28.70亿,--
14,15,002370,亚太药业,5.09,1.39,0.07,0.2,2.01,2.59,1.39,0.55亿,5.37亿,27.32亿,--
15,16,002118,紫鑫药业,2.36,1.29,0.03,-0.42,1.7,2.09,2.15,0.51亿,12.81亿,30.22亿,--
16,17,300194,福安药业,4.05,1.25,0.05,0.0,1.03,1.18,1.5,0.40亿,9.66亿,39.13亿,26.57
17,18,300233,金城医药,25.03,1.17,0.29,0.16,1.86,1.66,2.51,1.69亿,3.61亿,90.43亿,28.15
18,19,603003,龙宇燃油,8.93,1.13,0.1,0.0,0.63,0.78,1.93,0.22亿,4.02亿,35.94亿,98.59
19,20,000766,通化金马,5.56,1.09,0.06,0.36,0.56,1.19,1.46,0.27亿,8.49亿,47.18亿,323.33
20,21,002038,双鹭药业,9.04,1.01,0.09,0.0,0.55,1.18,1.79,0.43亿,8.51亿,76.97亿,29.27
21,22,002166,莱茵生物,10.56,0.86,0.09,0.0,1.98,1.26,2.2,0.98亿,4.66亿,49.26亿,33.43
22,23,603896,寿仙谷,45.25,0.78,0.35,0.11,0.43,0.9,2.16,0.38亿,1.97亿,89.23亿,51.43
23,24,000813,德展健康,3.91,0.77,0.03,0.0,0.91,1.13,2.32,0.79亿,22.18亿,86.71亿,98.74
24,25,300132,青松股份,7.84,0.77,0.06,0.0,0.6,0.58,1.93,0.23亿,4.92亿,38.57亿,--
