,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300937,药易购,33.98,11.48,3.5,0.41,17.78,11.3,11.42,2.42亿,0.41亿,13.84亿,145.31
1,2,300787,海能实业,34.79,8.45,2.71,0.0,6.32,8.94,11.44,1.90亿,0.89亿,31.01亿,13.19
2,3,002517,恺英网络,9.1,7.95,0.67,1.34,3.14,4.8,8.19,5.32亿,19.07亿,173.52亿,16.08
3,4,603998,方盛制药,10.9,7.28,0.74,0.46,6.92,3.37,8.86,3.12亿,4.29亿,46.81亿,13.84
4,5,688037,芯源微,232.19,6.74,14.66,1.34,1.49,2.38,8.15,3.00亿,0.89亿,207.07亿,112.77
5,6,301017,漱玉平民,21.63,6.19,1.26,-0.14,5.49,6.78,5.89,1.30亿,1.09亿,23.64亿,50.58
6,7,600833,第一医药,12.81,6.13,0.74,0.08,5.28,10.37,7.79,1.50亿,2.23亿,28.58亿,28.76
7,8,000529,广弘控股,8.84,6.0,0.5,0.23,5.02,6.97,7.91,2.47亿,5.70亿,50.38亿,5.25
8,9,002603,以岭药业,30.88,5.21,1.53,-0.16,7.02,7.66,7.43,29.38亿,13.76亿,424.91亿,27.36
9,10,834033,康普化学,30.7,4.92,1.44,0.1,0.75,1.16,6.22,0.07亿,0.29亿,8.93亿,26.97
10,11,688283,坤恒顺维,68.55,4.82,3.15,0.07,0.82,2.53,5.6,0.28亿,0.51亿,34.80亿,117.53
11,12,000886,海南高速,5.81,4.68,0.26,-0.68,2.1,3.57,5.59,1.17亿,9.76亿,56.68亿,33.34
12,13,000048,京基智农,21.1,4.66,0.94,0.43,0.57,4.5,5.21,0.62亿,5.23亿,110.40亿,--
13,14,600559,老白干酒,38.35,4.61,1.69,0.63,2.24,1.59,5.81,7.49亿,8.97亿,344.11亿,49.33
14,15,300181,佐力药业,12.41,4.29,0.51,-0.48,2.44,3.85,6.22,1.84亿,6.09亿,75.53亿,32.01
15,16,838402,硅烷科技,18.01,4.1,0.71,-0.22,3.79,3.28,7.05,0.46亿,0.68亿,12.19亿,29.85
16,17,300811,铂科新材,98.02,3.86,3.64,0.69,2.5,3.63,4.87,2.09亿,0.86亿,84.53亿,61.45
17,18,301367,怡和嘉业,260.0,3.59,9.0,-0.29,2.2,1.37,3.98,0.86亿,0.15亿,39.45亿,46.28
18,19,838171,邦德股份,10.42,3.58,0.36,0.1,2.89,3.67,5.96,0.09亿,0.30亿,3.09亿,15.84
19,20,688072,拓荆科技,287.0,3.24,9.0,0.53,1.8,1.49,4.73,1.40亿,0.28亿,79.18亿,114.63
20,21,600272,开开实业,10.29,3.21,0.32,-0.1,4.44,7.07,8.83,0.74亿,1.60亿,16.46亿,56.23
21,22,300101,振芯科技,29.2,3.14,0.89,0.34,0.69,2.02,3.53,1.13亿,5.62亿,164.22亿,58.04
22,23,002986,宇新股份,25.56,3.11,0.77,-0.16,1.4,5.51,3.55,0.53亿,1.49亿,38.15亿,13.04
23,24,002624,完美世界,15.08,3.01,0.44,0.33,2.57,4.07,4.51,7.07亿,18.27亿,275.57亿,15.22
24,25,300494,盛天网络,17.62,2.92,0.5,0.34,4.34,3.47,5.08,1.61亿,2.11亿,37.24亿,18.87
25,26,300856,科思股份,60.18,2.89,1.69,-0.32,2.81,2.34,6.05,1.00亿,0.59亿,35.49亿,30.07
26,27,300316,晶盛机电,69.0,2.82,1.89,-0.29,0.32,2.52,4.28,2.68亿,12.31亿,849.21亿,33.72
27,28,300442,润泽科技,55.81,2.8,1.52,0.47,5.19,3.68,5.62,1.93亿,0.66亿,36.77亿,48.66
28,29,688589,力合微,44.6,2.74,1.19,-0.11,3.65,1.85,4.7,0.92亿,0.57亿,25.28亿,65.21
29,30,688617,惠泰医疗,353.24,2.64,9.09,-0.09,0.54,1.85,2.75,0.85亿,0.45亿,158.90亿,67.78
30,31,603339,四方科技,15.17,2.64,0.39,-0.2,1.68,3.74,4.26,0.78亿,3.09亿,46.94亿,14.78
31,32,002779,中坚科技,28.04,2.6,0.71,0.14,1.1,5.6,5.16,0.36亿,1.18亿,33.21亿,92.07
32,33,688223,晶科能源,14.83,2.56,0.37,0.27,1.37,2.35,3.8,3.91亿,19.60亿,290.67亿,66.36
33,34,002112,三变科技,9.26,2.55,0.23,-0.22,11.9,7.27,9.19,2.87亿,2.58亿,23.93亿,82.22
34,35,600790,轻纺城,4.61,2.44,0.11,0.22,0.54,3.26,2.44,0.36亿,14.66亿,67.57亿,7.42
35,36,300353,东土科技,12.14,2.36,0.28,0.17,3.28,2.53,6.16,1.74亿,4.39亿,53.29亿,--
36,37,002017,东信和平,15.68,2.35,0.36,0.19,1.67,2.83,3.98,1.16亿,4.45亿,69.79亿,86.60
37,38,688348,昱能科技,467.0,2.33,10.63,0.11,2.01,1.85,4.07,1.78亿,0.19亿,89.50亿,110.83
38,39,600348,华阳股份,15.53,2.31,0.35,-0.06,1.22,2.96,2.9,4.54亿,24.05亿,373.26亿,5.65
39,40,300434,金石亚药,12.86,2.23,0.28,-0.16,3.52,4.2,3.5,1.50亿,3.32亿,42.70亿,36.21
40,41,300363,博腾股份,47.38,2.2,1.02,-0.08,1.41,2.38,2.74,3.32亿,5.00亿,236.78亿,12.3
41,42,603127,昭衍新药,58.89,2.15,1.24,-0.17,1.05,2.7,3.04,2.78亿,4.50亿,265.10亿,37.43
42,43,688032,禾迈股份,856.6,1.97,16.58,0.31,0.95,1.76,3.76,1.98亿,0.25亿,212.81亿,99.35
43,44,688516,奥特维,203.96,1.91,3.83,-0.15,0.66,1.11,3.33,1.01亿,0.75亿,153.95亿,49.82
44,45,300803,指南针,55.01,1.91,1.03,0.11,1.74,2.87,4.35,3.68亿,3.92亿,215.39亿,53.47
45,46,300170,汉得信息,11.89,1.89,0.22,0.34,6.39,3.56,4.2,6.27亿,8.27亿,98.34亿,17.5
46,47,603345,安井食品,171.98,1.88,3.18,0.05,0.37,1.12,2.94,1.86亿,2.93亿,504.41亿,54.87
47,48,002550,千红制药,6.51,1.88,0.12,0.15,2.88,5.22,2.5,1.72亿,9.22亿,59.99亿,23.28
48,49,832225,利通科技,8.2,1.86,0.15,0.0,1.5,3.06,3.98,0.07亿,0.58亿,4.73亿,11.4
49,50,688123,聚辰股份,93.5,1.83,1.68,0.12,1.65,1.87,4.73,1.84亿,1.21亿,113.05亿,32.81
50,51,000597,东北制药,6.18,1.81,0.11,0.16,1.46,3.95,2.31,1.20亿,13.37亿,82.61亿,51.88
51,52,836077,吉林碳谷,48.82,1.77,0.85,0.0,0.11,0.85,3.52,0.06亿,1.01亿,49.46亿,24.12
52,53,002773,康弘药业,17.85,1.77,0.31,0.06,0.64,3.4,2.45,0.79亿,6.91亿,123.28亿,16.31
53,54,000729,燕京啤酒,13.51,1.73,0.23,0.37,0.46,1.14,2.86,1.52亿,25.10亿,339.04亿,42.47
54,55,002129,TCL中环,43.79,1.72,0.74,-0.46,0.7,3.06,2.95,9.93亿,32.30亿,1414.45亿,21.23
55,56,300666,江丰电子,81.69,1.72,1.38,-0.39,2.68,2.05,5.22,3.84亿,1.76亿,143.54亿,72.9
56,57,002850,科达利,135.55,1.69,2.25,-0.15,0.54,1.2,3.29,1.14亿,1.57亿,212.24亿,40.15
57,58,002955,鸿合科技,27.78,1.68,0.46,-0.39,3.19,4.94,5.34,1.66亿,1.86亿,51.60亿,12.7
58,59,002821,凯莱英,152.41,1.67,2.51,0.0,0.95,1.99,3.05,4.66亿,3.27亿,498.64亿,15.54
59,60,688800,瑞可达,118.37,1.6,1.86,-0.09,0.43,1.02,2.92,0.36亿,0.71亿,84.02亿,50.97
60,61,688035,德邦科技,68.36,1.57,1.06,-0.29,6.13,2.4,4.61,1.25亿,0.29亿,20.15亿,87.91
61,62,002982,湘佳股份,46.36,1.55,0.71,-0.11,2.62,2.01,2.89,0.56亿,0.46亿,21.49亿,36.43
62,63,002407,多氟多,38.18,1.54,0.58,-0.05,1.69,1.82,2.42,4.40亿,6.84亿,261.17亿,12.68
