,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300404,博济医药,10.94,9.62,0.96,-1.17,9.84,5.25,11.32,2.79亿,2.69亿,29.47亿,141.31
1,2,300086,康芝药业,7.21,6.66,0.45,0.0,9.44,8.62,9.17,2.91亿,4.36亿,31.41亿,--
2,3,002603,以岭药业,31.05,5.79,1.7,0.39,6.78,8.6,7.43,28.35亿,13.76亿,427.25亿,27.51
3,4,002728,特一药业,22.19,4.67,0.99,0.27,12.15,6.22,7.31,4.26亿,1.60亿,35.46亿,39.01
4,5,688658,悦康药业,20.73,3.08,0.62,-0.34,1.13,2.99,3.23,0.47亿,2.05亿,42.41亿,20.85
5,6,002435,长江健康,5.66,2.91,0.16,0.0,1.65,4.28,4.73,1.12亿,12.03亿,68.06亿,48.88
6,7,300887,谱尼测试,38.35,2.84,1.06,0.26,1.13,2.32,3.7,0.43亿,1.02亿,39.07亿,45.68
7,8,600572,康恩贝,4.98,2.67,0.13,0.0,1.21,4.64,2.88,1.54亿,25.63亿,127.91亿,41.94
8,9,000756,新华制药,27.14,2.57,0.68,-0.07,4.24,4.83,3.55,5.04亿,4.41亿,119.58亿,46.74
9,10,000705,浙江震元,8.69,2.23,0.19,0.0,4.0,6.2,2.59,0.98亿,2.82亿,24.49亿,42.19
10,11,605199,葫芦娃,17.43,2.17,0.37,0.06,4.41,3.18,2.99,0.72亿,0.93亿,16.27亿,72.76
11,12,300199,翰宇药业,13.23,2.08,0.27,0.3,5.28,3.95,3.55,4.64亿,6.66亿,88.12亿,--
12,13,300584,海辰药业,28.67,1.96,0.55,0.28,3.1,3.19,2.38,0.57亿,0.64亿,18.36亿,128.49
13,14,002317,众生药业,23.22,1.66,0.38,0.22,3.04,2.76,3.28,4.96亿,7.07亿,164.22亿,57.02
14,15,603222,济民医疗,11.21,1.63,0.18,0.27,1.98,2.78,4.17,1.06亿,4.77亿,53.48亿,55.31
15,16,600351,亚宝药业,6.47,1.57,0.1,0.16,0.85,2.22,1.57,0.42亿,7.70亿,49.82亿,34.97
16,17,600200,江苏吴中,9.22,1.54,0.14,0.44,3.5,2.75,4.41,2.28亿,7.08亿,65.30亿,--
17,18,002898,赛隆药业,12.33,1.48,0.18,0.16,2.26,2.45,1.73,0.28亿,1.01亿,12.45亿,959.06
18,19,301060,兰卫医学,21.63,1.45,0.31,0.14,1.28,2.03,1.74,0.51亿,1.84亿,39.77亿,10.75
19,20,301096,百诚医药,68.08,1.45,0.97,0.41,0.9,1.79,1.91,0.42亿,0.69亿,46.68亿,38.03
20,21,002907,华森制药,20.22,1.35,0.27,-0.1,1.2,2.83,2.56,0.74亿,3.02亿,61.11亿,88.86
21,22,600530,交大昂立,3.86,1.31,0.05,0.52,0.46,2.25,1.57,0.14亿,7.75亿,29.91亿,60.70
22,23,300194,福安药业,4.05,1.25,0.05,0.25,0.78,1.77,1.5,0.31亿,9.66亿,39.13亿,26.57
