,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,000529,广弘控股,8.74,4.8,0.4,-0.11,6.23,5.12,7.91,3.07亿,5.70亿,49.81亿,5.19
1,2,002016,世荣兆业,6.98,2.65,0.18,-0.14,2.04,1.06,3.97,0.97亿,6.87亿,47.94亿,35.04
2,3,002587,奥拓电子,6.73,2.12,0.14,-0.15,9.61,1.46,5.77,3.33亿,5.09亿,34.25亿,138.25
3,4,002875,安奈儿,17.28,1.89,0.32,0.12,7.11,1.89,2.89,1.49亿,1.22亿,21.16亿,--
4,5,600185,格力地产,10.37,1.87,0.19,0.1,2.01,1.15,2.56,3.89亿,18.85亿,195.47亿,--
5,6,000861,海印股份,2.34,1.74,0.04,0.43,1.16,2.45,3.04,0.64亿,23.68亿,55.42亿,53.93
6,7,600325,华发股份,10.12,1.4,0.14,0.1,0.54,0.71,1.4,1.15亿,21.17亿,214.26亿,8.36
7,8,300997,欢乐家,13.66,1.04,0.14,0.0,4.81,1.57,2.96,0.58亿,0.90亿,12.29亿,39.19
8,9,000507,珠海港,5.95,0.68,0.04,0.0,0.51,0.78,1.52,0.27亿,9.02亿,53.69亿,19.15
9,10,002672,东江环保,6.1,0.66,0.04,0.16,0.28,1.23,0.49,0.11亿,6.79亿,41.42亿,--
10,11,000005,ST星源,1.83,0.55,0.01,0.00,0.37,1.23,0.55,0.07亿,10.58亿,19.36亿,144.26
11,12,000573,粤宏远A,4.18,0.24,0.01,0.00,1.90,0.76,1.20,0.50亿,6.33亿,26.46亿,43.01
12,13,600098,广州发展,5.90,0.17,0.01,0.00,0.18,0.77,0.51,0.33亿,32.07亿,189.20亿,12.87
13,14,002336,人人乐,--,--,--,--,--,--,--,--,3.73亿,51.76亿,--
14,15,000524,岭南控股,11.80,0.00,0.00,0.00,0.85,0.87,1.95,0.68亿,6.70亿,79.07亿,--
15,16,002579,中京电子,12.89,-0.15,-0.02,-0.08,4.44,0.88,3.18,3.33亿,5.82亿,75.03亿,--
16,17,000833,粤桂股份,7.57,-0.26,-0.02,0.00,1.41,0.78,1.45,0.40亿,3.78亿,28.62亿,11.55
17,18,002420,毅昌科技,7.65,-0.39,-0.03,0.00,1.74,0.52,1.04,0.52亿,3.90亿,29.82亿,54.39
18,19,002291,遥望科技,14.94,-0.73,-0.11,-0.07,1.03,0.73,1.73,1.31亿,8.43亿,125.93亿,49.69
19,20,000523,广州浪奇,3.76,-0.79,-0.03,0.00,0.69,0.60,2.90,0.36亿,13.77亿,51.77亿,--
20,21,002141,贤丰控股,4.69,-0.85,-0.04,-0.21,0.41,1.13,1.9,0.22亿,11.35亿,53.22亿,16.05
21,22,002181,粤传媒,5.76,-1.37,-0.08,0.0,3.31,1.79,2.91,2.18亿,11.34亿,65.34亿,184.49
22,23,002845,同兴达,17.84,-1.65,-0.3,0.0,3.68,0.72,2.26,1.47亿,2.24亿,39.90亿,89.94
