,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300459,汤姆猫,4.47,15.21,0.59,-0.45,16.31,5.24,13.4,21.71亿,30.01亿,134.13亿,29.44
1,2,002425,凯撒文化,5.89,10.09,0.54,0.0,3.23,2.18,10.09,1.78亿,9.56亿,56.31亿,--
2,3,002131,利欧股份,2.17,9.04,0.18,0.0,8.46,4.39,10.55,10.44亿,58.35亿,126.61亿,--
3,4,300494,盛天网络,18.0,5.14,0.88,0.67,6.16,3.61,6.72,2.30亿,2.11亿,38.04亿,19.28
4,5,002354,天娱数科,7.05,4.91,0.33,0.28,22.27,1.62,12.95,22.88亿,14.69亿,103.54亿,--
5,6,300058,蓝色光标,6.29,4.49,0.27,0.32,5.64,2.73,6.64,8.21亿,23.19亿,145.87亿,386.87
6,7,002279,久其软件,9.22,3.6,0.32,-0.43,13.04,3.26,7.98,9.23亿,7.88亿,72.66亿,--
7,8,600986,浙文互联,5.93,2.06,0.12,0.17,3.19,2.05,4.47,2.47亿,13.22亿,78.42亿,46.92
8,9,300766,每日互动,14.1,1.8,0.25,0.28,5.64,1.94,4.76,2.70亿,3.43亿,48.31亿,202.17
9,10,600070,浙江富润,6.35,1.6,0.1,-0.16,1.37,1.6,3.84,0.44亿,5.07亿,32.18亿,--
10,11,300063,天龙集团,4.34,1.4,0.06,0.0,5.38,2.0,3.74,1.46亿,6.20亿,26.90亿,28.24
11,12,603598,引力传媒,10.24,1.19,0.12,0.0,5.97,2.51,3.46,1.65亿,2.68亿,27.43亿,79.08
12,13,000607,华媒控股,6.03,1.0,0.06,0.0,6.98,2.47,4.69,3.74亿,8.85亿,53.36亿,83.11
13,14,300280,紫天科技,19.05,0.9,0.17,0.16,0.97,0.94,1.91,0.29亿,1.60亿,30.57亿,25.08
14,15,300846,首都在线,13.09,0.69,0.09,0.15,7.38,1.04,4.08,3.06亿,3.21亿,42.01亿,--
15,16,300419,浩丰科技,6.69,0.6,0.04,0.15,1.72,1.41,2.26,0.42亿,3.68亿,24.60亿,156.34
16,17,603366,日出东方,6.76,0.59,0.04,0.0,0.81,0.93,1.64,0.44亿,8.06亿,54.49亿,297.51
17,18,002400,省广集团,5.25,0.38,0.02,0.0,3.02,0.92,2.68,2.67亿,16.87亿,88.58亿,63.36
18,19,002103,广博股份,6.57,0.3,0.02,0.0,3.97,0.98,2.14,1.09亿,4.21亿,27.69亿,126.88
19,20,002878,元隆雅图,18.29,0.27,0.05,0.16,5.63,2.72,5.21,2.01亿,1.93亿,35.37亿,17.31
20,21,002654,万润科技,5.34,0.0,0.0,0.19,1.73,1.07,2.44,0.71亿,7.64亿,40.81亿,--
21,22,002582,好想你,7.89,-0.13,-0.01,0.13,1.51,0.89,1.27,0.41亿,3.40亿,26.82亿,--
22,23,002115,三维通信,5.63,-0.18,-0.01,-0.35,1.6,1.14,1.95,0.62亿,6.94亿,39.06亿,38.74
23,24,301171,易点天下,23.45,-0.21,-0.05,0.43,15.18,1.52,3.45,2.49亿,0.71亿,16.62亿,33.15
24,25,600738,丽尚国潮,7.0,-0.28,-0.02,0.0,0.33,0.81,1.14,0.18亿,7.61亿,53.25亿,32.69
25,26,300169,天晟新材,4.89,-0.41,-0.02,-0.2,0.31,0.65,1.02,0.05亿,3.02亿,14.75亿,--
26,27,300571,平治信息,40.65,-0.51,-0.21,0.87,5.74,1.78,7.32,2.73亿,1.16亿,46.99亿,22.76
27,28,002291,遥望科技,14.97,-0.53,-0.08,0.13,0.9,0.78,1.73,1.14亿,8.43亿,126.19亿,49.79
28,29,300541,先进数通,14.31,-0.69,-0.1,0.07,6.4,1.29,2.64,2.31亿,2.55亿,36.47亿,84.51
29,30,002799,环球印务,13.95,-0.78,-0.11,0.0,0.68,0.83,0.71,0.24亿,2.52亿,35.15亿,40.34
30,31,603721,中广天择,17.65,-1.4,-0.25,0.06,4.35,0.96,2.74,1.00亿,1.30亿,22.95亿,188.41
31,32,300364,中文在线,13.47,-2.95,-0.41,-0.07,8.44,1.52,4.97,7.44亿,6.50亿,87.56亿,--
32,33,300781,因赛集团,26.4,-6.18,-1.74,-0.26,16.73,3.46,7.92,3.50亿,0.79亿,20.74亿,67.49
