,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300547,川环科技,19.05,3.2,0.59,0.05,1.17,2.81,4.5,0.39亿,1.77亿,33.68亿,36.58
1,2,002906,华阳集团,36.4,1.9,0.68,-0.14,0.61,2.0,3.02,1.05亿,4.75亿,172.89亿,48.67
2,3,002285,世联行,3.3,1.85,0.06,0.0,0.8,1.82,3.7,0.53亿,20.15亿,66.49亿,--
3,4,603816,顾家家居,44.02,1.31,0.57,0.11,0.12,1.02,3.04,0.44亿,8.22亿,361.80亿,19.34
4,5,600660,福耀玻璃,38.03,1.12,0.42,0.11,0.15,1.38,1.52,1.13亿,20.03亿,761.74亿,19.08
5,6,002775,文科园林,4.3,0.94,0.04,0.23,0.33,1.59,0.94,0.06亿,4.44亿,19.10亿,--
6,7,300200,高盟新材,8.14,0.74,0.06,0.0,0.24,1.81,1.24,0.08亿,4.16亿,33.90亿,23.98
7,8,002035,华帝股份,6.22,0.65,0.04,0.16,0.49,0.89,0.97,0.23亿,7.55亿,46.96亿,14.09
8,9,601886,江河集团,7.93,0.51,0.04,-0.13,0.12,1.1,1.52,0.10亿,11.33亿,89.85亿,15.04
9,10,002047,宝鹰股份,4.12,0.49,0.02,-0.48,1.62,2.55,4.15,0.90亿,13.36亿,55.03亿,--
10,11,002620,瑞和股份,6.18,0.49,0.03,0.16,0.57,1.58,1.63,0.11亿,3.15亿,19.45亿,--
11,12,600149,廊坊发展,6.59,0.46,0.03,-0.15,0.31,0.79,0.76,0.08亿,3.80亿,25.05亿,--
12,13,600335,国机汽车,9.08,0.44,0.04,0.22,0.35,1.61,1.44,0.47亿,14.57亿,132.28亿,41.20
13,14,002375,亚厦股份,4.89,0.41,0.02,0.21,0.27,1.2,1.23,0.17亿,13.31亿,65.09亿,21.30
14,15,603035,常熟汽饰,22.56,0.4,0.09,0.04,0.34,1.29,1.42,0.29亿,3.80亿,85.73亿,17.40
15,16,603030,全筑股份,2.74,0.37,0.01,0.0,0.5,1.24,0.73,0.08亿,5.80亿,15.89亿,--
16,17,000592,平潭发展,2.75,0.36,0.01,0.73,0.48,1.01,0.73,0.25亿,19.14亿,52.63亿,358.32
17,18,002662,京威股份,3.82,0.26,0.01,0.0,0.34,1.13,1.05,0.19亿,15.00亿,57.30亿,13.43
18,19,600523,贵航股份,16.67,0.06,0.01,-0.06,0.41,0.85,0.66,0.27亿,4.04亿,67.35亿,55.09
19,20,002508,老板电器,29.75,0.0,0.0,0.17,0.17,0.73,0.87,0.46亿,9.37亿,278.75亿,17.17
20,21,601311,骆驼股份,9.23,0.0,0.0,0.11,0.24,1.0,0.76,0.26亿,11.73亿,108.28亿,27.12
21,22,300375,鹏翎股份,4.01,0.0,0.0,0.0,0.27,0.79,0.75,0.05亿,5.05亿,20.26亿,34.26
22,23,000918,嘉凯城,2.17,0.0,0.0,0.0,0.35,1.29,0.92,0.14亿,18.04亿,39.15亿,--
23,24,002050,三花智控,27.03,-0.04,-0.01,0.22,0.17,0.68,2.22,1.60亿,35.28亿,953.51亿,44.73
24,25,002048,宁波华翔,15.88,-0.06,-0.01,-0.06,0.24,1.04,1.2,0.22亿,5.59亿,88.69亿,11.88
25,26,000049,德赛电池,46.72,-0.11,-0.05,0.19,0.97,1.59,2.1,1.35亿,2.99亿,139.82亿,17.32
26,27,603216,梦天家居,15.14,-0.2,-0.03,0.07,1.26,1.22,0.99,0.11亿,0.55亿,8.38亿,19.68
27,28,002510,天汽模,4.32,-0.23,-0.01,0.0,0.36,0.98,0.92,0.15亿,9.31亿,40.23亿,27.63
28,29,300117,嘉寓股份,4.03,-0.25,-0.01,0.0,0.66,1.06,0.99,0.19亿,7.17亿,28.89亿,32.60
29,30,301167,建研设计,24.76,-0.28,-0.07,0.16,0.54,1.03,0.81,0.08亿,0.56亿,13.87亿,27.24
30,31,002009,天奇股份,16.18,-0.31,-0.05,-0.06,0.67,1.42,1.17,0.40亿,3.72亿,60.20亿,22.96
31,32,002249,大洋电机,5.71,-0.35,-0.02,0.18,0.36,1.36,1.05,0.36亿,17.35亿,99.06亿,22.71
32,33,002429,兆驰股份,4.35,-0.46,-0.02,-0.23,0.37,2.29,1.83,0.73亿,44.96亿,195.59亿,16.77
33,34,002421,达实智能,4.03,-0.49,-0.02,0.0,0.71,1.1,1.48,0.51亿,17.80亿,71.75亿,36.93
34,35,002482,ST广田,1.92,-0.52,-0.01,0.0,0.2,1.22,1.55,0.06亿,15.29亿,29.36亿,--
35,36,300155,安居宝,5.25,-0.57,-0.03,-0.19,0.4,1.23,1.51,0.07亿,3.30亿,17.34亿,296.08
36,37,002718,友邦吊顶,16.49,-0.72,-0.12,0.06,0.96,1.54,1.81,0.10亿,0.62亿,10.14亿,17.23
37,38,300625,三雄极光,12.18,-0.73,-0.09,0.0,0.48,1.73,1.06,0.08亿,1.38亿,16.78亿,28.34
38,39,300276,三丰智能,3.79,-0.79,-0.03,0.0,0.4,1.22,1.31,0.14亿,9.43亿,35.74亿,124.11
39,40,300749,顶固集创,8.42,-0.94,-0.08,-0.12,0.78,1.88,2.23,0.10亿,1.56亿,13.11亿,29.58
40,41,300320,海达股份,11.3,-0.96,-0.11,0.09,0.69,1.11,1.14,0.38亿,4.95亿,55.99亿,56.93
41,42,000700,模塑科技,5.49,-1.08,-0.06,0.18,0.72,1.57,1.44,0.36亿,9.17亿,50.35亿,8.99
42,43,002085,万丰奥威,6.79,-1.17,-0.08,0.3,0.34,1.47,1.89,0.50亿,21.42亿,145.41亿,18.37
43,44,600973,宝胜股份,5.3,-1.3,-0.07,0.0,0.69,1.51,1.86,0.46亿,12.52亿,66.35亿,470.25
44,45,600819,耀皮玻璃,7.58,-1.43,-0.11,0.27,2.57,1.26,5.33,1.45亿,7.47亿,56.73亿,183.40
45,46,002789,建艺集团,16.13,-1.65,-0.27,0.19,1.61,1.51,1.77,0.26亿,0.99亿,15.97亿,75.12
46,47,300844,山水比德,27.83,-1.7,-0.48,0.0,5.41,1.65,2.3,0.25亿,0.17亿,4.66亿,--
47,48,002239,奥特佳,3.02,-1.95,-0.06,-0.33,0.96,2.19,2.6,0.95亿,32.43亿,97.94亿,491.96
48,49,002988,豪美新材,16.95,-2.02,-0.35,0.0,1.49,2.39,3.53,0.20亿,0.80亿,13.63亿,119.34
49,50,002853,皮阿诺,22.06,-2.3,-0.52,-0.18,0.68,1.17,3.37,0.17亿,1.14亿,25.25亿,27.71
50,51,002882,金龙羽,21.57,-2.84,-0.63,-0.23,5.13,1.73,7.52,4.83亿,4.31亿,93.00亿,38.46
