,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300533,冰川网络,34.88,17.28,5.14,-0.17,15.67,8.7,13.75,5.60亿,1.06亿,37.11亿,39.64
1,2,300459,汤姆猫,4.49,15.72,0.61,0.45,16.8,4.36,13.4,22.37亿,30.01亿,134.74亿,29.57
2,3,002425,凯撒文化,5.89,10.09,0.54,0.0,3.32,1.81,10.09,1.83亿,9.56亿,56.31亿,--
3,4,002168,惠程科技,5.15,10.04,0.47,0.0,19.18,7.57,9.83,7.58亿,7.94亿,40.90亿,--
4,5,002261,拓维信息,9.39,9.95,0.85,2.07,13.37,2.43,11.01,13.23亿,11.16亿,104.79亿,85.99
5,6,600640,国脉文化,12.0,9.19,1.01,0.0,3.38,7.91,11.1,3.15亿,7.96亿,95.48亿,--
6,7,002555,三七互娱,24.06,7.84,1.75,-0.17,3.08,3.94,7.71,11.85亿,16.36亿,393.51亿,17.73
7,8,002517,恺英网络,8.98,6.52,0.55,-0.11,3.64,3.29,8.54,6.17亿,19.07亿,171.23亿,15.86
8,9,300133,华策影视,5.8,6.23,0.34,0.17,3.04,3.1,7.14,2.80亿,16.18亿,93.87亿,27.47
9,10,002354,天娱数科,7.07,5.21,0.35,-0.28,22.99,1.36,12.95,23.63亿,14.69亿,103.84亿,--
10,11,300494,盛天网络,17.96,4.91,0.84,0.06,6.92,3.28,6.72,2.59亿,2.11亿,37.96亿,19.24
11,12,603444,吉比特,388.59,4.53,16.84,0.11,1.05,3.29,5.79,2.92亿,0.72亿,279.27亿,20.70
12,13,600715,文投控股,2.48,4.2,0.1,0.0,3.07,4.25,8.4,1.42亿,18.55亿,46.00亿,--
13,14,002148,北纬科技,6.77,4.15,0.27,0.0,10.5,1.83,8.62,3.18亿,4.52亿,30.58亿,166.69
14,15,300148,天舟文化,3.8,3.83,0.14,0.0,9.34,4.33,6.28,2.75亿,7.75亿,29.47亿,228.76
15,16,002919,名臣健康,32.41,3.58,1.12,-0.28,1.3,2.65,6.39,0.71亿,1.69亿,54.66亿,--
16,17,002624,完美世界,15.16,3.55,0.52,-0.13,3.31,3.1,4.51,9.12亿,18.27亿,277.03亿,15.30
17,18,300315,掌趣科技,3.85,3.5,0.13,0.0,2.78,3.02,4.57,2.77亿,26.07亿,100.35亿,54.53
18,19,300418,昆仑万维,26.03,3.29,0.83,0.15,9.68,1.38,8.81,26.57亿,10.74亿,279.46亿,29.34
19,20,002558,巨人网络,10.96,3.2,0.34,0.27,1.84,2.45,6.87,4.03亿,20.05亿,219.74亿,21.25
20,21,300043,星辉娱乐,3.33,3.1,0.1,0.0,3.97,2.96,4.64,1.23亿,9.38亿,31.23亿,--
21,22,002605,姚记科技,17.07,2.89,0.48,-0.06,1.97,1.93,4.34,1.10亿,3.28亿,55.96亿,17.98
22,23,300518,盛讯达,46.6,2.69,1.22,0.0,0.93,1.33,4.21,0.59亿,1.37亿,63.62亿,--
23,24,002113,ST天润,1.59,2.58,0.04,0.0,5.15,2.57,5.81,0.78亿,9.77亿,15.53亿,--
24,25,300467,迅游科技,14.95,2.4,0.35,-0.2,3.56,1.96,4.59,0.86亿,1.63亿,24.31亿,1006.47
25,26,002343,慈文传媒,6.56,2.34,0.15,0.31,3.97,2.37,3.59,1.23亿,4.73亿,31.05亿,42.17
26,27,002699,ST美盛,3.59,2.28,0.08,-0.28,4.49,1.98,3.13,1.46亿,9.09亿,32.65亿,15.89
27,28,300052,中青宝,23.17,2.16,0.49,-0.22,12.06,1.94,6.3,7.30亿,2.61亿,60.52亿,645.31
28,29,002502,鼎龙文化,3.89,2.1,0.08,0.0,3.86,2.62,4.46,1.25亿,8.33亿,32.40亿,--
29,30,600373,中文传媒,10.27,2.09,0.21,0.0,0.46,1.74,2.48,0.63亿,13.55亿,139.16亿,8.63
30,31,002292,奥飞娱乐,5.56,2.02,0.11,-0.18,7.75,2.24,5.5,4.22亿,9.75亿,54.23亿,--
31,32,002739,万达电影,14.19,1.79,0.25,-0.07,0.67,1.26,2.87,2.01亿,21.08亿,299.10亿,--
32,33,600986,浙文互联,5.91,1.72,0.1,0.34,3.57,1.85,4.47,2.77亿,13.22亿,78.16亿,46.76
33,34,002602,世纪华通,4.88,1.67,0.08,0.21,1.3,0.98,3.12,4.35亿,68.78亿,335.65亿,39.54
34,35,300144,宋城演艺,16.17,1.57,0.25,0.12,0.82,1.24,4.02,3.05亿,22.88亿,369.92亿,418.55
35,36,600633,浙数文化,9.75,1.56,0.15,0.1,2.31,1.74,3.54,2.83亿,12.66亿,123.41亿,25.80
36,37,300027,华谊兄弟,2.61,1.56,0.04,0.39,1.79,2.0,3.5,1.07亿,23.05亿,60.16亿,--
37,38,300299,富春股份,6.02,1.52,0.09,0.0,2.29,1.7,3.2,0.89亿,6.47亿,38.97亿,128.15
38,39,002803,吉宏股份,17.62,1.44,0.25,0.0,3.44,1.06,2.59,1.72亿,2.84亿,50.01亿,25.17
39,40,300031,宝通科技,16.37,1.3,0.21,-0.24,6.13,2.68,4.33,3.50亿,3.45亿,56.51亿,50.19
40,41,300113,顺网科技,12.74,1.19,0.15,0.16,5.22,1.83,3.81,2.93亿,4.46亿,56.78亿,100.45
41,42,002526,山东矿机,2.58,1.18,0.03,0.0,1.63,1.75,2.75,0.74亿,17.61亿,45.43亿,24.57
42,43,002862,实丰文化,16.44,1.11,0.18,-0.24,2.01,1.4,5.23,0.30亿,0.90亿,14.83亿,227.14
43,44,600576,祥源文旅,7.65,1.06,0.08,-0.13,1.01,0.89,2.91,0.48亿,6.19亿,47.38亿,721.74
