,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300459,汤姆猫,4.37,12.63,0.49,-0.46,15.03,7.93,13.4,20.00亿,30.01亿,131.13亿,28.78
1,2,002762,金发拉比,12.95,3.6,0.45,-0.08,14.61,3.93,6.24,3.76亿,2.01亿,26.04亿,333.55
2,3,002621,美吉姆,5.31,2.51,0.13,0.0,5.29,4.22,5.41,2.24亿,7.98亿,42.36亿,--
3,4,600757,长江传媒,6.06,2.37,0.14,0.17,1.05,5.26,4.05,0.78亿,12.13亿,73.54亿,7.83
4,5,002261,拓维信息,8.72,2.11,0.18,0.35,7.21,2.66,4.68,6.97亿,11.16亿,97.31亿,79.86
5,6,002308,威创股份,5.8,1.93,0.11,0.0,8.98,5.17,6.15,4.77亿,8.97亿,52.00亿,51.63
6,7,301078,孩子王,13.99,1.75,0.24,0.29,1.11,1.77,2.76,0.95亿,6.16亿,86.19亿,76.86
7,8,300010,豆神教育,3.63,1.68,0.06,0.0,4.17,2.85,3.36,1.24亿,8.15亿,29.60亿,--
8,9,002955,鸿合科技,27.7,1.39,0.38,-0.22,3.07,5.72,5.34,1.60亿,1.86亿,51.45亿,12.66
9,10,002083,孚日股份,5.28,1.34,0.07,0.0,0.67,2.7,1.54,0.28亿,8.12亿,42.87亿,14.21
10,11,600565,迪马股份,2.14,0.94,0.02,0.0,0.86,4.31,1.42,0.46亿,24.92亿,53.32亿,20.24
11,12,300096,易联众,7.29,0.83,0.06,0.0,4.52,3.06,3.73,1.25亿,3.77亿,27.45亿,--
12,13,600077,宋都股份,2.77,0.73,0.02,0.0,0.45,1.34,1.82,0.17亿,13.40亿,37.12亿,--
13,14,603214,爱婴室,20.8,0.63,0.13,-0.19,1.69,1.93,1.55,0.49亿,1.41亿,29.23亿,48.80
14,15,000656,金科股份,1.96,0.51,0.01,-0.51,0.48,1.3,1.03,0.50亿,53.12亿,104.12亿,--
15,16,000607,华媒控股,6.0,0.5,0.03,-0.17,6.05,3.52,4.69,3.25亿,8.85亿,53.10亿,82.70
16,17,002067,景兴纸业,3.67,0.0,0.0,0.0,0.3,0.82,0.82,0.11亿,10.56亿,38.77亿,27.78
17,18,000540,中天金融,1.36,0.0,0.0,-0.73,0.64,2.59,1.47,0.60亿,69.69亿,94.78亿,--
18,19,300703,创源股份,11.05,-0.09,-0.01,-0.09,1.02,1.6,1.18,0.19亿,1.67亿,18.49亿,16.93
19,20,600551,时代出版,10.91,-0.18,-0.02,0.18,0.19,2.14,1.28,0.10亿,4.84亿,52.84亿,17.33
20,21,300279,和晶科技,5.61,-0.88,-0.05,0.36,0.34,1.04,1.59,0.08亿,4.32亿,24.21亿,--
