,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,301047,义翘神州,113.29,2.62,2.89,0.07,0.65,2.94,3.42,0.43亿,0.58亿,66.23亿,39.79
1,2,300888,稳健医疗,74.03,2.59,1.87,0.19,0.71,4.15,2.7,0.71亿,1.36亿,100.68亿,18.94
2,3,300199,翰宇药业,13.28,2.47,0.32,0.38,3.88,4.32,3.4,3.40亿,6.66亿,88.45亿,--
3,4,300030,阳普医疗,7.28,2.39,0.17,0.55,1.17,5.94,2.81,0.23亿,2.68亿,19.54亿,--
4,5,300485,赛升药业,13.02,2.28,0.29,0.31,1.93,3.93,2.59,0.67亿,2.70亿,35.19亿,18.62
5,6,603716,塞力医疗,11.22,1.91,0.21,0.09,1.97,7.04,2.63,0.44亿,2.01亿,22.59亿,--
6,7,002550,千红制药,6.5,1.72,0.11,0.46,1.79,5.62,2.03,1.07亿,9.22亿,59.90亿,23.25
7,8,002223,鱼跃医疗,30.32,1.68,0.5,0.2,0.64,2.83,2.18,1.81亿,9.38亿,284.34亿,20.08
8,9,688137,近岸蛋白,84.55,1.62,1.35,-0.32,1.29,1.86,2.03,0.18亿,0.16亿,13.75亿,49.39
9,10,002643,万润股份,19.42,1.46,0.28,-0.56,0.4,1.99,2.61,0.70亿,8.96亿,173.97亿,21.04
10,11,603222,济民医疗,11.19,1.45,0.16,0.27,1.09,2.26,2.81,0.57亿,4.77亿,53.38亿,55.22
11,12,300869,康泰医学,26.34,1.39,0.36,0.0,1.29,2.72,1.5,0.54亿,1.60亿,42.16亿,45.56
12,13,300813,泰林生物,46.25,1.38,0.63,0.39,1.14,1.95,1.6,0.23亿,0.45亿,20.77亿,61.04
13,14,300887,谱尼测试,37.78,1.31,0.49,0.43,0.63,1.93,3.03,0.24亿,1.02亿,38.49亿,45.0
14,15,688273,麦澜德,41.52,1.19,0.49,0.66,1.54,1.0,3.53,0.15亿,0.23亿,9.72亿,31.75
15,16,002950,奥美医疗,13.05,1.16,0.15,0.15,0.56,2.7,1.71,0.25亿,3.44亿,44.90亿,31.48
16,17,002022,*ST科华,12.33,1.07,0.13,0.16,0.3,2.18,1.64,0.19亿,5.14亿,63.39亿,3.99
17,18,300677,英科医疗,28.57,1.06,0.3,0.25,0.97,1.64,2.3,1.31亿,4.76亿,136.02亿,22.13
18,19,300439,美康生物,13.02,1.01,0.13,0.15,0.45,1.61,0.93,0.16亿,2.77亿,36.11亿,18.38
19,20,002030,达安基因,16.25,0.93,0.15,-0.06,0.34,2.59,1.06,0.75亿,13.61亿,221.21亿,3.48
20,21,300110,华仁药业,4.52,0.89,0.04,-0.22,0.91,3.29,2.23,0.48亿,11.81亿,53.36亿,32.53
21,22,300009,安科生物,11.47,0.88,0.1,0.09,0.23,1.57,1.23,0.30亿,11.72亿,134.42亿,24.22
22,23,600645,中源协和,18.63,0.87,0.16,0.05,0.24,1.61,1.35,0.21亿,4.68亿,87.15亿,57.08
23,24,300406,九强生物,17.68,0.86,0.15,0.0,0.4,1.03,1.77,0.24亿,3.35亿,59.16亿,29.0
24,25,600380,健康元,12.23,0.82,0.1,-0.16,0.16,0.78,0.91,0.38亿,19.29亿,235.94亿,15.71
25,26,688606,奥泰生物,109.6,0.73,0.8,-0.34,0.25,1.21,1.17,0.06亿,0.23亿,25.60亿,3.26
26,27,301087,可孚医疗,38.45,0.68,0.26,-0.13,0.83,1.98,1.21,0.28亿,0.88亿,33.81亿,35.9
27,28,600196,复星医药,34.3,0.68,0.23,-0.03,0.33,2.66,0.94,2.36亿,21.18亿,726.38亿,28.01
28,29,002432,九安医疗,51.55,0.66,0.34,0.04,0.57,1.9,1.15,1.41亿,4.81亿,248.19亿,1.16
29,30,688399,硕世生物,91.98,0.6,0.55,-0.11,0.17,1.14,1.2,0.08亿,0.53亿,48.61亿,2.49
30,31,603387,基蛋生物,13.48,0.6,0.08,-0.07,0.29,1.71,0.75,0.20亿,5.07亿,68.36亿,10.79
31,32,688468,科美诊断,14.26,0.56,0.08,-0.35,0.3,1.19,1.98,0.12亿,2.73亿,38.98亿,36.27
32,33,603658,安图生物,67.98,0.56,0.38,-0.03,0.12,1.52,2.22,0.48亿,5.86亿,398.55亿,33.25
