,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600528,中铁工业,8.32,1.09,0.09,0.0,0.22,1.47,1.22,0.41亿,22.22亿,184.83亿,9.38
1,2,600502,安徽建工,5.34,0.94,0.05,0.0,0.55,0.92,1.51,0.50亿,17.17亿,91.66亿,7.4
2,3,601669,中国电建,7.03,0.72,0.05,0.0,0.32,1.66,0.86,2.50亿,109.91亿,772.70亿,10.54
3,4,600875,东方电气,20.3,0.69,0.14,0.05,0.7,1.47,2.83,2.81亿,20.15亿,409.07亿,18.99
4,5,000543,皖能电力,4.64,0.65,0.03,0.0,0.54,1.31,1.3,0.56亿,22.67亿,105.18亿,18.2
5,6,688425,铁建重工,4.25,0.47,0.02,0.0,0.29,0.65,0.47,0.18亿,14.43亿,61.33亿,12.11
6,7,000883,湖北能源,4.38,0.46,0.02,-0.23,0.09,0.78,0.92,0.27亿,65.06亿,284.94亿,11.75
7,8,600905,三峡能源,5.66,0.35,0.02,0.18,0.4,0.9,0.53,1.96亿,85.71亿,485.12亿,22.82
8,9,600982,宁波能源,4.52,0.22,0.01,-0.22,0.28,1.4,0.67,0.14亿,10.97亿,49.58亿,20.12
9,10,000601,韶能股份,5.1,0.2,0.01,-0.2,0.27,0.84,0.59,0.15亿,10.80亿,55.07亿,32.66
10,11,600098,广州发展,5.9,0.17,0.01,0.0,0.13,0.9,0.51,0.24亿,32.07亿,189.20亿,12.87
11,12,600956,新天绿能,10.24,0.1,0.01,0.0,0.47,0.96,0.98,0.14亿,2.89亿,29.62亿,19.30
12,13,002202,金风科技,11.64,0.09,0.01,0.0,0.21,1.1,0.95,0.83亿,33.94亿,395.01亿,15.60
13,14,000875,吉电股份,5.97,0.0,0.0,-0.17,0.33,1.01,0.84,0.48亿,24.46亿,146.01亿,15.21
14,15,001896,豫能控股,5.21,0.0,0.0,0.39,0.36,0.81,1.15,0.24亿,13.21亿,68.81亿,--
15,16,002015,协鑫能科,11.76,0.0,0.0,0.0,0.27,0.57,0.94,0.52亿,16.23亿,190.90亿,21.71
16,17,002060,粤水电,7.22,0.0,0.0,0.0,0.55,0.91,0.97,0.47亿,12.02亿,86.78亿,73.12
17,18,002176,江特电机,18.52,-0.05,-0.01,-0.05,0.86,1.67,1.83,2.70亿,17.05亿,315.85亿,12.09
18,19,600509,天富能源,6.75,-0.15,-0.01,0.15,0.34,0.64,1.18,0.26亿,11.51亿,77.72亿,--
19,20,000533,顺钠股份,4.6,-0.22,-0.01,0.0,1.18,1.17,2.82,0.37亿,6.85亿,31.51亿,125.47
20,21,688676,金盘科技,38.02,-0.26,-0.1,0.0,0.37,0.93,2.1,0.27亿,1.92亿,72.99亿,72.45
21,22,301151,冠龙节能,18.56,-0.27,-0.05,0.0,0.62,1.14,0.59,0.05亿,0.42亿,7.80亿,29.42
22,23,600310,桂东电力,3.27,-0.3,-0.01,0.0,0.28,0.7,0.61,0.11亿,12.15亿,39.74亿,--
23,24,600032,浙江新能,12.14,-0.33,-0.04,-0.08,0.74,1.01,0.82,0.19亿,2.08亿,25.25亿,22.00
24,25,002266,浙富控股,4.16,-0.48,-0.02,0.0,0.2,1.03,0.72,0.27亿,31.97亿,132.98亿,16.06
25,26,000966,长源电力,5.11,-0.58,-0.03,0.0,0.43,0.8,0.78,0.29亿,13.08亿,66.84亿,40.55
26,27,601399,国机重装,3.23,-0.61,-0.02,0.0,0.26,1.1,0.92,0.26亿,31.49亿,101.71亿,55.35
27,28,001289,龙源电力,19.27,-0.62,-0.12,0.05,0.45,0.84,1.29,0.30亿,3.46亿,66.59亿,22.63
28,29,300018,中元股份,7.03,-0.71,-0.05,0.0,1.01,1.58,2.68,0.29亿,4.05亿,28.48亿,139.69
29,30,600995,南网储能,15.45,-0.71,-0.11,-0.13,0.78,1.15,1.99,0.58亿,4.79亿,73.93亿,28.09
30,31,688128,中国电研,21.62,-0.73,-0.16,0.05,0.46,1.18,1.97,0.40亿,4.04亿,87.45亿,24.48
31,32,600406,国电南瑞,26.19,-0.83,-0.22,-0.08,0.11,1.13,1.29,1.91亿,66.28亿,1735.77亿,35.98
32,33,603618,杭电股份,5.87,-0.84,-0.05,-0.17,0.3,1.26,1.18,0.12亿,6.91亿,40.56亿,28.89
33,34,600268,国电南自,8.62,-1.15,-0.1,0.12,1.09,1.62,2.52,0.66亿,6.95亿,59.93亿,241.82
34,35,000400,许继电气,25.17,-1.6,-0.41,-0.04,1.04,1.22,2.58,2.64亿,10.08亿,253.78亿,29.37
35,36,300040,九洲集团,6.67,-2.06,-0.14,0.0,1.3,2.23,3.08,0.40亿,4.62亿,30.79亿,23.61
36,37,300712,永福股份,50.16,-2.18,-1.12,-0.42,1.49,1.67,2.85,1.38亿,1.85亿,92.64亿,126.95
