,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,605136,丽人丽妆,13.55,2.26,0.3,-0.07,3.29,2.91,3.47,0.87亿,1.96亿,26.57亿,--
1,2,300766,每日互动,14.07,1.59,0.22,-0.07,5.63,1.97,4.76,2.70亿,3.43亿,48.21亿,201.74
2,3,300785,值得买,35.25,1.58,0.55,-0.28,5.08,1.32,4.18,1.34亿,0.75亿,26.53亿,133.67
3,4,300612,宣亚国际,22.27,1.27,0.28,0.18,8.5,1.46,4.28,3.03亿,1.59亿,35.42亿,65.66
4,5,603598,引力传媒,10.23,1.09,0.11,-0.2,5.95,2.55,3.46,1.64亿,2.68亿,27.40亿,79.00
5,6,002571,德力股份,7.15,0.85,0.06,0.0,1.37,1.47,1.83,0.29亿,2.98亿,21.33亿,2130.41
6,7,688365,光云科技,13.28,0.61,0.08,1.69,6.01,1.13,6.06,1.30亿,1.70亿,22.62亿,--
7,8,300997,欢乐家,13.59,0.52,0.07,-0.07,4.27,1.77,2.44,0.52亿,0.90亿,12.23亿,38.98
8,9,002429,兆驰股份,4.39,0.46,0.02,0.0,0.45,1.69,1.83,0.89亿,44.96亿,197.39亿,16.92
9,10,300740,水羊股份,14.31,0.42,0.06,-0.07,0.96,0.93,1.97,0.49亿,3.56亿,50.88亿,35.09
10,11,002878,元隆雅图,18.25,0.06,0.01,-0.06,5.61,2.77,5.21,2.01亿,1.93亿,35.29亿,17.27
11,12,300792,壹网壹创,32.76,-0.36,-0.12,-0.12,1.79,1.19,2.49,1.18亿,2.02亿,66.08亿,39.9
12,13,300710,万隆光电,27.82,-0.39,-0.11,-0.04,1.11,1.13,1.79,0.20亿,0.65亿,18.22亿,520.12
13,14,002640,跨境通,4.98,-0.6,-0.03,0.2,2.02,1.31,1.8,1.55亿,15.48亿,77.10亿,563.92
14,15,003010,若羽臣,19.18,-0.67,-0.13,-0.16,1.76,0.91,2.28,0.24亿,0.72亿,13.75亿,103.3
15,16,002117,东港股份,11.46,-2.38,-0.28,0.0,14.24,1.75,7.07,8.68亿,5.45亿,62.51亿,39.35
16,17,000829,天音控股,12.09,-3.82,-0.48,-0.33,5.44,1.74,4.06,6.77亿,10.24亿,123.82亿,75.53
