,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,688158,优刻得,20.94,20.0,3.49,0.0,10.61,4.35,19.71,7.26亿,3.55亿,74.42亿,--
1,2,002368,太极股份,41.66,7.79,3.01,1.61,2.98,2.33,9.81,6.93亿,5.88亿,244.85亿,157.40
2,3,000032,深桑达A,29.26,7.22,1.97,1.18,4.44,2.59,10.41,7.94亿,6.45亿,188.66亿,--
3,4,300807,天迈科技,27.77,6.68,1.74,0.0,9.67,6.3,11.56,1.28亿,0.49亿,13.51亿,--
4,5,300166,东方国信,10.37,4.43,0.44,0.58,12.02,4.79,6.14,11.44亿,9.19亿,95.34亿,82.96
5,6,002279,久其软件,9.26,4.04,0.36,1.54,11.12,3.03,7.42,7.83亿,7.88亿,72.97亿,--
6,7,002777,久远银海,19.65,2.56,0.49,0.61,2.21,1.88,3.81,1.71亿,3.99亿,78.49亿,48.10
7,8,300603,立昂技术,13.48,2.51,0.33,0.07,12.81,1.43,9.05,4.35亿,2.53亿,34.14亿,77.81
8,9,600850,电科数字,25.48,2.04,0.5,0.55,0.99,2.07,3.36,1.37亿,5.55亿,141.39亿,44.98
9,10,300469,信息发展,15.31,1.73,0.26,0.2,1.07,2.36,3.46,0.31亿,1.88亿,28.80亿,--
10,11,688500,慧辰股份,32.16,1.48,0.48,-0.06,2.82,0.84,5.68,0.38亿,0.43亿,13.68亿,--
11,12,002065,东华软件,6.81,1.19,0.08,0.3,0.71,1.34,1.93,1.39亿,29.04亿,197.78亿,33.85
12,13,002312,川发龙蟒,11.42,1.15,0.13,0.09,0.59,1.66,1.95,0.90亿,13.48亿,153.90亿,14.55
13,14,300168,万达信息,10.28,0.78,0.08,0.2,0.64,1.17,2.06,0.77亿,11.83亿,121.64亿,--
14,15,600368,五洲交通,3.88,0.78,0.03,0.0,0.48,2.02,1.3,0.21亿,11.26亿,43.67亿,7.13
15,16,000019,深粮控股,7.82,0.77,0.06,0.0,0.53,0.84,1.16,0.17亿,4.16亿,32.55亿,21.23
16,17,002588,史丹利,6.36,0.63,0.04,0.0,0.4,0.7,0.63,0.20亿,7.96亿,50.63亿,12.93
17,18,000061,农产品,5.69,0.53,0.03,0.0,0.12,0.71,0.71,0.11亿,16.97亿,96.56亿,56.41
18,19,300366,创意信息,12.39,0.49,0.06,0.16,4.58,1.4,3.24,2.76亿,4.96亿,61.41亿,--
19,20,600831,广电网络,6.33,0.48,0.03,-0.16,1.18,1.29,1.59,0.53亿,7.11亿,44.98亿,78.28
20,21,002298,中电兴发,7.24,0.42,0.03,0.0,3.17,1.1,1.39,1.40亿,6.12亿,44.28亿,30.71
21,22,000902,新洋丰,12.47,0.4,0.05,0.08,0.7,1.81,1.45,1.03亿,11.85亿,147.82亿,10.16
22,23,000816,智慧农业,4.06,0.25,0.01,0.0,1.46,0.56,0.74,0.80亿,13.51亿,54.85亿,158.61
23,24,000555,神州信息,12.64,0.24,0.03,-0.08,0.74,1.57,2.22,0.91亿,9.80亿,123.87亿,77.48
24,25,300730,科创信息,13.87,0.22,0.03,0.36,4.96,1.44,3.04,1.19亿,1.76亿,24.35亿,--
25,26,300021,大禹节水,4.92,0.2,0.01,0.0,0.51,0.54,0.41,0.18亿,7.01亿,34.49亿,69.23
