,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,688262,国芯科技,64.02,10.15,5.9,-0.11,4.51,2.67,12.51,5.22亿,1.87亿,119.80亿,119.23
1,2,603927,中科软,35.7,9.95,3.23,-0.06,2.8,7.13,11.03,5.81亿,5.94亿,211.91亿,52.12
2,3,301236,软通动力,42.83,7.13,2.85,0.02,11.44,4.14,7.78,3.91亿,0.82亿,35.11亿,30.35
3,4,300465,高伟达,11.07,3.75,0.39,-0.54,2.94,2.07,7.21,1.43亿,4.47亿,49.46亿,--
4,5,002649,博彦科技,15.9,3.52,0.55,-0.19,13.91,1.73,9.77,11.42亿,5.24亿,83.32亿,25.34
5,6,300166,东方国信,10.27,3.42,0.34,0.0,12.56,3.81,6.14,11.95亿,9.19亿,94.42亿,82.16
6,7,300352,北信源,5.48,3.0,0.15,0.18,5.34,1.43,6.57,3.50亿,12.03亿,65.93亿,979.83
7,8,002017,东信和平,15.69,2.42,0.37,-0.19,2.13,2.19,4.11,1.48亿,4.45亿,69.83亿,86.65
8,9,300085,银之杰,12.15,2.36,0.28,0.17,4.39,2.27,5.98,2.77亿,5.27亿,64.04亿,--
9,10,300377,赢时胜,9.9,2.17,0.2,0.1,2.13,1.71,3.71,1.40亿,6.68亿,66.17亿,901.65
10,11,300468,四方精创,11.87,1.98,0.23,0.17,3.66,1.85,3.18,2.28亿,5.29亿,62.80亿,84.34
11,12,300479,神思电子,25.6,1.83,0.46,-0.08,13.91,1.69,8.43,7.13亿,1.97亿,50.44亿,--
12,13,000948,南天信息,24.68,1.48,0.36,0.08,6.69,1.81,5.1,5.46亿,3.35亿,82.56亿,149.82
13,14,688521,芯原股份,64.79,1.28,0.82,0.29,1.55,1.05,5.0,2.10亿,2.09亿,135.22亿,738.00
14,15,600271,航天信息,12.68,1.28,0.16,0.0,0.61,1.68,2.32,1.43亿,18.53亿,234.95亿,48.91
15,16,300663,科蓝软件,16.14,1.19,0.19,0.12,3.87,1.53,4.01,2.39亿,3.85亿,62.20亿,--
16,17,002152,广电运通,11.17,1.18,0.13,0.54,1.13,2.03,2.81,3.11亿,24.82亿,277.25亿,31.18
17,18,300180,华峰超纤,4.31,1.17,0.05,0.23,0.53,1.32,1.88,0.33亿,14.33亿,61.74亿,215.77
18,19,300047,天源迪科,8.24,1.1,0.09,0.24,10.22,1.22,6.87,4.52亿,5.35亿,44.09亿,92.49
19,20,002376,新北洋,7.59,1.06,0.08,-0.13,0.47,1.42,2.0,0.22亿,6.32亿,47.98亿,276.23
20,21,600446,金证股份,13.79,1.03,0.14,-0.07,1.66,1.36,2.86,2.13亿,9.41亿,129.74亿,70.61
21,22,300546,雄帝科技,26.51,0.99,0.26,-0.19,5.49,1.17,3.2,1.41亿,0.98亿,25.90亿,89.95
22,23,002987,京北方,31.3,0.97,0.3,-0.06,3.72,1.0,2.97,1.50亿,1.30亿,40.78亿,39.25
23,24,002647,仁东控股,7.3,0.83,0.06,0.0,2.06,1.62,1.38,0.84亿,5.60亿,40.88亿,--
24,25,300061,旗天科技,7.69,0.79,0.06,-0.13,1.84,1.11,1.83,0.80亿,5.67亿,43.61亿,70.78
25,26,300645,正元智慧,29.76,0.74,0.22,-0.03,0.95,1.8,3.28,0.39亿,1.38亿,41.05亿,105.02
26,27,300872,天阳科技,15.0,0.74,0.11,-0.13,1.76,1.17,1.95,0.67亿,2.56亿,38.44亿,123.14
27,28,603825,华扬联众,15.83,0.57,0.09,0.06,2.9,1.26,2.1,1.16亿,2.53亿,40.10亿,47.56
28,29,300941,创识科技,24.36,0.49,0.12,-0.08,2.15,0.94,2.43,0.44亿,0.85亿,20.76亿,69.85
29,30,603123,翠微股份,13.1,0.46,0.06,-0.15,1.49,1.4,1.76,1.27亿,6.52亿,85.45亿,141.04
