,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,688158,优刻得,19.4,11.18,1.95,0.99,8.3,4.26,15.82,5.58亿,3.55亿,68.95亿,--
1,2,001339,智微智能,31.72,9.99,2.88,0.0,18.04,3.36,2.46,3.51亿,0.62亿,19.59亿,58.99
2,3,688225,亚信安全,22.04,6.12,1.27,0.5,1.9,5.74,8.67,0.45亿,1.09亿,24.06亿,--
3,4,600050,中国联通,5.34,5.74,0.29,0.95,0.96,3.09,6.73,15.49亿,309.62亿,1653.39亿,18.64
4,5,600536,中国软件,78.2,4.11,3.09,1.11,2.76,2.68,6.39,13.48亿,6.43亿,502.77亿,--
5,6,000032,深桑达A,28.36,3.92,1.07,0.21,3.08,2.25,7.62,5.43亿,6.45亿,182.85亿,--
6,7,300229,拓尔思,24.34,3.05,0.72,1.46,9.01,1.77,7.11,16.32亿,7.61亿,185.17亿,134.10
7,8,688435,英方软件,103.11,3.02,3.02,-0.14,8.24,1.99,5.13,1.46亿,0.18亿,18.17亿,1046.16
8,9,839680,广道数字,14.66,2.81,0.4,-0.2,1.03,4.68,4.7,0.06亿,0.38亿,5.58亿,16.96
9,10,002439,启明星辰,30.42,2.46,0.73,0.66,0.77,1.63,4.55,1.65亿,7.24亿,220.37亿,--
10,11,300352,北信源,5.44,2.06,0.11,-0.18,4.66,2.06,6.57,3.06亿,12.03亿,65.45亿,972.67
11,12,002987,京北方,31.46,1.48,0.46,0.93,2.75,1.22,2.97,1.11亿,1.30亿,40.99亿,39.45
12,13,002777,久远银海,19.4,1.25,0.24,0.21,1.38,1.47,3.24,1.06亿,3.99亿,77.49亿,47.49
13,14,300678,中科信息,21.95,1.15,0.25,0.41,5.32,1.66,3.69,1.45亿,1.25亿,27.41亿,154.65
14,15,600198,大唐电信,7.14,1.13,0.08,0.28,0.6,1.49,2.41,0.38亿,8.80亿,62.86亿,--
15,16,300766,每日互动,14.0,1.08,0.15,0.43,5.08,2.39,4.76,2.44亿,3.43亿,47.97亿,200.74
16,17,688561,奇安信,78.2,0.89,0.69,0.9,0.34,1.4,4.32,1.22亿,4.61亿,360.19亿,--
17,18,002212,天融信,11.99,0.76,0.09,0.17,0.65,1.53,2.35,0.90亿,11.68亿,140.01亿,--
18,19,601360,三六零,11.28,0.71,0.08,0.36,3.6,1.69,5.0,28.36亿,71.45亿,806.00亿,--
19,20,000948,南天信息,24.41,0.37,0.09,0.66,3.02,1.35,2.92,2.42亿,3.35亿,81.65亿,148.18
20,21,300002,神州泰岳,6.38,0.16,0.01,0.0,4.85,1.95,4.55,5.44亿,17.65亿,112.60亿,24.48
21,22,300579,数字认证,28.27,0.07,0.02,0.36,0.69,1.39,1.66,0.51亿,2.62亿,74.03亿,258.59
22,23,000158,常山北明,6.46,0.0,0.0,0.16,0.69,1.35,1.24,0.70亿,15.81亿,102.15亿,--
23,24,300768,迪普科技,17.28,0.0,0.0,0.35,0.78,1.96,2.55,0.51亿,3.85亿,66.56亿,122.41
24,25,002405,四维图新,13.01,0.0,0.0,0.08,0.82,1.18,1.77,2.45亿,22.98亿,298.96亿,--
25,26,600571,信雅达,11.65,-0.09,-0.01,0.35,2.88,0.94,1.8,1.48亿,4.46亿,51.92亿,--
26,27,002298,中电兴发,7.2,-0.14,-0.01,-0.14,2.79,1.21,1.39,1.23亿,6.12亿,44.04亿,30.54
27,28,002268,电科网安,35.22,-0.23,-0.08,1.0,1.36,1.81,1.87,3.98亿,8.41亿,296.30亿,450.65
28,29,000509,华塑控股,4.17,-0.24,-0.01,0.0,0.67,1.07,1.91,0.30亿,10.73亿,44.75亿,985.33
29,30,300588,熙菱信息,11.33,-0.26,-0.03,0.18,2.11,1.06,2.38,0.33亿,1.36亿,15.45亿,--
30,31,300369,绿盟科技,12.8,-0.31,-0.04,0.39,1.6,2.92,3.74,1.50亿,7.35亿,94.03亿,--
31,32,300609,汇纳科技,19.82,-0.5,-0.1,0.25,1.76,1.06,2.36,0.33亿,0.95亿,18.83亿,--
32,33,688168,安博通,42.74,-0.56,-0.24,0.61,1.45,1.81,3.49,0.45亿,0.72亿,30.70亿,--
33,34,002104,恒宝股份,8.77,-0.57,-0.05,0.11,1.57,1.0,1.25,0.81亿,5.91亿,51.79亿,63.25
34,35,300333,兆日科技,6.93,-0.57,-0.04,0.0,1.0,1.24,2.58,0.23亿,3.34亿,23.13亿,--
35,36,003040,楚天龙,22.17,-0.58,-0.13,0.18,3.23,1.68,2.11,1.56亿,2.17亿,48.01亿,61.16
36,37,003029,吉大正元,37.84,-0.66,-0.25,0.35,1.9,1.55,2.89,0.81亿,1.13亿,42.94亿,--
37,38,300730,科创信息,13.73,-0.8,-0.11,0.29,3.94,1.44,2.38,0.94亿,1.76亿,24.10亿,--
38,39,300079,数码视讯,6.2,-0.8,-0.05,0.0,2.55,1.08,3.04,2.01亿,12.67亿,78.55亿,88.03
39,40,300302,同有科技,8.62,-0.81,-0.07,0.23,1.12,0.85,1.73,0.35亿,3.61亿,31.14亿,918.92
40,41,688023,安恒信息,171.38,-0.94,-1.62,0.15,0.7,1.27,3.46,0.85亿,0.71亿,122.22亿,--
41,42,000004,ST国华,9.99,-0.99,-0.1,0.1,0.77,2.36,1.19,0.09亿,1.19亿,11.88亿,--
42,43,603138,海量数据,25.89,-1.11,-0.29,0.39,2.0,1.74,3.13,1.43亿,2.80亿,72.45亿,--
43,44,300921,南凌科技,21.4,-1.2,-0.26,0.19,2.26,1.03,2.17,0.30亿,0.62亿,13.17亿,44.35
44,45,688086,*ST紫晶,2.34,-1.27,-0.03,0.0,1.12,1.48,1.69,0.03亿,1.33亿,3.10亿,--
45,46,300659,中孚信息,29.19,-1.39,-0.41,0.76,2.34,2.2,5.74,1.03亿,1.54亿,44.91亿,--
46,47,301218,华是科技,24.76,-1.43,-0.36,0.0,7.67,1.53,2.91,0.54亿,0.29亿,7.06亿,381.99
47,48,301185,鸥玛软件,19.9,-1.49,-0.3,0.25,1.75,0.98,2.87,0.37亿,1.06亿,21.12亿,63.88
48,49,301117,佳缘科技,81.06,-1.66,-1.37,0.32,0.82,0.59,3.17,0.28亿,0.43亿,34.47亿,153.15
49,50,301380,挖金客,43.5,-1.98,-0.88,0.53,7.46,1.41,2.57,0.55亿,0.17亿,7.39亿,49.95
50,51,300344,立方数科,5.7,-2.06,-0.12,1.06,3.83,1.17,5.67,1.40亿,6.39亿,36.44亿,--
51,52,603496,恒为科技,18.57,-2.47,-0.47,0.05,1.52,3.21,5.36,0.64亿,2.28亿,42.30亿,70.53
52,53,688201,信安世纪,64.95,-2.68,-1.79,-0.18,1.14,2.37,4.83,0.45亿,0.61亿,39.73亿,123.38
53,54,002912,中新赛克,40.51,-2.78,-1.16,0.52,2.15,3.91,6.17,1.44亿,1.62亿,65.72亿,--
54,55,301159,三维天地,35.52,-2.95,-1.08,0.45,5.82,1.4,3.01,0.64亿,0.31亿,10.91亿,--
55,56,300188,美亚柏科,15.99,-2.97,-0.49,0.31,1.29,2.08,1.88,1.49亿,7.24亿,115.81亿,--
56,57,002808,恒久科技,13.59,-3.62,-0.51,-0.22,12.04,1.46,4.89,3.08亿,1.86亿,25.33亿,2016.17
57,58,688489,三未信安,123.16,-4.04,-5.18,-0.07,3.44,1.84,4.41,0.69亿,0.16亿,19.99亿,238.26
58,59,002835,同为股份,16.35,-4.78,-0.82,0.0,9.51,1.53,3.84,1.99亿,1.27亿,20.81亿,43.62
59,60,300311,任子行,7.7,-5.06,-0.41,0.13,10.14,4.78,3.7,4.19亿,5.35亿,41.20亿,--
