,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300459,汤姆猫,4.49,15.72,0.61,0.45,16.8,4.36,13.4,22.37亿,30.01亿,134.74亿,29.57
1,2,002663,普邦股份,2.28,10.14,0.21,0.0,3.15,4.07,11.11,0.87亿,12.48亿,28.45亿,--
2,3,002425,凯撒文化,5.89,10.09,0.54,0.0,3.32,1.81,10.09,1.83亿,9.56亿,56.31亿,--
3,4,600640,国脉文化,12.0,9.19,1.01,0.0,3.38,7.91,11.1,3.15亿,7.96亿,95.48亿,--
4,5,002131,利欧股份,2.16,8.54,0.17,0.47,8.82,3.7,10.55,10.91亿,58.35亿,126.03亿,--
5,6,002555,三七互娱,24.06,7.84,1.75,-0.17,3.08,3.94,7.71,11.85亿,16.36亿,393.51亿,17.73
6,7,002517,恺英网络,8.98,6.52,0.55,-0.11,3.64,3.29,8.54,6.17亿,19.07亿,171.23亿,15.86
7,8,300133,华策影视,5.8,6.23,0.34,0.17,3.04,3.1,7.14,2.80亿,16.18亿,93.87亿,27.47
8,9,002354,天娱数科,7.07,5.21,0.35,-0.28,22.99,1.36,12.95,23.63亿,14.69亿,103.84亿,--
9,10,300494,盛天网络,17.96,4.91,0.84,0.06,6.92,3.28,6.72,2.59亿,2.11亿,37.96亿,19.24
10,11,601858,中国科传,14.12,4.67,0.63,0.43,4.11,1.41,8.38,4.52亿,7.91亿,111.62亿,29.85
11,12,300413,芒果超媒,35.84,4.49,1.54,0.14,0.9,2.02,5.98,3.25亿,10.22亿,366.18亿,29.96
12,13,300058,蓝色光标,6.28,4.32,0.26,0.16,5.96,2.33,6.64,8.69亿,23.19亿,145.63亿,386.26
13,14,600715,文投控股,2.48,4.2,0.1,0.0,3.07,4.25,8.4,1.42亿,18.55亿,46.00亿,--
14,15,300465,高伟达,11.1,3.93,0.42,0.27,3.01,2.07,7.21,1.46亿,4.47亿,49.59亿,--
15,16,300148,天舟文化,3.8,3.83,0.14,0.0,9.34,4.33,6.28,2.75亿,7.75亿,29.47亿,228.76
16,17,002624,完美世界,15.16,3.55,0.52,-0.13,3.31,3.1,4.51,9.12亿,18.27亿,277.03亿,15.30
17,18,300315,掌趣科技,3.85,3.5,0.13,0.0,2.78,3.02,4.57,2.77亿,26.07亿,100.35亿,54.53
18,19,601949,中国出版,5.6,3.32,0.18,0.36,1.69,4.13,10.52,1.75亿,18.23亿,102.06亿,26.05
19,20,600825,新华传媒,5.04,3.28,0.16,0.2,12.74,9.99,10.86,6.85亿,10.45亿,52.66亿,--
20,21,002238,天威视讯,8.2,3.15,0.25,0.0,3.63,3.3,4.91,2.38亿,8.03亿,65.81亿,60.00
21,22,300043,星辉娱乐,3.33,3.1,0.1,0.0,3.97,2.96,4.64,1.23亿,9.38亿,31.23亿,--
22,23,600088,中视传媒,10.46,3.05,0.31,0.0,2.14,3.64,5.52,0.89亿,3.98亿,41.60亿,--
23,24,002605,姚记科技,17.07,2.89,0.48,-0.06,1.97,1.93,4.34,1.10亿,3.28亿,55.96亿,17.98
24,25,600242,*ST中昌,1.44,2.86,0.04,0.0,2.34,1.19,4.29,0.15亿,4.51亿,6.50亿,--
25,26,002712,思美传媒,5.43,2.65,0.14,0.0,1.98,1.94,3.78,0.58亿,5.38亿,29.19亿,403.90
26,27,002113,ST天润,1.59,2.58,0.04,0.0,5.15,2.57,5.81,0.78亿,9.77亿,15.53亿,--
27,28,300071,福石控股,5.57,2.58,0.14,-0.54,11.37,1.65,9.21,5.72亿,8.91亿,49.65亿,114.97
28,29,002137,实益达,8.13,2.52,0.2,0.0,7.25,2.11,4.92,2.27亿,3.91亿,31.75亿,23.32
29,30,002127,南极电商,5.1,2.41,0.12,0.0,2.88,2.92,3.62,2.91亿,19.95亿,101.73亿,37.73
30,31,300467,迅游科技,14.95,2.4,0.35,-0.2,3.56,1.96,4.59,0.86亿,1.63亿,24.31亿,1006.47
31,32,600892,大晟文化,5.64,2.36,0.13,0.36,2.0,2.17,4.36,0.63亿,5.59亿,31.55亿,115.00
32,33,002343,慈文传媒,6.56,2.34,0.15,0.31,3.97,2.37,3.59,1.23亿,4.73亿,31.05亿,42.17
33,34,002699,ST美盛,3.59,2.28,0.08,-0.28,4.49,1.98,3.13,1.46亿,9.09亿,32.65亿,15.89
34,35,600757,长江传媒,6.05,2.2,0.13,0.0,1.22,2.99,4.05,0.90亿,12.13亿,73.42亿,7.82
35,36,300291,百纳千成,5.14,2.19,0.11,0.2,1.37,1.56,2.98,0.56亿,7.96亿,40.91亿,--
36,37,002502,鼎龙文化,3.89,2.1,0.08,0.0,3.86,2.62,4.46,1.25亿,8.33亿,32.40亿,--
37,38,600373,中文传媒,10.27,2.09,0.21,0.0,0.46,1.74,2.48,0.63亿,13.55亿,139.16亿,8.63
38,39,002292,奥飞娱乐,5.56,2.02,0.11,-0.18,7.75,2.24,5.5,4.22亿,9.75亿,54.23亿,--
39,40,002445,中南文化,2.61,1.95,0.05,0.0,1.6,1.81,3.91,0.99亿,23.80亿,62.13亿,64.93
40,41,600959,江苏有线,3.18,1.92,0.06,0.32,0.7,2.29,2.88,1.12亿,50.01亿,159.02亿,46.99
41,42,000793,华闻集团,2.7,1.89,0.05,0.37,3.2,1.59,4.15,1.68亿,19.61亿,52.95亿,--
42,43,601900,南方传媒,8.75,1.86,0.16,0.0,0.31,1.9,1.98,0.24亿,8.96亿,78.39亿,10.80
43,44,601595,上海电影,10.47,1.85,0.19,0.0,0.62,2.21,1.85,0.29亿,4.48亿,46.93亿,--
44,45,002739,万达电影,14.19,1.79,0.25,-0.07,0.67,1.26,2.87,2.01亿,21.08亿,299.10亿,--
45,46,000917,电广传媒,5.72,1.78,0.1,0.18,0.88,1.84,2.31,0.70亿,14.17亿,81.07亿,72.70
46,47,300251,光线传媒,8.13,1.75,0.14,0.0,0.54,1.67,2.0,1.21亿,27.87亿,226.60亿,176.19
47,48,600037,歌华有线,8.82,1.73,0.15,-0.11,0.97,1.75,2.65,1.18亿,13.92亿,122.75亿,28.02
48,49,600986,浙文互联,5.91,1.72,0.1,0.34,3.57,1.85,4.47,2.77亿,13.22亿,78.16亿,46.76
49,50,600637,东方明珠,7.3,1.67,0.12,0.0,0.56,1.56,1.95,1.40亿,34.15亿,249.26亿,60.53
50,51,300069,金利华电,14.64,1.67,0.24,-0.2,1.82,5.45,4.86,0.31亿,1.17亿,17.13亿,1166.18
51,52,603999,读者传媒,6.17,1.65,0.1,0.16,0.75,1.3,1.81,0.26亿,5.76亿,35.54亿,41.17
52,53,601999,出版传媒,6.9,1.62,0.11,0.0,0.88,1.58,3.24,0.33亿,5.51亿,38.01亿,80.68
53,54,002027,分众传媒,6.92,1.61,0.11,-0.14,0.4,1.32,3.08,3.99亿,144.42亿,999.40亿,35.18
54,55,000810,创维数字,16.52,1.6,0.26,0.18,1.59,1.27,3.2,2.89亿,11.17亿,184.57亿,20.16
55,56,601811,新华文轩,10.8,1.6,0.17,-0.46,0.29,2.14,2.35,0.24亿,7.92亿,85.53亿,12.94
56,57,300603,立昂技术,13.36,1.6,0.21,-0.89,13.91,1.15,9.05,4.73亿,2.53亿,33.83亿,77.11
57,58,300144,宋城演艺,16.17,1.57,0.25,0.12,0.82,1.24,4.02,3.05亿,22.88亿,369.92亿,418.55
58,59,300242,佳云科技,3.89,1.57,0.06,0.26,1.81,1.1,3.39,0.44亿,6.27亿,24.40亿,57.16
59,60,300329,海伦钢琴,7.78,1.57,0.12,0.0,1.74,1.66,2.74,0.34亿,2.52亿,19.62亿,182.64
60,61,600633,浙数文化,9.75,1.56,0.15,0.1,2.31,1.74,3.54,2.83亿,12.66亿,123.41亿,25.80
61,62,300027,华谊兄弟,2.61,1.56,0.04,0.39,1.79,2.0,3.5,1.07亿,23.05亿,60.16亿,--
62,63,601599,浙文影业,3.27,1.55,0.05,0.0,0.93,2.01,2.48,0.27亿,8.93亿,29.19亿,32.85
63,64,300299,富春股份,6.02,1.52,0.09,0.0,2.29,1.7,3.2,0.89亿,6.47亿,38.97亿,128.15
64,65,600977,中国电影,12.48,1.46,0.18,0.0,0.61,1.86,2.03,1.42亿,18.67亿,233.00亿,29394.20
65,66,601929,吉视传媒,2.1,1.45,0.03,0.48,1.03,1.55,2.42,0.71亿,33.01亿,69.33亿,--
66,67,000038,*ST大通,4.32,1.41,0.06,0.0,1.25,1.04,2.82,0.14亿,2.51亿,10.83亿,12.75
