,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300404,博济医药,11.08,11.02,1.1,0.82,12.12,4.15,11.32,3.46亿,2.69亿,29.85亿,143.12
1,2,002274,华昌化工,8.73,8.04,0.65,0.0,4.17,13.39,8.42,3.36亿,9.38亿,81.89亿,8.22
2,3,300887,谱尼测试,38.34,2.82,1.05,-0.05,1.88,2.48,4.1,0.73亿,1.02亿,39.06亿,45.67
3,4,300396,迪瑞医疗,32.45,2.69,0.85,0.75,0.54,1.12,4.56,0.43亿,2.49亿,80.67亿,34.41
4,5,300485,赛升药业,13.07,2.67,0.34,0.08,3.63,3.19,3.22,1.27亿,2.70亿,35.32亿,18.69
5,6,300030,阳普医疗,7.29,2.53,0.18,0.0,1.87,4.1,2.95,0.36亿,2.68亿,19.57亿,--
6,7,300683,海特生物,40.51,2.43,0.96,0.0,0.9,2.6,4.12,0.41亿,1.13亿,45.60亿,211.29
7,8,301047,义翘神州,112.96,2.32,2.56,0.05,1.26,2.46,4.5,0.83亿,0.58亿,66.04亿,39.67
8,9,002589,瑞康医药,4.27,1.91,0.08,0.0,3.4,4.04,2.62,1.68亿,11.58亿,49.45亿,78.89
9,10,603716,塞力医疗,11.22,1.91,0.21,0.27,2.63,4.05,2.63,0.59亿,2.01亿,22.59亿,--
10,11,002223,鱼跃医疗,30.37,1.84,0.55,-0.07,1.1,2.11,2.31,3.12亿,9.38亿,284.81亿,20.11
11,12,603222,济民医疗,11.23,1.81,0.2,0.09,2.29,2.06,4.17,1.22亿,4.77亿,53.57亿,55.41
12,13,002950,奥美医疗,13.12,1.71,0.22,0.0,1.18,2.44,2.79,0.53亿,3.44亿,45.14亿,31.65
13,14,300199,翰宇药业,13.17,1.62,0.21,-0.08,5.97,2.87,3.55,5.25亿,6.66亿,87.72亿,--
14,15,600479,千金药业,10.44,1.56,0.16,-0.1,1.02,2.48,2.14,0.45亿,4.19亿,43.69亿,17.98
15,16,002644,佛慈制药,9.96,1.53,0.15,0.0,0.64,2.32,1.73,0.32亿,5.11亿,50.86亿,72.14
16,17,300298,三诺生物,37.63,1.51,0.56,0.24,0.32,1.28,2.27,0.54亿,4.55亿,171.33亿,43.82
17,18,688315,诺禾致源,33.8,1.41,0.47,-0.03,0.29,0.96,2.94,0.11亿,1.08亿,36.56亿,89.91
18,19,002550,千红制药,6.48,1.41,0.09,0.16,3.28,4.45,2.5,1.96亿,9.22亿,59.71亿,23.17
19,20,300869,康泰医学,26.32,1.31,0.34,-0.04,2.13,1.94,1.81,0.90亿,1.60亿,42.13亿,45.53
20,21,300149,睿智医药,11.2,1.27,0.14,0.09,0.81,1.43,1.63,0.45亿,4.99亿,55.88亿,4.10
21,22,300436,广生堂,38.55,1.18,0.45,0.0,1.39,1.62,1.89,0.72亿,1.33亿,51.37亿,--
22,23,603108,润达医疗,12.01,1.18,0.14,0.5,0.41,0.99,1.77,0.28亿,5.80亿,69.60亿,17.06
23,24,300888,稳健医疗,72.99,1.15,0.83,0.06,1.11,2.81,2.7,1.11亿,1.36亿,99.26亿,18.67
24,25,300009,安科生物,11.5,1.14,0.13,-0.17,0.48,1.43,2.11,0.65亿,11.72亿,134.77亿,24.28
25,26,002022,*ST科华,12.32,0.98,0.12,-0.16,0.42,1.33,1.64,0.27亿,5.14亿,63.34亿,3.99
26,27,300254,仟源医药,7.29,0.97,0.07,0.0,3.54,2.39,2.77,0.58亿,2.24亿,16.33亿,--
27,28,300813,泰林生物,46.06,0.96,0.44,-0.09,2.48,1.83,2.1,0.51亿,0.45亿,20.68亿,60.79
28,29,002382,蓝帆医疗,8.4,0.96,0.08,0.0,0.63,1.83,1.92,0.53亿,10.02亿,84.13亿,--
29,30,688193,仁度生物,53.3,0.95,0.5,0.0,1.75,1.5,2.08,0.08亿,0.09亿,4.55亿,67.31
30,31,300463,迈克生物,19.36,0.94,0.18,0.0,0.53,1.3,1.36,0.51亿,4.95亿,95.90亿,14.81
31,32,002038,双鹭药业,9.03,0.89,0.08,0.0,0.53,1.44,1.79,0.41亿,8.51亿,76.88亿,29.24
32,33,301060,兰卫医学,21.51,0.89,0.19,0.0,1.54,1.56,1.74,0.61亿,1.84亿,39.54亿,10.69
33,34,002252,上海莱士,6.26,0.81,0.05,0.0,0.24,1.09,0.81,0.75亿,49.72亿,311.26亿,19.73
34,35,603387,基蛋生物,13.5,0.75,0.1,0.0,0.57,1.42,0.9,0.39亿,5.07亿,68.47亿,10.81
35,36,002030,达安基因,16.22,0.74,0.12,-0.06,0.48,1.57,1.06,1.05亿,13.61亿,220.81亿,3.48
36,37,688606,奥泰生物,109.6,0.73,0.8,-0.1,0.4,0.83,1.17,0.10亿,0.23亿,25.60亿,3.26
37,38,600196,复星医药,34.32,0.73,0.25,-0.03,0.48,1.69,0.94,3.47亿,21.18亿,726.80亿,28.02
38,39,002432,九安医疗,51.58,0.72,0.37,-0.04,1.07,1.54,1.62,2.65亿,4.81亿,248.33亿,1.16
39,40,300439,美康生物,12.97,0.62,0.08,0.0,0.77,1.21,1.01,0.28亿,2.77亿,35.97亿,18.31
40,41,300832,新产业,61.41,0.59,0.36,0.43,0.29,0.62,1.8,0.50亿,2.84亿,174.33亿,39.16
41,42,002262,恩华药业,26.0,0.58,0.15,0.0,0.36,0.86,2.17,0.83亿,8.82亿,229.26亿,26.48
42,43,000513,丽珠集团,35.2,0.54,0.19,0.0,0.54,1.32,1.34,1.16亿,6.06亿,213.26亿,16.39
43,44,000982,中银绒业,1.89,0.53,0.01,0.0,0.52,1.72,1.6,0.42亿,42.62亿,80.55亿,819.08
44,45,603060,国检集团,13.38,0.53,0.07,-0.08,0.14,1.24,1.58,0.14亿,7.29亿,97.28亿,38.47
45,46,301087,可孚医疗,38.39,0.52,0.2,0.0,1.32,1.35,1.21,0.45亿,0.88亿,33.76亿,35.84
46,47,688068,热景生物,61.43,0.52,0.32,0.18,0.59,0.91,0.88,0.34亿,0.92亿,56.55亿,3.85
