,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300404,博济医药,10.94,9.62,0.96,-1.17,9.84,5.25,11.32,2.79亿,2.69亿,29.47亿,141.31
1,2,300086,康芝药业,7.21,6.66,0.45,0.0,9.44,8.62,9.17,2.91亿,4.36亿,31.41亿,--
2,3,300158,振东制药,7.71,6.2,0.45,1.05,6.21,4.71,6.89,4.74亿,10.24亿,78.95亿,240.11
3,4,300261,雅本化学,13.8,6.15,0.8,-0.29,7.22,4.94,9.62,9.27亿,9.50亿,131.04亿,54.92
4,5,002603,以岭药业,31.05,5.79,1.7,0.39,6.78,8.6,7.43,28.35亿,13.76亿,427.25亿,27.51
5,6,600557,康缘药业,26.1,5.52,1.37,0.39,2.06,4.42,10.31,3.13亿,5.76亿,150.97亿,40.82
6,7,002873,新天药业,16.56,5.41,0.85,0.55,4.32,4.8,6.81,1.57亿,2.22亿,36.81亿,27.47
7,8,603439,贵州三力,15.95,4.87,0.74,0.89,10.13,6.21,6.84,2.58亿,1.62亿,25.88亿,47.31
8,9,002728,特一药业,22.19,4.67,0.99,0.27,12.15,6.22,7.31,4.26亿,1.60亿,35.46亿,39.01
9,10,002626,金达威,27.54,3.5,0.93,0.29,6.49,5.43,6.16,10.82亿,6.10亿,167.95亿,36.13
10,11,600594,益佰制药,5.68,3.46,0.19,0.0,2.5,5.92,4.55,1.12亿,7.92亿,44.98亿,17.21
11,12,688658,悦康药业,20.73,3.08,0.62,-0.34,1.13,2.99,3.23,0.47亿,2.05亿,42.41亿,20.85
12,13,600056,中国医药,15.59,3.04,0.46,0.06,3.79,7.35,3.83,8.80亿,14.95亿,233.12亿,22.81
13,14,300683,海特生物,40.74,3.01,1.19,-0.07,0.75,3.37,4.12,0.34亿,1.13亿,45.86亿,212.49
14,15,300485,赛升药业,13.09,2.83,0.36,0.15,3.04,4.15,3.22,1.06亿,2.70亿,35.38亿,18.72
15,16,000756,新华制药,27.14,2.57,0.68,-0.07,4.24,4.83,3.55,5.04亿,4.41亿,119.58亿,46.74
16,17,301211,亨迪药业,29.28,2.56,0.73,0.38,9.63,5.38,3.61,1.62亿,0.58亿,16.89亿,67.09
17,18,300147,香雪制药,6.07,2.53,0.15,0.17,3.86,7.04,3.38,1.53亿,6.56亿,39.83亿,--
18,19,600664,哈药股份,3.26,2.52,0.08,0.0,1.27,6.46,3.15,1.03亿,25.17亿,82.05亿,19.12
19,20,600535,天士力,12.59,2.36,0.29,0.16,0.49,2.92,2.68,0.92亿,15.00亿,188.81亿,--
20,21,600129,太极集团,35.25,2.32,0.8,0.0,0.56,2.38,2.93,1.10亿,5.57亿,196.30亿,59.15
21,22,300878,维康药业,25.39,2.21,0.55,0.0,4.53,4.05,3.06,0.46亿,0.40亿,10.11亿,29.35
22,23,000739,普洛药业,23.63,2.21,0.51,-0.17,0.17,1.11,2.85,0.48亿,11.78亿,278.38亿,31.78
