,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300261,雅本化学,13.73,5.62,0.73,-0.22,5.7,5.8,8.08,7.27亿,9.50亿,130.37亿,54.65
1,2,600056,中国医药,15.64,3.37,0.51,0.19,3.36,9.69,3.83,7.80亿,14.95亿,233.87亿,22.89
2,3,002435,长江健康,5.68,3.27,0.18,1.07,0.86,3.34,3.46,0.58亿,12.03亿,68.31亿,49.06
3,4,300683,海特生物,40.84,3.26,1.29,-0.05,0.65,4.38,4.12,0.30亿,1.13亿,45.97亿,213.01
4,5,000756,新华制药,27.14,2.57,0.68,0.15,2.8,4.75,3.21,3.32亿,4.41亿,119.58亿,46.74
5,6,300199,翰宇药业,13.28,2.47,0.32,0.38,3.88,4.32,3.4,3.40亿,6.66亿,88.45亿,--
6,7,002349,精华制药,12.45,1.97,0.24,0.08,1.88,4.62,2.46,1.89亿,8.11亿,101.00亿,45.02
7,8,002864,盘龙药业,38.24,1.95,0.73,0.32,4.88,3.95,2.88,1.00亿,0.54亿,20.70亿,31.90
8,9,300254,仟源医药,7.35,1.8,0.13,0.0,2.11,3.3,2.63,0.34亿,2.24亿,16.47亿,--
9,10,002317,众生药业,23.25,1.79,0.41,0.04,2.37,3.2,3.06,3.86亿,7.07亿,164.43亿,57.10
10,11,300233,金城医药,25.15,1.66,0.41,0.16,1.33,3.47,2.51,1.21亿,3.61亿,90.87亿,28.28
11,12,600062,华润双鹤,18.46,1.65,0.3,0.05,0.92,4.2,2.09,1.74亿,10.24亿,189.11亿,14.76
12,13,601607,上海医药,19.17,1.64,0.31,0.1,0.34,4.99,1.7,1.25亿,19.26亿,369.18亿,11.04
13,14,300584,海辰药业,28.58,1.64,0.46,0.49,2.01,3.08,1.64,0.37亿,0.64亿,18.30亿,128.08
14,15,688136,科兴制药,22.47,1.45,0.32,0.22,0.78,2.46,1.76,0.12亿,0.67亿,15.04亿,--
15,16,300436,广生堂,38.63,1.39,0.53,0.26,1.0,2.69,1.89,0.51亿,1.33亿,51.48亿,--
16,17,300204,舒泰神,12.52,1.29,0.16,0.0,0.86,2.77,1.78,0.50亿,4.69亿,58.77亿,--
17,18,000953,河化股份,6.67,1.21,0.08,0.0,0.49,2.01,1.52,0.12亿,3.66亿,24.42亿,--
18,19,300702,天宇股份,26.36,1.19,0.31,0.11,0.32,1.36,1.07,0.17亿,2.09亿,55.18亿,177.47
19,20,301089,拓新药业,73.1,1.15,0.83,0.26,0.64,2.1,1.67,0.36亿,0.77亿,56.35亿,63.09
20,21,600668,尖峰集团,13.26,0.76,0.1,-0.08,0.7,2.16,1.22,0.32亿,3.44亿,45.63亿,18.49
21,22,603538,美诺华,27.85,0.72,0.2,0.0,0.75,1.69,0.94,0.44亿,2.11亿,58.75亿,20.82
22,23,600196,复星医药,34.3,0.68,0.23,-0.03,0.33,2.66,0.94,2.36亿,21.18亿,726.38亿,28.01
23,24,600866,星湖科技,6.61,0.61,0.04,0.3,0.47,1.38,1.37,0.23亿,7.39亿,48.85亿,70.25
24,25,600521,华海药业,21.59,0.61,0.13,0.0,0.3,1.65,1.21,0.95亿,14.55亿,314.05亿,30.23
25,26,688221,前沿生物,15.21,0.53,0.08,0.26,0.44,1.25,1.45,0.13亿,1.91亿,29.04亿,--
26,27,830946,森萱医药,9.28,0.32,0.03,0.22,0.14,3.06,1.19,0.05亿,4.27亿,39.60亿,21.63
27,28,688180,君实生物,53.81,0.3,0.16,-0.06,0.27,1.25,1.06,0.64亿,4.34亿,233.34亿,--
28,29,002669,康达新材,15.98,-2.02,-0.33,0.06,0.85,1.48,2.76,0.34亿,2.51亿,40.11亿,--
