,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002167,东方锆业,9.88,4.77,0.45,0.2,15.73,2.4,7.0,10.46亿,6.81亿,67.30亿,44.79
1,2,688267,中触媒,38.4,3.5,1.3,0.0,0.84,2.42,3.61,0.20亿,0.64亿,24.59亿,58.73
2,3,300655,晶瑞电材,16.86,2.93,0.48,-0.59,3.68,5.24,5.43,3.42亿,5.54亿,93.35亿,67.82
3,4,300285,国瓷材料,34.63,2.82,0.95,-0.2,0.34,2.21,3.38,0.93亿,8.03亿,278.15亿,57.05
4,5,300811,铂科新材,97.0,2.78,2.62,-0.29,2.53,3.39,4.87,2.12亿,0.86亿,83.65亿,60.81
5,6,603010,万盛股份,13.92,2.73,0.37,-0.07,1.51,3.89,5.24,1.03亿,4.85亿,67.55亿,21.60
6,7,603995,甬金股份,34.68,2.6,0.88,0.03,2.42,1.64,5.0,1.36亿,1.64亿,56.73亿,25.10
7,8,000151,中成股份,14.53,2.54,0.36,0.0,4.8,1.91,3.46,1.85亿,2.67亿,38.73亿,--
8,9,688550,瑞联新材,56.19,2.24,1.23,0.07,3.27,3.4,4.37,1.35亿,0.73亿,40.92亿,19.82
9,10,603225,新凤鸣,12.84,2.23,0.28,0.39,0.42,1.9,4.22,0.82亿,15.29亿,196.38亿,51.86
10,11,605183,确成股份,21.24,2.12,0.44,0.09,1.02,1.8,3.99,0.29亿,1.36亿,28.80亿,21.37
11,12,688378,奥来德,61.4,2.03,1.22,0.66,2.05,1.68,3.85,0.81亿,0.64亿,39.53亿,42.24
12,13,002129,TCL中环,43.87,1.91,0.82,0.14,0.73,2.93,2.95,10.32亿,32.30亿,1417.04亿,21.26
13,14,300666,江丰电子,81.81,1.87,1.5,0.14,2.79,1.96,5.22,3.99亿,1.76亿,143.75亿,73.01
14,15,600707,彩虹股份,5.13,1.79,0.09,-0.2,3.25,21.11,7.34,6.12亿,35.88亿,184.05亿,--
15,16,601117,中国化学,8.93,1.71,0.15,-0.22,0.32,1.47,2.62,1.60亿,56.97亿,508.70亿,11.00
16,17,002182,云海金属,23.47,1.69,0.39,0.0,1.44,2.01,2.3,1.88亿,5.57亿,130.77亿,19.65
17,18,603663,三祥新材,16.57,1.47,0.24,-0.42,2.02,1.73,3.43,1.00亿,3.01亿,49.86亿,29.48
18,19,688186,广大特材,30.13,1.34,0.4,-0.76,0.7,1.33,2.39,0.43亿,2.05亿,61.83亿,60.35
19,20,600626,申达股份,3.9,1.3,0.05,0.0,0.63,2.55,3.12,0.21亿,8.52亿,33.24亿,--
20,21,688065,凯赛生物,68.09,1.22,0.82,0.18,0.16,1.06,1.62,0.29亿,2.64亿,179.47亿,61.27
21,22,600516,方大炭素,6.71,1.21,0.08,0.15,0.49,2.7,2.11,1.24亿,38.06亿,255.38亿,41.04
22,23,002863,今飞凯达,6.54,1.08,0.07,-0.15,2.24,1.18,2.32,0.73亿,4.99亿,32.62亿,40.47
23,24,300900,广联航空,33.66,1.08,0.36,0.18,1.66,1.41,2.46,0.68亿,1.22亿,41.15亿,70.54
24,25,600327,大东方,4.75,1.06,0.05,0.0,0.69,2.45,1.06,0.29亿,8.85亿,42.03亿,18.32
25,26,301216,万凯新材,31.0,1.04,0.32,0.0,2.12,1.24,1.21,0.49亿,0.75亿,23.40亿,9.03
26,27,000615,奥园美谷,7.78,1.04,0.08,-0.13,1.42,1.25,2.08,0.84亿,7.62亿,59.25亿,--
27,28,300700,岱勒新材,37.64,1.02,0.38,0.35,1.34,1.55,3.44,0.46亿,0.92亿,34.68亿,47.44
28,29,600076,康欣新材,3.13,0.97,0.03,0.0,0.41,2.58,1.94,0.13亿,10.34亿,32.37亿,--
29,30,600955,维远股份,25.15,0.96,0.24,-0.04,0.49,1.87,2.09,0.45亿,3.65亿,91.77亿,21.12
30,31,600319,亚星化学,6.49,0.93,0.06,-0.15,0.65,1.01,1.4,0.13亿,3.16亿,20.48亿,30.2
31,32,300606,金太阳,15.26,0.93,0.14,-0.52,7.45,3.91,5.82,1.34亿,1.16亿,17.73亿,73.97
32,33,603725,天安新材,7.86,0.9,0.07,-0.25,0.79,2.39,2.57,0.13亿,2.05亿,16.14亿,65.77
33,34,600885,宏发股份,36.6,0.85,0.31,0.44,0.16,0.81,1.74,0.61亿,10.43亿,381.62亿,29.56
34,35,000881,中广核技,8.36,0.84,0.07,0.0,0.88,4.05,2.65,0.57亿,7.76亿,64.87亿,28.06
35,36,300433,蓝思科技,13.8,0.8,0.11,-0.22,0.34,0.87,1.83,2.28亿,49.61亿,684.56亿,67.79
36,37,300758,七彩化学,13.9,0.8,0.11,0.22,2.0,1.02,2.39,0.87亿,3.16亿,43.96亿,185.27
37,38,688357,建龙微纳,115.93,0.79,0.91,0.25,0.5,0.79,2.87,0.28亿,0.49亿,56.44亿,35.06
38,39,002091,江苏国泰,9.06,0.78,0.07,0.0,0.54,1.03,1.33,0.76亿,15.73亿,142.50亿,8.05
39,40,300796,贝斯美,24.61,0.78,0.19,-0.04,0.49,0.8,2.5,0.24亿,2.01亿,49.38亿,32.24
40,41,600156,华升股份,5.22,0.77,0.04,-0.38,0.47,1.88,2.12,0.10亿,4.02亿,20.99亿,--
