,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002024,ST易购,2.3,5.02,0.11,0.0,0.68,8.09,4.57,1.23亿,78.83亿,181.32亿,--
1,2,605186,健麾信息,33.18,4.87,1.54,0.7,4.03,2.43,4.84,0.88亿,0.67亿,22.11亿,39.51
2,3,000560,我爱我家,3.29,4.44,0.14,-0.3,3.68,2.22,6.67,2.70亿,22.50亿,74.02亿,--
3,4,002762,金发拉比,12.86,2.88,0.36,0.0,16.91,2.65,6.24,4.35亿,2.01亿,25.86亿,331.23
4,5,600600,青岛啤酒,108.8,2.85,3.1,-0.05,0.5,1.6,3.58,3.79亿,7.00亿,762.46亿,26.11
5,6,002991,甘源食品,87.01,2.61,2.21,-0.22,0.82,1.45,3.76,0.26亿,0.36亿,31.69亿,67.96
6,7,600859,王府井,28.28,2.58,0.71,-0.07,0.88,1.51,4.46,2.71亿,10.93亿,309.23亿,58.02
7,8,605136,丽人丽妆,13.56,2.34,0.31,0.0,3.34,2.78,3.47,0.88亿,1.96亿,26.59亿,--
8,9,600398,海澜之家,5.47,2.24,0.12,0.0,0.34,2.12,3.55,0.81亿,43.20亿,236.28亿,10.13
9,10,002127,南极电商,5.09,2.21,0.11,0.0,2.76,3.33,3.62,2.80亿,19.95亿,101.53亿,37.66
10,11,603708,家家悦,12.74,2.17,0.27,-0.16,0.5,1.22,2.73,0.39亿,6.08亿,77.51亿,31.02
11,12,301009,可靠股份,13.75,2.15,0.29,-0.22,4.1,2.53,2.9,0.55亿,0.97亿,13.36亿,189.80
12,13,000756,新华制药,27.03,2.15,0.57,0.11,5.16,3.55,3.55,6.13亿,4.41亿,119.09亿,46.56
13,14,002321,ST华英,2.54,2.01,0.05,0.0,0.33,2.28,2.01,0.18亿,21.29亿,54.07亿,--
14,15,603031,安孚科技,52.82,1.97,1.02,-0.13,0.69,2.58,3.11,0.40亿,1.12亿,59.16亿,56.05
15,16,002293,罗莱生活,12.22,1.83,0.22,1.08,0.15,0.77,2.92,0.15亿,8.27亿,101.00亿,19.64
