,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002024,ST易购,2.3,5.02,0.11,0.0,0.71,8.06,4.57,1.28亿,78.83亿,181.32亿,--
1,2,300562,乐心医疗,10.65,2.31,0.24,-0.19,5.15,3.02,3.36,0.79亿,1.44亿,15.32亿,192.09
2,3,300479,神思电子,25.61,1.87,0.47,-0.04,13.7,1.85,8.43,7.02亿,1.97亿,50.46亿,--
3,4,300663,科蓝软件,16.16,1.32,0.21,0.25,3.76,1.66,4.01,2.33亿,3.85亿,62.28亿,--
4,5,300997,欢乐家,13.66,1.04,0.14,0.0,4.58,1.71,2.81,0.55亿,0.90亿,12.29亿,39.19
5,6,002697,红旗连锁,5.7,0.71,0.04,0.0,0.65,1.3,1.94,0.40亿,10.78亿,61.43亿,16.28
6,7,002161,远望谷,5.89,0.51,0.03,0.34,1.28,1.01,2.05,0.53亿,7.12亿,41.96亿,--
7,8,600728,佳都科技,6.51,0.31,0.02,-0.31,0.99,0.96,1.7,1.12亿,17.37亿,113.10亿,--
8,9,300248,新开普,10.54,0.0,0.0,0.1,1.38,0.63,1.8,0.58亿,4.05亿,42.66亿,--
9,10,000564,ST大集,1.55,0.0,0.0,-0.64,0.69,1.26,2.58,1.62亿,151.81亿,235.31亿,83.77
10,11,002419,天虹股份,6.33,-0.16,-0.01,0.16,0.44,0.84,0.79,0.33亿,11.69亿,73.97亿,48.41
11,12,300306,远方信息,11.51,-0.26,-0.03,0.09,1.77,1.14,1.56,0.31亿,1.52亿,17.49亿,42.42
12,13,300512,中亚股份,8.1,-0.37,-0.03,0.0,0.31,0.64,0.86,0.08亿,3.26亿,26.41亿,28.71
13,14,300609,汇纳科技,19.84,-0.4,-0.08,0.1,1.98,0.81,2.36,0.37亿,0.95亿,18.85亿,--
14,15,000997,新大陆,16.38,-0.61,-0.1,0.06,0.53,0.61,0.85,0.89亿,10.26亿,168.12亿,34.06
15,16,000701,厦门信达,7.54,-1.7,-0.13,-0.13,2.46,0.65,1.96,0.76亿,4.11亿,31.01亿,429.71
16,17,300220,金运激光,13.16,-1.79,-0.24,0.08,2.36,0.56,1.87,0.47亿,1.51亿,19.87亿,--
17,18,300656,民德电子,38.66,-2.08,-0.82,-0.05,0.87,1.0,3.65,0.39亿,1.16亿,44.77亿,87.21
