,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002970,锐明技术,29.02,10.01,2.64,0.0,5.29,2.87,2.73,1.64亿,1.08亿,31.28亿,--
1,2,600066,宇通客车,9.2,7.98,0.68,-0.22,3.02,7.46,9.27,6.09亿,22.14亿,203.68亿,116.78
2,3,601799,星宇股份,143.71,6.64,8.95,0.17,0.89,4.45,7.87,3.63亿,2.86亿,410.55亿,40.84
3,4,301236,软通动力,42.63,6.63,2.65,-0.37,11.61,4.09,7.78,3.97亿,0.82亿,34.95亿,30.21
4,5,603776,永安行,17.15,5.8,0.94,-0.41,5.37,4.33,11.85,2.12亿,2.32亿,39.83亿,31.00
5,6,002373,千方科技,12.15,5.65,0.65,0.25,1.89,3.08,7.04,3.07亿,13.74亿,166.88亿,--
6,7,300807,天迈科技,27.5,5.65,1.47,0.0,10.22,4.94,11.56,1.35亿,0.49亿,13.38亿,--
7,8,002405,四维图新,13.53,4.0,0.52,0.15,2.36,2.01,5.53,7.17亿,22.98亿,310.91亿,--
8,9,300598,诚迈科技,58.27,3.65,2.05,0.28,4.91,2.65,6.56,4.53亿,1.60亿,93.27亿,--
9,10,002236,大华股份,13.99,3.48,0.47,0.29,2.16,2.51,5.25,5.83亿,19.59亿,274.10亿,18.80
10,11,300418,昆仑万维,26.03,3.29,0.83,0.15,9.68,1.38,8.81,26.57亿,10.74亿,279.46亿,29.34
11,12,300342,天银机电,10.01,2.88,0.28,0.2,3.31,2.78,7.61,1.38亿,4.16亿,41.67亿,79.04
12,13,300655,晶瑞电材,16.84,2.81,0.46,0.18,4.18,3.82,5.43,3.88亿,5.54亿,93.24亿,67.73
13,14,300075,数字政通,21.44,2.78,0.58,-0.33,5.84,1.59,4.65,5.11亿,4.15亿,89.01亿,45.87
14,15,601633,长城汽车,33.61,2.28,0.75,0.15,0.26,1.6,2.59,5.25亿,61.33亿,2061.13亿,35.23
15,16,002906,华阳集团,36.51,2.21,0.79,0.03,0.94,1.46,3.02,1.62亿,4.75亿,173.41亿,48.82
16,17,002444,巨星科技,22.46,2.04,0.45,0.09,0.82,1.17,2.18,2.12亿,11.56亿,259.54亿,16.04
17,18,002232,启明信息,15.34,1.79,0.27,0.99,1.72,1.09,3.19,1.06亿,4.09亿,62.67亿,69.62
18,19,002065,东华软件,6.85,1.78,0.12,-0.15,0.98,1.38,2.97,1.93亿,29.04亿,198.94亿,34.05
19,20,688088,虹软科技,29.3,1.74,0.5,0.17,0.99,1.47,2.99,1.17亿,4.06亿,118.96亿,167.5
20,21,600686,金龙汽车,6.61,1.54,0.1,0.15,1.78,2.65,3.84,0.85亿,7.17亿,47.40亿,--
