,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300787,海能实业,34.22,6.67,2.14,0.21,6.8,6.9,11.44,2.05亿,0.89亿,30.50亿,12.98
1,2,688286,敏芯股份,70.31,4.63,3.11,0.01,2.95,2.08,6.18,0.71亿,0.35亿,24.62亿,--
2,3,002137,实益达,8.13,2.52,0.2,-0.12,6.69,2.36,4.92,2.09亿,3.91亿,31.75亿,23.32
3,4,300562,乐心医疗,10.66,2.4,0.25,-0.19,5.05,3.14,3.36,0.77亿,1.44亿,15.34亿,192.27
4,5,688608,恒玄科技,143.66,2.31,3.25,0.25,1.11,1.91,4.8,1.27亿,0.79亿,114.01亿,86.11
5,6,002975,博杰股份,41.25,2.26,0.91,0.1,1.76,2.34,4.81,0.46亿,0.64亿,26.37亿,26.58
6,7,300173,福能东方,5.06,2.02,0.1,-0.2,1.73,2.62,3.02,0.62亿,7.08亿,35.84亿,437.00
7,8,002351,漫步者,10.25,1.99,0.2,0.0,1.96,2.18,3.18,0.98亿,4.92亿,50.42亿,39.80
8,9,002861,瀛通通讯,12.72,1.92,0.24,-0.16,4.37,2.1,3.93,0.60亿,1.08亿,13.78亿,--
9,10,688035,德邦科技,68.51,1.8,1.21,-0.02,6.49,1.82,4.61,1.32亿,0.29亿,20.19亿,88.10
10,11,300433,蓝思科技,13.92,1.68,0.23,0.29,0.48,0.96,2.48,3.26亿,49.61亿,690.51亿,68.38
11,12,300661,圣邦股份,176.8,1.53,2.66,0.98,0.33,1.2,3.01,1.97亿,3.38亿,597.08亿,63.08
12,13,603626,科森科技,8.64,1.53,0.13,0.0,4.43,1.74,4.82,2.15亿,5.55亿,47.94亿,95.64
13,14,002475,立讯精密,33.65,1.26,0.42,0.36,0.26,1.14,1.81,6.19亿,71.04亿,2390.60亿,28.06
14,15,600745,闻泰科技,60.55,1.14,0.68,0.72,0.66,1.03,2.54,4.91亿,12.43亿,752.52亿,29.04
15,16,603501,韦尔股份,95.4,0.98,0.93,0.39,0.5,1.39,2.34,5.57亿,11.80亿,1125.46亿,39.4
16,17,600035,楚天高速,3.41,0.89,0.03,0.0,0.51,1.74,1.18,0.28亿,16.10亿,54.90亿,6.49
17,18,002045,国光电器,14.07,0.86,0.12,0.36,2.08,0.88,2.87,1.35亿,4.68亿,65.81亿,29.12
18,19,603986,兆易创新,117.64,0.74,0.87,0.5,0.98,1.48,3.4,7.65亿,6.63亿,780.28亿,28.13
