,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,688158,优刻得,20.94,20.0,3.49,0.0,10.72,4.3,19.71,7.35亿,3.55亿,74.42亿,--
1,2,603918,金桥信息,10.25,9.98,0.93,0.0,11.63,4.78,8.91,4.28亿,3.66亿,37.47亿,424.17
2,3,002368,太极股份,42.19,9.16,3.54,2.23,3.2,2.44,11.56,7.48亿,5.88亿,247.96亿,159.41
3,4,000032,深桑达A,29.54,8.24,2.25,1.1,4.78,2.73,12.17,8.59亿,6.45亿,190.46亿,--
4,5,300271,华宇软件,9.92,6.55,0.61,0.92,4.95,2.42,8.38,3.27亿,6.91亿,68.58亿,--
5,6,300379,东方通,25.57,4.16,1.02,0.47,2.89,2.96,4.85,3.13亿,4.33亿,110.75亿,--
6,7,300229,拓尔思,24.6,4.15,0.98,-0.24,10.89,1.67,8.81,19.84亿,7.61亿,187.15亿,135.53
7,8,300166,东方国信,10.34,4.13,0.41,-0.39,12.05,4.7,6.14,11.47亿,9.19亿,95.07亿,82.72
8,9,301085,亚康股份,40.8,4.11,1.61,-0.03,19.8,2.52,6.12,2.55亿,0.32亿,12.98亿,42.35
9,10,002279,久其软件,9.26,4.04,0.36,0.33,11.64,3.11,7.53,8.21亿,7.88亿,72.97亿,--
10,11,301248,杰创智能,37.54,3.44,1.25,0.94,19.93,1.23,5.84,1.77亿,0.24亿,9.01亿,59.44
11,12,002757,南兴股份,13.97,3.18,0.43,0.36,7.41,1.87,3.32,2.87亿,2.80亿,39.09亿,15.40
12,13,002238,天威视讯,8.19,3.02,0.24,0.0,3.36,4.02,4.91,2.20亿,8.03亿,65.73亿,59.93
13,14,603636,南威软件,17.53,3.0,0.51,0.81,2.23,1.13,4.23,2.26亿,5.91亿,103.57亿,--
14,15,002261,拓维信息,8.79,2.93,0.25,0.11,8.11,1.94,4.68,7.85亿,11.16亿,98.09亿,80.50
15,16,300634,彩讯股份,20.56,2.9,0.58,-0.05,3.8,2.95,6.11,3.19亿,4.20亿,86.33亿,42.80
16,17,002301,齐心集团,7.9,2.87,0.22,0.13,2.05,3.11,7.03,1.16亿,7.18亿,56.72亿,29.94
17,18,002777,久远银海,19.67,2.66,0.51,0.41,2.32,1.92,3.91,1.79亿,3.99亿,78.57亿,48.15
18,19,000948,南天信息,24.9,2.38,0.58,0.24,5.74,2.0,4.93,4.67亿,3.35亿,83.29亿,151.16
19,20,300479,神思电子,25.72,2.31,0.58,-0.19,13.37,2.08,8.43,6.86亿,1.97亿,50.68亿,--
20,21,603660,苏州科达,6.67,2.3,0.15,0.15,2.49,1.59,4.45,0.82亿,4.94亿,32.96亿,--
21,22,000888,峨眉山A,8.55,2.27,0.19,0.0,2.19,2.64,3.35,0.99亿,5.27亿,45.05亿,--
22,23,600198,大唐电信,7.22,2.27,0.16,0.42,0.78,1.5,2.41,0.49亿,8.80亿,63.57亿,--
23,24,600602,云赛智联,10.38,2.17,0.22,0.78,3.85,2.61,3.84,4.23亿,10.74亿,111.51亿,69.96
