,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,001339,智微智能,31.72,9.99,2.88,0.0,18.15,2.02,2.46,3.53亿,0.62亿,19.59亿,58.99
1,2,002261,拓维信息,9.2,7.73,0.66,3.72,10.47,1.92,8.78,10.20亿,11.16亿,102.67亿,84.25
2,3,603776,永安行,17.22,6.23,1.01,-0.17,5.34,4.34,11.85,2.10亿,2.32亿,39.99亿,31.13
3,4,300807,天迈科技,27.53,5.76,1.5,-0.22,10.19,4.97,11.56,1.35亿,0.49亿,13.39亿,--
4,5,301248,杰创智能,38.3,5.54,2.01,-0.18,28.7,1.35,9.15,2.58亿,0.24亿,9.19亿,60.64
5,6,002373,千方科技,12.12,5.39,0.62,-0.49,1.87,3.07,7.04,3.03亿,13.74亿,166.47亿,--
6,7,002415,海康威视,37.98,4.97,1.8,0.32,0.61,3.46,5.5,20.86亿,91.09亿,3459.51亿,30.17
7,8,603869,新智认知,10.48,4.8,0.48,0.0,2.37,2.8,6.8,1.24亿,5.05亿,52.92亿,120.10
8,9,000032,深桑达A,28.47,4.32,1.18,-1.18,5.87,2.56,12.53,10.62亿,6.45亿,183.56亿,--
9,10,002405,四维图新,13.51,3.84,0.5,0.22,2.3,1.97,5.53,6.98亿,22.98亿,310.45亿,--
10,11,002236,大华股份,13.95,3.18,0.43,-0.5,2.14,2.5,5.25,5.76亿,19.59亿,273.32亿,18.74
11,12,300075,数字政通,21.51,3.12,0.65,0.05,5.75,1.58,4.65,5.03亿,4.15亿,89.30亿,46.02
12,13,002279,久其软件,9.16,2.92,0.26,0.33,14.12,2.88,7.98,10.02亿,7.88亿,72.19亿,--
13,14,000938,紫光股份,26.1,2.67,0.68,0.46,1.82,1.48,5.74,13.28亿,28.60亿,746.48亿,34.14
14,15,300603,立昂技术,13.48,2.51,0.33,-0.3,13.76,1.15,9.05,4.68亿,2.53亿,34.14亿,77.81
15,16,300036,超图软件,21.18,2.12,0.44,-0.42,2.02,1.9,3.76,1.80亿,4.25亿,89.92亿,124.98
16,17,300101,振芯科技,28.9,2.08,0.59,-0.17,1.01,1.75,3.74,1.65亿,5.62亿,162.53亿,57.44
17,18,300766,每日互动,14.11,1.88,0.26,-0.14,6.3,1.76,4.76,3.02亿,3.43亿,48.35亿,202.31
18,19,000158,常山北明,6.58,1.86,0.12,0.15,1.48,1.74,3.56,1.52亿,15.81亿,104.05亿,--
19,20,002401,中远海科,17.54,1.86,0.32,-0.23,7.77,1.32,7.72,4.96亿,3.66亿,64.11亿,30.25
20,21,300212,易华录,27.12,1.84,0.49,-0.77,4.75,2.16,7.85,8.15亿,6.41亿,173.76亿,--
21,22,300167,迪威迅,5.83,1.75,0.1,-0.17,2.72,0.87,3.32,0.49亿,3.11亿,18.12亿,--
22,23,603660,苏州科达,6.63,1.69,0.11,-0.15,2.75,1.35,4.45,0.90亿,4.94亿,32.77亿,--
23,24,300353,东土科技,12.04,1.52,0.18,0.17,3.89,1.79,6.16,2.06亿,4.39亿,52.85亿,--
24,25,600166,福田汽车,3.52,1.44,0.05,0.0,0.57,0.96,2.59,1.33亿,65.75亿,231.45亿,87.74
25,26,002609,捷顺科技,9.9,1.43,0.14,-0.4,1.91,1.67,3.28,0.85亿,4.56亿,45.15亿,387.83
26,27,300366,创意信息,12.49,1.3,0.16,-0.32,6.87,1.57,5.11,4.18亿,4.96亿,61.91亿,--
27,28,002152,广电运通,11.18,1.27,0.14,0.27,1.15,2.03,2.81,3.16亿,24.82亿,277.50亿,31.21
28,29,002413,雷科防务,5.05,1.2,0.06,-0.2,1.08,1.29,1.6,0.67亿,12.33亿,62.27亿,--
29,30,603528,多伦科技,7.64,1.19,0.08,-0.26,0.6,1.34,2.91,0.29亿,6.24亿,47.75亿,81.57
30,31,600662,外服控股,6.3,1.12,0.07,0.0,0.36,0.75,1.77,0.24亿,10.53亿,66.36亿,24.53
31,32,001229,魅视科技,32.89,0.98,0.32,-0.03,7.28,1.49,2.73,0.60亿,0.25亿,8.22亿,42.48
32,33,600035,楚天高速,3.41,0.89,0.03,0.0,0.54,1.54,1.18,0.30亿,16.10亿,54.90亿,6.49
33,34,002232,启明信息,15.19,0.8,0.12,0.07,1.53,0.98,2.46,0.94亿,4.09亿,62.06亿,68.94
34,35,601727,上海电气,4.22,0.72,0.03,0.0,0.11,1.37,1.19,0.60亿,126.55亿,534.05亿,--
35,36,600990,四创电子,33.52,0.6,0.2,-0.15,0.56,1.1,1.86,0.38亿,2.07亿,69.36亿,--
36,37,003005,竞业达,44.01,0.55,0.24,-0.25,7.12,1.5,3.38,1.58亿,0.51亿,22.46亿,211.56
37,38,834415,恒拓开源,4.14,0.48,0.02,0.0,0.19,1.31,1.21,0.01亿,0.83亿,3.44亿,51.40
38,39,603220,中贝通信,12.45,0.4,0.05,0.0,0.55,1.03,1.37,0.23亿,3.34亿,41.56亿,46.84
39,40,603357,设计总院,9.98,0.4,0.04,0.1,0.28,0.92,0.5,0.13亿,4.55亿,45.36亿,10.46
40,41,300588,熙菱信息,11.4,0.35,0.04,-0.18,2.88,0.87,2.38,0.45亿,1.36亿,15.55亿,--
41,42,600611,大众交通,3.16,0.32,0.01,-0.32,0.36,1.29,0.95,0.18亿,15.63亿,49.40亿,--
42,43,002316,*ST亚联,3.54,0.28,0.01,-0.28,0.93,0.99,1.7,0.10亿,2.92亿,10.33亿,--
43,44,600510,黑牡丹,7.26,0.28,0.02,0.0,0.57,0.79,1.24,0.42亿,10.15亿,73.69亿,23.85
44,45,603018,华设集团,8.1,0.25,0.02,-0.12,0.33,1.0,0.74,0.18亿,6.69亿,54.16亿,11.96
45,46,002151,北斗星通,31.66,0.19,0.06,0.0,1.0,1.15,1.71,1.23亿,3.90亿,123.50亿,104.52
46,47,600728,佳都科技,6.5,0.15,0.01,0.15,1.03,0.88,1.7,1.16亿,17.37亿,112.93亿,--
47,48,603206,嘉环科技,16.93,0.12,0.02,-0.24,2.07,1.21,1.54,0.27亿,0.76亿,12.92亿,34.64
48,49,002528,英飞拓,10.74,0.09,0.01,0.09,4.86,1.15,4.38,5.40亿,10.46亿,112.39亿,--
49,50,000755,山西路桥,6.19,0.0,0.0,0.0,0.94,0.57,0.97,0.35亿,6.10亿,37.76亿,18.92
50,51,601777,力帆科技,4.30,0.00,0.00,0.00,0.26,1.22,1.40,0.25亿,22.50亿,96.77亿,96.81
51,52,601188,龙江交通,3.14,0.00,0.00,-0.32,0.14,0.61,0.95,0.06亿,13.16亿,41.32亿,19.33
52,53,300168,万达信息,10.20,0.00,0.00,-0.29,0.91,1.24,2.06,1.10亿,11.83亿,120.69亿,--
53,54,600289,ST信通,2.84,0.00,0.00,0.35,0.33,0.94,0.70,0.05亿,5.66亿,16.07亿,--
54,55,600260,*ST凯乐,--,--,--,--,--,--,--,--,9.95亿,4.68亿,--
55,56,300862,蓝盾光电,26.19,0.00,0.00,-0.04,0.31,0.67,0.99,0.07亿,0.86亿,22.49亿,79.36
56,57,002178,延华智能,4.88,0.00,0.00,-0.20,1.07,0.66,1.23,0.37亿,7.12亿,34.72亿,--
57,58,300448,浩云科技,5.69,0.00,0.00,-0.35,0.81,0.74,2.11,0.22亿,4.78亿,27.17亿,251.22
58,59,002990,盛视科技,35.98,-0.08,-0.03,-0.06,2.28,1.28,2.64,0.53亿,0.65亿,23.30亿,84.11
59,60,688485,九州一轨,18.33,-0.11,-0.02,-0.11,3.03,0.86,1.03,0.18亿,0.32亿,5.87亿,96.67
60,61,300020,银江技术,7.75,-0.13,-0.01,-0.13,1.68,1.11,1.42,0.81亿,6.27亿,48.61亿,47.67
61,62,301083,百胜智能,12.89,-0.15,-0.02,-0.08,1.44,0.82,0.93,0.10亿,0.53亿,6.79亿,37.18
62,63,300284,苏交科,5.99,-0.17,-0.01,0.17,0.58,1.12,0.83,0.30亿,8.71亿,52.16亿,20.26
63,64,300248,新开普,10.52,-0.19,-0.02,-0.19,1.52,0.62,2.09,0.64亿,4.05亿,42.58亿,--
64,65,000909,数源科技,9.98,-0.2,-0.02,-0.3,4.5,1.51,3.1,1.72亿,3.87亿,38.66亿,365.25
65,66,003013,地铁设计,17.37,-0.23,-0.04,0.12,1.13,0.71,0.8,0.12亿,0.60亿,10.46亿,20.16
66,67,300209,有棵树,6.17,-0.32,-0.02,0.0,1.66,0.99,1.78,0.40亿,3.90亿,24.07亿,--
67,68,600345,长江通信,18.46,-0.32,-0.06,-0.11,0.72,1.05,2.16,0.26亿,1.98亿,36.55亿,21.31
