,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300624,万兴科技,54.1,9.96,4.9,0.61,17.79,3.4,14.02,10.31亿,1.13亿,60.89亿,216.21
1,2,600050,中国联通,5.43,7.53,0.37,0.74,1.44,3.68,9.51,23.47亿,309.62亿,1681.26亿,18.96
2,3,002024,ST易购,2.3,5.02,0.11,0.0,0.67,9.04,4.57,1.21亿,78.83亿,181.32亿,--
3,4,600100,同方股份,5.88,3.34,0.19,-0.17,2.27,2.23,5.62,3.87亿,29.64亿,174.28亿,--
4,5,002705,新宝股份,19.11,2.96,0.55,-0.05,1.4,2.9,4.04,2.20亿,8.23亿,157.27亿,14.04
5,6,300352,北信源,5.44,2.06,0.11,0.0,4.92,1.74,6.57,3.23亿,12.03亿,65.45亿,972.67
6,7,002444,巨星科技,22.45,2.0,0.44,-0.05,0.73,1.4,2.18,1.88亿,11.56亿,259.43亿,16.03
7,8,600804,ST鹏博士,3.6,1.98,0.07,0.0,1.57,2.63,3.97,0.78亿,13.93亿,50.13亿,99.08
8,9,002236,大华股份,13.77,1.85,0.25,-0.15,1.07,1.68,3.03,2.85亿,19.59亿,269.79亿,18.50
9,10,000917,电广传媒,5.71,1.6,0.09,-0.18,0.73,2.06,2.13,0.59亿,14.17亿,80.93亿,72.58
10,11,002841,视源股份,70.5,1.6,1.11,-0.04,0.45,1.66,2.13,1.49亿,4.76亿,335.37亿,23.89
11,12,300433,蓝思科技,13.88,1.39,0.19,-0.14,0.42,0.95,2.26,2.89亿,49.61亿,688.53亿,68.18
12,13,603515,欧普照明,17.76,1.37,0.24,0.06,0.17,1.44,2.0,0.23亿,7.54亿,133.87亿,19.85
13,14,002818,富森美,13.14,1.31,0.17,0.0,0.7,2.47,2.7,0.28亿,2.98亿,39.20亿,12.18
14,15,600690,海尔智家,26.6,1.29,0.34,0.0,0.13,1.31,2.06,2.22亿,63.09亿,1678.08亿,16.16
15,16,688599,天合光能,64.85,1.03,0.66,0.45,0.42,0.96,3.07,3.65亿,13.29亿,861.84亿,44.00
16,17,002528,英飞拓,10.84,1.02,0.11,0.46,4.44,1.4,4.38,4.92亿,10.46亿,113.43亿,--
17,18,300074,华平股份,4.35,0.93,0.04,-0.23,1.33,1.67,2.55,0.30亿,5.31亿,23.08亿,--
18,19,000785,居然之家,4.36,0.93,0.04,0.0,0.2,1.26,2.08,0.23亿,27.51亿,119.94亿,13.91
19,20,002293,罗莱生活,12.11,0.92,0.11,-0.17,0.13,0.73,2.67,0.13亿,8.27亿,100.09亿,19.47
20,21,300866,安克创新,67.21,0.92,0.61,-0.1,0.67,0.97,2.39,0.67亿,1.51亿,101.65亿,24.68
21,22,000016,深康佳A,4.94,0.82,0.04,0.0,0.46,1.48,1.84,0.36亿,15.97亿,78.87亿,65.80
22,23,300247,融捷健康,4.06,0.74,0.03,0.25,1.47,1.9,2.48,0.47亿,8.03亿,32.61亿,17.72
23,24,603992,松霖科技,16.49,0.67,0.11,-0.12,0.21,2.02,2.93,0.14亿,4.01亿,66.13亿,21.68
24,25,603118,共进股份,9.62,0.63,0.06,0.1,0.48,1.08,1.36,0.36亿,7.82亿,75.22亿,16.28
25,26,000810,创维数字,16.36,0.61,0.1,0.0,1.06,1.15,2.58,1.93亿,11.17亿,182.79亿,19.96
26,27,603610,麒盛科技,13.68,0.59,0.08,-0.07,2.94,4.12,3.23,0.84亿,2.08亿,28.48亿,22.06
27,28,000333,美的集团,51.64,0.56,0.29,0.08,0.12,0.99,1.5,4.05亿,68.53亿,3538.93亿,11.07
28,29,600743,华远地产,1.85,0.54,0.01,0.0,0.31,1.39,1.09,0.13亿,23.46亿,43.40亿,--
29,30,300968,格林精密,9.24,0.43,0.04,0.0,1.38,1.74,1.3,0.22亿,1.73亿,16.00亿,31.63
30,31,002375,亚厦股份,4.89,0.41,0.02,0.0,0.36,1.05,1.23,0.24亿,13.31亿,65.09亿,21.30
31,32,300155,安居宝,5.3,0.38,0.02,0.0,0.59,1.17,1.89,0.10亿,3.30亿,17.50亿,298.90
32,33,000651,格力电器,34.67,0.38,0.13,0.0,0.14,1.05,0.78,2.72亿,55.87亿,1937.18亿,8.00
