,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300223,北京君正,86.18,6.79,5.48,0.17,3.27,2.89,7.52,11.28亿,4.10亿,353.49亿,42.54
1,2,300787,海能实业,34.06,6.17,1.98,-0.06,7.12,5.96,11.44,2.15亿,0.89亿,30.36亿,12.92
2,3,000063,中兴通讯,30.64,5.29,1.54,-0.07,1.89,3.25,7.01,22.60亿,39.80亿,1219.44亿,15.96
3,4,002137,实益达,8.13,2.52,0.2,0.0,7.25,2.11,4.92,2.27亿,3.91亿,31.75亿,23.32
4,5,002351,漫步者,10.26,2.09,0.21,0.1,2.37,2.18,3.48,1.19亿,4.92亿,50.47亿,39.84
5,6,002292,奥飞娱乐,5.56,2.02,0.11,-0.18,7.75,2.24,5.5,4.22亿,9.75亿,54.23亿,--
6,7,300562,乐心医疗,10.62,2.02,0.21,0.19,5.4,2.77,3.36,0.82亿,1.44亿,15.28亿,191.55
7,8,600198,大唐电信,7.2,1.98,0.14,0.0,1.05,1.54,3.12,0.66亿,8.80亿,63.39亿,--
8,9,300433,蓝思科技,13.93,1.75,0.24,0.14,0.6,1.0,3.0,4.11亿,49.61亿,691.01亿,68.43
9,10,002841,视源股份,70.52,1.63,1.13,-0.11,0.57,1.58,2.94,1.92亿,4.76亿,335.46亿,23.90
10,11,002861,瀛通通讯,12.66,1.44,0.18,-0.08,4.87,1.93,3.93,0.67亿,1.08亿,13.71亿,--
11,12,002432,九安医疗,51.72,1.0,0.51,0.08,1.17,1.33,1.62,2.89亿,4.81亿,249.01亿,1.16
12,13,300236,上海新阳,36.26,0.97,0.35,-0.11,1.38,1.82,3.68,1.56亿,3.10亿,112.42亿,611.03
13,14,002025,航天电器,62.15,0.97,0.6,-0.06,0.27,0.69,1.87,0.74亿,4.53亿,281.27亿,47.74
14,15,300246,宝莱特,15.71,0.83,0.13,0.06,1.2,1.48,1.28,0.26亿,1.39亿,21.78亿,202.87
15,16,300408,三环集团,33.85,0.8,0.27,-0.03,0.19,0.71,1.79,1.18亿,18.50亿,626.36亿,39.15
16,17,601360,三六零,11.29,0.8,0.09,-0.62,5.04,1.4,6.96,40.09亿,71.45亿,806.71亿,--
17,18,000050,深天马A,10.0,0.7,0.07,0.1,0.36,1.69,2.32,0.85亿,23.76亿,237.58亿,50.98
18,19,600460,士兰微,36.74,0.69,0.25,0.03,0.98,1.34,3.23,5.04亿,14.16亿,520.26亿,50.39
19,20,300968,格林精密,9.26,0.65,0.06,-0.11,1.52,1.42,1.3,0.24亿,1.73亿,16.03亿,31.70
20,21,002280,联络互动,3.20,0.63,0.02,0.00,1.14,1.44,2.20,0.69亿,18.89亿,60.44亿,--
21,22,000725,京东方A,4.28,0.47,0.02,0.00,0.87,1.41,1.88,13.65亿,364.69亿,1560.88亿,23.17
22,23,300005,探路者,7.81,0.39,0.03,-0.13,0.21,0.77,1.03,0.15亿,8.84亿,69.02亿,456.43
23,24,603203,快克股份,36.29,0.28,0.10,-0.22,0.18,0.64,1.71,0.17亿,2.47亿,89.61亿,30.73
24,25,300496,中科创达,100.16,0.26,0.26,0.07,1.06,1.02,1.98,3.53亿,3.35亿,335.11亿,53.77
25,26,000670,盈方微,8.92,0.23,0.02,0.00,3.83,1.01,2.92,2.07亿,6.10亿,54.40亿,1021.54
26,27,002369,卓翼科技,5.76,0.17,0.01,0.17,3.50,0.69,1.91,1.14亿,5.66亿,32.60亿,--
27,28,002036,联创电子,14.02,0.14,0.02,0.00,1.35,1.21,2.00,1.98亿,10.50亿,147.25亿,55.30
28,29,688049,炬芯科技,33.90,0.03,0.01,0.00,2.37,0.91,3.51,0.72亿,0.90亿,30.40亿,63.75
29,30,600260,*ST凯乐,--,--,--,--,--,--,--,--,9.95亿,4.68亿,--
30,31,000049,德赛电池,46.77,0.0,0.0,0.0,1.31,1.02,2.1,1.82亿,2.99亿,139.97亿,17.33
31,32,002217,合力泰,2.92,0.0,0.0,0.0,0.5,0.69,1.03,0.45亿,31.09亿,90.79亿,--
32,33,300169,天晟新材,4.91,0.0,0.0,0.2,0.36,0.61,1.02,0.05亿,3.02亿,14.82亿,--
33,34,300735,光弘科技,10.49,0.0,0.0,0.0,0.54,0.93,1.72,0.42亿,7.53亿,78.96亿,30.29
34,35,300088,长信科技,6.91,0.0,0.0,0.15,0.93,0.96,1.3,1.57亿,24.43亿,168.79亿,21.82
35,36,300709,精研科技,25.18,-0.04,-0.01,0.16,1.66,0.89,2.1,0.62亿,1.49亿,37.49亿,23.25
36,37,300136,信维通信,19.06,-0.05,-0.01,0.0,1.09,0.81,1.78,1.71亿,8.24亿,156.97亿,23.00
37,38,300793,佳禾智能,17.82,-0.06,-0.01,0.23,0.87,0.7,1.35,0.51亿,3.30亿,58.78亿,29.21
38,39,000026,飞亚达,11.71,-0.09,-0.01,0.09,1.14,0.62,0.94,0.48亿,3.63亿,42.50亿,15.96
39,40,002579,中京电子,12.89,-0.15,-0.02,-0.08,4.44,0.88,3.18,3.33亿,5.82亿,75.03亿,--
40,41,300032,金龙机电,5.7,-0.17,-0.01,0.18,0.32,0.65,1.4,0.15亿,8.03亿,45.78亿,135.61
41,42,603160,汇顶科技,57.96,-0.19,-0.11,-0.07,0.59,0.97,1.98,1.57亿,4.58亿,265.45亿,--
42,43,600734,ST实达,4.63,-0.22,-0.01,0.0,0.12,0.96,1.51,0.11亿,20.91亿,96.81亿,--
43,44,002241,歌尔股份,23.04,-0.26,-0.06,0.04,1.99,0.75,1.73,13.75亿,30.08亿,693.08亿,15.39
44,45,300256,ST星星,3.08,-0.32,-0.01,0.33,0.54,0.87,0.97,0.25亿,14.93亿,45.99亿,5.99
45,46,002426,胜利精密,2.78,-0.36,-0.01,0.0,0.62,0.57,0.72,0.55亿,31.51亿,87.59亿,150.33
46,47,002635,安洁科技,14.8,-0.4,-0.06,0.2,1.41,1.17,1.88,0.85亿,4.12亿,60.93亿,33.21
47,48,300327,中颖电子,41.96,-0.47,-0.2,-0.1,1.03,1.06,2.87,1.47亿,3.38亿,141.97亿,34.66
48,49,300083,创世纪,9.09,-0.55,-0.05,0.11,1.3,1.19,1.31,1.59亿,13.54亿,123.04亿,25.91
49,50,002273,水晶光电,13.49,-0.59,-0.08,0.0,0.79,0.88,1.1,1.43亿,13.52亿,182.45亿,29.30
50,51,002156,通富微电,22.59,-0.66,-0.15,0.09,4.26,0.97,3.08,12.90亿,13.29亿,300.19亿,53.78
51,52,300115,长盈精密,13.16,-0.68,-0.09,0.0,0.95,1.11,2.26,1.49亿,11.96亿,157.44亿,--
52,53,002981,朝阳科技,28.48,-0.77,-0.22,0.07,1.84,0.62,1.95,0.13亿,0.24亿,6.84亿,50.70
53,54,300007,汉威科技,20.22,-0.83,-0.17,-0.1,1.86,0.67,1.42,1.06亿,2.82亿,57.10亿,21.50
54,55,002387,维信诺,6.96,-0.85,-0.06,0.0,0.4,0.79,2.28,0.38亿,13.72亿,95.46亿,--
55,56,600584,长电科技,29.02,-0.92,-0.27,0.14,1.05,0.78,1.71,5.43亿,17.80亿,516.43亿,15.79
56,57,002655,共达电声,13.22,-0.97,-0.13,0.0,1.02,1.2,1.8,0.49亿,3.60亿,47.58亿,55.52
57,58,002079,苏州固锝,15.86,-1.0,-0.16,-0.06,3.33,0.84,2.25,4.20亿,7.98亿,126.61亿,48.58
58,59,601231,环旭电子,16.8,-1.06,-0.18,0.0,0.27,0.89,2.12,0.98亿,21.81亿,366.39亿,12.12
59,60,002681,奋达科技,4.23,-1.17,-0.05,0.0,1.56,0.81,1.64,0.84亿,12.69亿,53.68亿,41.93
60,61,300493,润欣科技,7.39,-1.47,-0.11,0.14,1.12,0.93,1.2,0.41亿,4.99亿,36.85亿,58.98
61,62,300538,同益股份,12.85,-1.61,-0.21,0.0,0.93,1.06,2.3,0.13亿,1.12亿,14.35亿,164.08
62,63,002845,同兴达,17.84,-1.65,-0.3,0.0,3.68,0.72,2.26,1.47亿,2.24亿,39.90亿,89.94
63,64,002230,科大讯飞,49.91,-1.73,-0.88,-0.02,2.16,0.9,1.67,23.72亿,22.00亿,1097.78亿,206.99
