,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,001339,智微智能,31.72,9.99,2.88,0.0,18.08,2.75,2.46,3.52亿,0.62亿,19.59亿,58.99
1,2,301236,软通动力,42.5,6.3,2.52,1.31,8.77,4.26,5.48,2.97亿,0.82亿,34.84亿,30.12
2,3,603966,法兰泰克,15.45,6.11,0.89,0.39,4.11,2.86,9.07,1.87亿,3.00亿,46.40亿,22.13
3,4,603776,永安行,17.15,5.8,0.94,-0.12,4.84,5.37,11.85,1.90亿,2.32亿,39.83亿,31.00
4,5,002903,宇环数控,25.5,4.72,1.15,-0.04,8.48,2.67,6.53,2.03亿,0.95亿,24.20亿,55.05
5,6,002415,海康威视,37.8,4.48,1.62,0.51,0.38,2.96,4.62,12.96亿,91.09亿,3443.11亿,30.03
6,7,300058,蓝色光标,6.26,3.99,0.24,0.0,5.55,2.99,6.64,8.08亿,23.19亿,145.17亿,385.03
7,8,300033,同花顺,128.18,3.37,4.18,-0.24,1.4,2.67,6.47,4.85亿,2.72亿,348.07亿,58.57
8,9,600100,同方股份,5.88,3.34,0.19,-0.17,2.24,2.25,5.62,3.82亿,29.64亿,174.28亿,--
9,10,605186,健麾信息,32.69,3.32,1.05,-0.03,3.42,2.4,4.49,0.74亿,0.67亿,21.78亿,38.92
10,11,688626,翔宇医疗,40.58,3.18,1.25,0.05,1.93,2.1,3.58,0.39亿,0.51亿,20.66亿,53.58
11,12,002406,远东传动,5.74,2.87,0.16,0.0,6.16,2.53,8.06,1.75亿,4.96亿,28.48亿,52.25
12,13,300316,晶盛机电,69.02,2.85,1.91,0.1,0.36,2.34,4.28,3.05亿,12.31亿,849.46亿,33.73
13,14,002261,拓维信息,8.77,2.69,0.23,0.11,7.94,1.99,4.68,7.69亿,11.16亿,97.87亿,80.31
14,15,002292,奥飞娱乐,5.59,2.57,0.14,0.36,7.3,2.91,5.5,3.97亿,9.75亿,54.52亿,--
15,16,300479,神思电子,25.78,2.55,0.64,-0.66,13.21,2.15,8.43,6.78亿,1.97亿,50.80亿,--
16,17,603611,诺力股份,18.98,2.54,0.47,-0.05,0.94,2.26,3.73,0.47亿,2.67亿,50.71亿,13.06
17,18,002502,鼎龙文化,3.9,2.36,0.09,0.0,3.69,3.45,4.46,1.20亿,8.33亿,32.49亿,--
18,19,002975,博杰股份,41.25,2.26,0.91,0.12,1.72,2.6,4.81,0.45亿,0.64亿,26.37亿,26.58
19,20,300173,福能东方,5.06,2.02,0.1,-0.2,1.68,2.88,3.02,0.60亿,7.08亿,35.84亿,437.00
20,21,002444,巨星科技,22.45,2.0,0.44,0.09,0.72,1.43,2.18,1.87亿,11.56亿,259.43亿,16.03
21,22,300031,宝通科技,16.48,1.98,0.32,0.06,5.66,3.41,4.33,3.23亿,3.45亿,56.89亿,50.52
22,23,300353,东土科技,12.08,1.85,0.22,-0.17,3.53,2.22,6.16,1.87亿,4.39亿,53.02亿,--
23,24,002889,东方嘉盛,25.07,1.83,0.45,-0.08,1.06,1.9,3.17,0.24亿,0.90亿,22.52亿,17.04
24,25,002587,奥拓电子,6.71,1.82,0.12,0.15,9.17,1.93,5.77,3.18亿,5.09亿,34.15亿,137.84
25,26,002236,大华股份,13.76,1.77,0.24,0.0,1.03,1.65,3.03,2.75亿,19.59亿,269.59亿,18.49
26,27,300047,天源迪科,8.29,1.72,0.14,0.0,9.55,1.53,6.87,4.22亿,5.35亿,44.36亿,93.05
27,28,002576,通达动力,21.46,1.47,0.31,-0.14,12.05,2.74,6.43,4.16亿,1.62亿,34.74亿,54.58
28,29,688580,伟思医疗,70.65,1.44,1.0,-0.03,1.01,1.13,3.1,0.18亿,0.25亿,17.50亿,58.49
29,30,600776,东方通信,10.67,1.43,0.15,-0.19,0.65,1.55,2.57,0.65亿,9.56亿,102.00亿,149.91
30,31,300433,蓝思科技,13.87,1.31,0.18,0.22,0.41,0.95,2.26,2.83亿,49.61亿,688.03亿,68.13
31,32,600843,上工申贝,5.49,1.29,0.07,0.0,0.69,2.49,2.03,0.18亿,4.69亿,25.76亿,32.99
32,33,300222,科大智能,8.0,1.27,0.1,0.25,3.07,2.71,3.17,1.55亿,6.26亿,50.11亿,--
33,34,600968,海油发展,3.27,1.24,0.04,0.0,0.17,1.36,1.86,0.55亿,101.65亿,332.40亿,13.54
34,35,002421,达实智能,4.1,1.24,0.05,0.24,1.27,1.29,2.22,0.92亿,17.80亿,73.00亿,37.57
35,36,688088,虹软科技,29.15,1.22,0.35,0.24,0.71,1.44,2.5,0.83亿,4.06亿,118.35亿,166.64
36,37,688590,新致软件,12.51,1.21,0.15,0.08,3.1,1.54,3.32,0.62亿,1.61亿,20.13亿,128.20
37,38,600730,中国高科,6.84,1.18,0.08,0.0,1.04,1.51,1.92,0.42亿,5.87亿,40.13亿,352.12
38,39,600690,海尔智家,26.57,1.18,0.31,0.08,0.13,1.33,2.06,2.20亿,63.09亿,1676.18亿,16.14
39,40,300678,中科信息,21.95,1.15,0.25,-0.23,5.97,1.52,3.69,1.63亿,1.25亿,27.41亿,154.65
40,41,600775,南京熊猫,11.14,1.09,0.12,0.18,0.4,0.8,1.91,0.30亿,6.72亿,74.84亿,1828.30
41,42,688277,天智航,15.02,1.08,0.16,0.13,0.71,1.13,1.82,0.32亿,2.96亿,44.41亿,--
42,43,300124,汇川技术,74.39,1.07,0.79,-0.09,0.12,0.69,2.23,2.00亿,23.08亿,1716.56亿,48.08
43,44,600560,金自天正,12.37,1.06,0.13,-0.16,2.08,1.85,4.41,0.57亿,2.24亿,27.66亿,54.56
44,45,300813,泰林生物,46.1,1.05,0.48,0.0,2.39,1.93,2.1,0.50亿,0.45亿,20.70亿,60.84
45,46,301330,熵基科技,41.7,1.04,0.43,0.26,5.76,1.07,3.51,0.80亿,0.33亿,13.87亿,34.61
46,47,002933,新兴装备,29.27,1.04,0.3,0.1,4.94,2.59,5.0,0.98亿,0.67亿,19.68亿,--
47,48,603416,信捷电气,52.82,0.97,0.51,-0.17,0.63,1.32,2.35,0.46亿,1.41亿,74.24亿,33.98
48,49,002008,大族激光,30.72,0.95,0.29,-0.1,1.8,1.71,2.76,5.44亿,9.79亿,300.81亿,23.92
49,50,603728,鸣志电器,46.91,0.95,0.44,0.11,0.91,1.35,4.07,1.80亿,4.18亿,195.92亿,92.37
50,51,600565,迪马股份,2.14,0.94,0.02,0.47,0.93,3.16,1.42,0.49亿,24.92亿,53.32亿,20.24
