,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,301073,君亭酒店,71.45,5.52,3.74,-0.47,4.82,1.39,7.19,1.43亿,0.42亿,30.08亿,267.98
1,2,002415,海康威视,37.98,4.97,1.8,0.32,0.61,3.46,5.5,20.86亿,91.09亿,3459.51亿,30.17
2,3,600941,中国移动,79.57,4.7,3.57,-0.35,2.02,4.44,8.45,12.05亿,7.59亿,603.48亿,12.94
3,4,301066,万事利,13.65,3.57,0.47,1.64,3.51,1.25,4.02,0.34亿,0.72亿,9.83亿,128.25
4,5,600987,航民股份,8.71,3.44,0.29,-0.12,1.06,1.36,4.39,0.89亿,9.69亿,84.44亿,15.45
5,6,002236,大华股份,13.95,3.18,0.43,-0.5,2.14,2.5,5.25,5.76亿,19.59亿,273.32亿,18.74
6,7,600126,杭钢股份,4.82,2.34,0.11,-0.41,0.53,1.83,3.19,0.86亿,33.77亿,162.78亿,24.6
7,8,601108,财通证券,7.84,1.95,0.15,0.0,0.71,2.3,2.6,2.57亿,46.44亿,364.07亿,25.3
8,9,603359,东珠生态,11.3,1.89,0.21,-0.09,1.58,2.64,3.52,0.80亿,4.46亿,50.41亿,19.79
9,10,003030,祖名股份,27.18,1.72,0.46,-0.04,1.83,2.09,2.13,0.25亿,0.50亿,13.68亿,68.27
10,11,600633,浙数文化,9.74,1.46,0.14,-0.31,2.3,1.75,3.54,2.82亿,12.66亿,123.28亿,25.77
11,12,600986,浙文互联,5.88,1.38,0.07,0.0,3.53,1.85,4.47,2.74亿,13.22亿,77.89亿,46.60
12,13,300860,锋尚文化,57.5,1.32,0.75,0.02,2.52,1.5,3.4,0.61亿,0.42亿,24.12亿,121.62
13,14,300651,金陵体育,24.37,1.29,0.31,-0.08,1.62,1.81,1.95,0.30亿,0.76亿,18.48亿,103.42
14,15,600704,物产中大,4.85,1.25,0.06,0.0,0.36,1.4,1.46,0.89亿,50.62亿,245.52亿,5.88
15,16,000156,华数传媒,8.22,1.23,0.1,0.0,0.39,1.5,2.34,0.50亿,15.65亿,128.65亿,19.22
16,17,600158,中体产业,9.19,1.21,0.11,-0.11,1.92,1.85,2.31,1.27亿,7.22亿,66.36亿,--
17,18,600576,祥源文旅,7.66,1.19,0.09,0.13,1.01,0.9,2.91,0.48亿,6.19亿,47.45亿,722.68
18,19,000607,华媒控股,6.04,1.17,0.07,-0.17,7.3,2.11,4.69,3.91亿,8.85亿,53.45亿,83.25
19,20,603466,风语筑,16.26,0.99,0.16,-0.12,3.5,1.52,3.23,3.40亿,5.96亿,96.97亿,590.92
20,21,002638,勤上股份,2.53,0.8,0.02,0.8,0.92,0.67,1.2,0.23亿,9.96亿,25.20亿,35.96
21,22,002822,中装建设,5.08,0.79,0.04,0.2,0.88,0.63,1.79,0.29亿,6.51亿,33.06亿,--
22,23,603258,电魂网络,26.99,0.75,0.2,-0.07,0.88,1.53,3.36,0.58亿,2.45亿,66.06亿,25.48
23,24,002244,滨江集团,10.23,0.69,0.07,0.1,0.5,1.12,2.46,1.37亿,26.82亿,274.40亿,11.61
24,25,300645,正元智慧,29.74,0.68,0.2,-0.07,0.96,1.77,3.28,0.39亿,1.38亿,41.02亿,104.94
25,26,300426,唐德影视,7.6,0.66,0.05,-0.13,0.38,0.97,1.59,0.11亿,3.97亿,30.17亿,--
26,27,603825,华扬联众,15.84,0.64,0.1,0.06,2.91,1.25,2.1,1.17亿,2.53亿,40.13亿,47.59
27,28,300296,利亚德,6.44,0.62,0.04,0.0,0.65,1.07,1.25,0.86亿,20.72亿,133.42亿,28.28
28,29,002375,亚厦股份,4.9,0.62,0.03,0.2,0.44,0.95,1.23,0.28亿,13.31亿,65.22亿,21.34
29,30,600814,杭州解百,7.51,0.54,0.04,0.0,0.25,0.73,1.07,0.14亿,7.15亿,53.70亿,17.73
30,31,002062,宏润建设,5.77,0.52,0.03,0.0,0.74,0.54,1.04,0.41亿,9.66亿,55.75亿,20.32
31,32,002061,浙江交科,5.96,0.51,0.03,0.0,0.83,1.06,1.01,0.92亿,18.57亿,110.65亿,8.34
32,33,002081,金螳螂,5.51,0.36,0.02,0.0,0.2,0.52,0.91,0.30亿,26.36亿,145.24亿,9.13
33,34,601579,会稽山,13.37,0.23,0.03,0.0,1.45,0.84,2.02,0.96亿,4.97亿,66.50亿,50.1
34,35,300232,洲明科技,6.28,0.16,0.01,0.16,0.42,0.8,1.12,0.23亿,8.76亿,54.98亿,20.3
35,36,600477,杭萧钢构,5.8,0.0,0.0,0.35,1.16,0.61,2.07,1.60亿,23.69亿,137.40亿,44.88
36,37,600496,精工钢构,4.22,0.0,0.0,0.0,0.48,0.92,0.95,0.41亿,20.13亿,84.94亿,9.74
37,38,002508,老板电器,29.74,-0.03,-0.01,0.1,0.25,0.53,0.87,0.70亿,9.37亿,278.65亿,17.16
38,39,002878,元隆雅图,18.22,-0.11,-0.02,0.0,5.85,2.3,5.21,2.09亿,1.93亿,35.23亿,17.24
39,40,300020,银江技术,7.75,-0.13,-0.01,-0.13,1.68,1.11,1.42,0.81亿,6.27亿,48.61亿,47.67
40,41,002761,浙江建投,22.3,-0.13,-0.03,-0.09,0.92,0.67,0.98,1.02亿,4.93亿,109.85亿,17.48
41,42,002135,东南网架,6.86,-0.15,-0.01,0.0,0.39,0.85,0.58,0.29亿,10.94亿,75.04亿,15.93
42,43,000909,数源科技,9.98,-0.2,-0.02,-0.3,4.5,1.51,3.1,1.72亿,3.87亿,38.66亿,365.25
43,44,603779,威龙股份,7.77,-0.26,-0.02,-0.13,1.65,0.85,2.05,0.43亿,3.33亿,25.85亿,498.69
44,45,300244,迪安诊断,26.9,-0.26,-0.07,-0.04,0.44,0.69,0.63,0.59亿,5.03亿,135.31亿,5.21
45,46,603081,大丰实业,14.88,-0.34,-0.05,0.0,0.51,0.51,2.01,0.31亿,4.04亿,60.11亿,19.67
46,47,603551,奥普家居,11.64,-0.34,-0.04,0.09,0.16,0.51,1.46,0.07亿,4.02亿,46.76亿,21.51
47,48,000727,冠捷科技,2.24,-0.44,-0.01,0.0,0.69,1.03,1.78,0.53亿,34.19亿,76.59亿,--
48,49,300025,华星创业,6.02,-0.5,-0.03,-0.17,1.02,0.67,1.49,0.26亿,4.29亿,25.80亿,200.44
49,50,301043,绿岛风,25.95,-0.5,-0.13,-0.12,0.87,0.49,0.88,0.04亿,0.18亿,4.67亿,36.85
50,51,605318,法狮龙,15.17,-0.53,-0.08,0.0,0.84,0.71,1.11,0.05亿,0.39亿,5.94亿,92.28
51,52,300746,汉嘉设计,10.01,-0.6,-0.06,0.0,0.3,0.72,1.59,0.07亿,2.21亿,22.14亿,45.74
52,53,605499,东鹏饮料,205.84,-0.62,-1.28,-0.18,0.25,0.33,2.03,0.40亿,0.76亿,156.46亿,52.98
53,54,600059,古越龙山,10.85,-0.64,-0.07,-0.37,1.21,0.63,1.65,1.20亿,9.12亿,98.90亿,56.85
54,55,300945,曼卡龙,14.8,-0.67,-0.1,0.0,1.75,0.54,1.61,0.20亿,0.77亿,11.35亿,55.82
55,56,300649,杭州园林,20.32,-0.68,-0.14,-0.25,1.17,0.96,2.54,0.25亿,1.03亿,20.98亿,53.13
56,57,002918,蒙娜丽莎,19.4,-0.77,-0.15,0.0,1.26,0.92,3.07,0.54亿,2.19亿,42.58亿,--
57,58,300632,光莆股份,14.04,-0.78,-0.11,-0.07,1.22,0.76,2.19,0.35亿,2.05亿,28.78亿,27.93
58,59,688023,安恒信息,171.55,-0.84,-1.45,0.08,1.16,1.25,3.64,1.41亿,0.71亿,122.34亿,--
59,60,001216,华瓷股份,15.18,-0.85,-0.13,0.07,1.63,0.96,1.89,0.16亿,0.63亿,9.56亿,18.20
60,61,300162,雷曼光电,7.58,-0.92,-0.07,-0.13,1.17,0.95,1.57,0.23亿,2.64亿,20.04亿,47.58
61,62,603316,诚邦股份,6.36,-0.94,-0.06,-0.16,0.92,0.87,1.87,0.16亿,2.64亿,16.81亿,143.26
62,63,301218,华是科技,24.83,-1.16,-0.29,-0.2,9.11,1.09,2.91,0.65亿,0.29亿,7.08亿,383.07
63,64,600160,巨化股份,17.78,-1.5,-0.27,-0.22,0.83,0.93,2.66,4.01亿,27.00亿,480.01亿,21.19
64,65,002721,金一文化,3.5,-1.69,-0.06,0.0,0.99,0.54,1.97,0.33亿,9.60亿,33.60亿,--
65,66,002686,亿利达,7.34,-2.26,-0.17,-0.14,6.21,1.51,3.86,1.80亿,3.92亿,28.75亿,57.58
66,67,301082,久盛电气,19.27,-3.12,-0.62,-0.1,6.93,1.35,3.32,0.83亿,0.62亿,11.97亿,37.24
67,68,000925,众合科技,8.68,-3.12,-0.28,0.0,6.25,1.1,2.9,2.99亿,5.47亿,47.51亿,82.08
68,69,300360,炬华科技,17.34,-18.44,-3.92,-0.35,16.68,6.89,13.08,13.15亿,4.36亿,75.59亿,22.25
