,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300798,锦鸡股份,7.27,2.25,0.16,0.0,0.93,3.25,3.66,0.28亿,4.18亿,30.37亿,120.69
1,2,603980,吉华集团,5.05,1.41,0.07,-0.2,0.37,1.62,2.21,0.13亿,7.00亿,35.35亿,--
2,3,002099,海翔药业,7.35,1.1,0.08,0.14,0.19,1.1,1.1,0.23亿,16.10亿,118.31亿,43.08
3,4,002440,闰土股份,7.74,0.65,0.05,0.26,0.21,0.73,0.78,0.16亿,9.63亿,74.53亿,12.14
4,5,603188,亚邦股份,3.98,0.51,0.02,0.0,0.3,1.05,1.51,0.07亿,5.70亿,22.69亿,--
5,6,300107,建新股份,5.78,0.35,0.02,-0.17,1.14,1.58,1.39,0.22亿,3.37亿,19.51亿,49.13
6,7,600352,浙江龙盛,10.14,0.3,0.03,0.0,0.23,0.59,0.79,0.77亿,32.53亿,329.89亿,14.34
7,8,300758,七彩化学,13.77,-0.14,-0.02,0.0,2.52,0.82,2.39,1.10亿,3.16亿,43.55亿,183.53
8,9,603790,雅运股份,11.89,-0.34,-0.04,0.0,0.29,0.75,2.68,0.07亿,1.91亿,22.75亿,29.08
9,10,002513,蓝丰生化,5.71,-0.52,-0.03,0.18,0.7,0.92,1.92,0.13亿,3.14亿,17.95亿,2377.85
10,11,300067,安诺其,3.37,-0.59,-0.02,-0.3,0.45,0.54,0.89,0.12亿,7.73亿,26.06亿,66.21
11,12,002748,世龙实业,13.17,-0.68,-0.09,-0.23,2.63,0.64,3.02,0.84亿,2.40亿,31.61亿,18.54
12,13,301036,双乐股份,18.5,-0.8,-0.15,-0.05,1.2,1.53,1.5,0.10亿,0.47亿,8.62亿,82.67
13,14,605566,福莱蒽特,26.13,-2.1,-0.56,-0.04,1.81,1.06,3.33,0.30亿,0.62亿,16.28亿,35.04
