,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,601990,南京证券,9.52,10.06,0.87,0.21,5.86,13.81,10.64,19.83亿,36.20亿,344.62亿,49.14
1,2,002168,惠程科技,5.15,10.04,0.47,0.0,19.11,9.13,9.83,7.54亿,7.94亿,40.90亿,--
2,3,000735,罗牛山,8.13,10.01,0.74,0.0,4.89,6.58,9.61,4.43亿,11.51亿,93.57亿,1180.63
3,4,002131,利欧股份,2.18,9.55,0.19,0.46,8.53,4.33,10.55,10.54亿,58.35亿,127.19亿,--
4,5,002555,三七互娱,24.04,7.75,1.73,0.38,2.86,4.43,7.08,10.98亿,16.36亿,393.18亿,17.72
5,6,600066,宇通客车,9.18,7.75,0.66,0.11,2.79,8.36,9.27,5.62亿,22.14亿,203.24亿,116.53
6,7,600536,中国软件,80.88,7.68,5.77,-0.79,5.64,3.93,11.88,28.35亿,6.43亿,520.00亿,--
7,8,601799,星宇股份,144.89,7.52,10.13,0.41,0.84,5.08,7.87,3.41亿,2.86亿,413.92亿,41.17
8,9,000977,浪潮信息,39.81,6.7,2.5,1.07,11.36,2.29,5.84,64.60亿,14.62亿,581.97亿,28.27
9,10,002517,恺英网络,8.99,6.64,0.56,0.11,3.46,3.78,8.54,5.85亿,19.07亿,171.42亿,15.88
10,11,600050,中国联通,5.37,6.34,0.32,-0.37,1.52,3.5,9.51,24.85亿,309.62亿,1662.68亿,18.75
11,12,000999,华润三九,52.95,6.3,3.14,0.32,0.97,3.65,6.49,4.93亿,9.78亿,518.06亿,20.10
12,13,002727,一心堂,33.31,6.15,1.93,0.27,6.67,13.7,4.43,9.07亿,3.98亿,132.68亿,21.98
13,14,002368,太极股份,40.97,6.0,2.32,-0.8,3.47,2.44,11.56,8.14亿,5.88亿,240.79亿,154.80
14,15,603939,益丰药房,60.04,5.54,3.15,0.76,2.17,9.26,5.7,9.66亿,7.19亿,431.45亿,39.46
15,16,000063,中兴通讯,30.66,5.36,1.56,0.23,1.61,3.35,6.77,19.17亿,39.80亿,1220.23亿,15.97
16,17,000028,国药一致,37.43,5.14,1.83,0.0,1.65,6.19,5.84,2.29亿,3.68亿,137.64亿,11.47
17,18,600557,康缘药业,26.09,5.12,1.27,0.35,2.24,2.97,10.31,3.41亿,5.76亿,150.39亿,40.66
18,19,002603,以岭药业,30.83,5.04,1.48,0.29,7.48,5.85,7.43,31.33亿,13.76亿,424.22亿,27.31
19,20,002024,ST易购,2.3,5.02,0.11,0.0,0.68,8.17,4.57,1.22亿,78.83亿,181.32亿,--
20,21,002320,海峡股份,6.13,4.79,0.28,-0.16,0.86,4.17,6.15,1.16亿,22.29亿,136.63亿,92.57
21,22,000560,我爱我家,3.3,4.76,0.15,0.3,3.67,2.26,6.67,2.69亿,22.50亿,74.24亿,--
22,23,601858,中国科传,14.13,4.74,0.64,0.21,3.92,1.63,8.38,4.32亿,7.91亿,111.70亿,29.87
23,24,002100,天康生物,9.13,4.58,0.4,-0.11,2.73,3.22,5.84,3.32亿,13.54亿,123.65亿,35.95
24,25,002439,启明星辰,31.04,4.55,1.35,0.52,1.17,1.78,6.57,2.55亿,7.24亿,224.86亿,--
25,26,603883,老百姓,40.09,4.43,1.7,-0.52,1.91,8.35,5.73,4.58亿,5.82亿,233.46亿,28.85
26,27,000042,中洲控股,8.98,4.42,0.38,0.0,2.46,6.33,7.91,1.46亿,6.64亿,59.62亿,15.48
27,28,603444,吉比特,387.55,4.25,15.8,-0.05,0.99,3.75,5.79,2.74亿,0.72亿,278.52亿,20.65
28,29,603233,大参林,38.3,4.22,1.55,0.24,1.67,6.19,6.01,6.23亿,9.48亿,362.99亿,29.53
29,30,002670,国盛金控,9.39,4.1,0.37,-0.53,4.5,5.09,6.99,6.87亿,16.23亿,152.43亿,--
30,31,002415,海康威视,37.65,4.06,1.47,-0.27,0.48,3.27,5.06,16.34亿,91.09亿,3429.45亿,29.91
31,32,600845,宝信软件,51.8,3.95,1.97,0.14,0.38,2.46,4.92,2.78亿,14.37亿,744.61亿,50.20
32,33,002624,完美世界,15.21,3.89,0.57,0.4,3.03,3.44,4.51,8.35亿,18.27亿,277.94亿,15.35
33,34,002373,千方科技,11.94,3.83,0.44,0.0,1.51,3.0,5.22,2.45亿,13.74亿,164.00亿,--
34,35,002488,金固股份,7.43,3.77,0.27,-0.13,4.08,5.89,10.2,2.78亿,9.10亿,67.62亿,6.18
35,36,603165,荣晟环保,12.65,3.69,0.45,-0.16,2.42,5.36,7.46,0.86亿,2.78亿,35.22亿,19.56
36,37,002384,东山精密,32.21,3.6,1.12,0.41,1.22,1.83,6.05,5.45亿,13.90亿,447.81亿,26.13
37,38,600559,老白干酒,37.95,3.52,1.29,-0.47,2.88,1.47,5.87,9.67亿,8.97亿,340.52亿,48.81
38,39,002010,传化智联,6.23,3.49,0.21,-0.16,2.07,5.76,5.98,3.48亿,27.00亿,168.18亿,21.63
39,40,600282,南钢股份,3.94,3.41,0.13,0.25,1.34,1.01,4.99,2.35亿,44.67亿,176.00亿,8.77
40,41,601111,中国国航,11.0,3.38,0.36,-0.27,0.6,2.12,4.04,6.56亿,99.62亿,1095.83亿,--
41,42,600987,航民股份,8.7,3.33,0.28,0.12,1.01,1.55,4.39,0.85亿,9.69亿,84.34亿,15.43
42,43,603121,华培动力,8.09,3.32,0.26,0.12,1.57,3.86,4.72,0.43亿,3.39亿,27.39亿,188.19
43,44,600993,马应龙,25.59,3.31,0.82,0.08,1.18,2.13,3.19,1.28亿,4.30亿,110.12亿,19.88
44,45,603368,柳药集团,21.87,3.31,0.7,0.18,1.7,2.57,5.48,1.35亿,3.62亿,79.22亿,10.33
45,46,600572,康恩贝,5.02,3.29,0.16,0.2,1.55,3.69,3.29,1.98亿,25.63亿,128.68亿,42.19
46,47,603596,伯特利,76.94,3.29,2.45,-0.01,1.35,2.26,5.32,4.23亿,4.10亿,315.48亿,49.70
