,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,603307,扬州金泉,44.7,44.01,13.66,0.0,3.26,0.0,24.0,0.24亿,0.17亿,7.49亿,10.69
1,2,001260,坤泰股份,20.55,44.01,6.28,0.0,2.45,0.0,24.04,0.14亿,0.29亿,5.91亿,38.23
2,3,001314,亿道信息,60.98,9.99,5.54,0.0,58.94,57.61,5.38,12.40亿,0.35亿,21.41亿,37.57
3,4,001339,智微智能,31.72,9.99,2.88,0.0,18.11,2.47,2.46,3.52亿,0.62亿,19.59亿,58.99
4,5,603173,福斯达,32.1,6.29,1.9,0.44,25.08,3.27,4.5,3.20亿,0.40亿,12.84亿,34.41
5,6,601059,信达证券,19.31,2.71,0.51,-0.1,22.76,1.49,5.75,14.20亿,3.24亿,62.62亿,64.89
6,7,001255,博菲电气,50.35,2.3,1.13,-0.49,21.9,1.22,7.11,2.21亿,0.20亿,10.07亿,54.03
7,8,001316,润贝航科,40.78,1.19,0.48,0.15,5.75,3.11,3.55,0.47亿,0.20亿,8.16亿,40.77
8,9,001236,弘业期货,17.06,1.13,0.19,-0.12,11.23,1.5,2.49,1.93亿,1.01亿,17.19亿,447.16
9,10,601136,首创证券,17.44,1.04,0.18,0.06,7.68,1.29,3.07,3.66亿,2.73亿,47.67亿,79.53
10,11,601022,宁波远洋,13.35,0.91,0.12,0.0,3.79,0.8,1.89,0.66亿,1.31亿,17.47亿,24.13
11,12,001229,魅视科技,32.85,0.86,0.28,0.43,5.77,1.44,2.73,0.47亿,0.25亿,8.21亿,42.43
12,13,603151,邦基科技,22.12,0.82,0.18,0.55,3.29,0.97,3.1,0.31亿,0.42亿,9.29亿,32.15
13,14,001330,博纳影业,10.5,0.77,0.08,-0.1,2.14,1.17,1.34,0.62亿,2.75亿,28.86亿,127.04
14,15,001332,锡装股份,70.74,0.63,0.44,0.1,1.88,0.45,1.71,0.26亿,0.20亿,14.15亿,23.77
15,16,001308,康冠科技,37.84,0.61,0.23,-0.03,4.74,2.86,2.87,0.99亿,0.55亿,20.89亿,12.95
16,17,603057,紫燕食品,31.66,0.54,0.17,0.13,2.35,0.59,1.87,0.31亿,0.42亿,13.30亿,42.98
17,18,600938,中国海油,16.01,0.44,0.07,0.0,0.78,1.32,0.88,2.19亿,17.50亿,280.20亿,5.25
18,19,603182,嘉华股份,18.77,0.43,0.08,0.05,2.45,0.68,1.07,0.19亿,0.41亿,7.72亿,25.0
19,20,603130,云中马,28.24,0.43,0.12,0.11,2.64,0.91,1.35,0.26亿,0.35亿,9.88亿,35.27
20,21,601089,福元医药,16.3,0.37,0.06,0.0,1.16,1.23,0.8,0.23亿,1.20亿,19.56亿,17.71
21,22,001222,源飞宠物,27.23,0.18,0.05,0.0,2.15,0.82,1.07,0.20亿,0.34亿,9.29亿,20.13
22,23,001323,慕思股份,40.15,0.1,0.04,-0.12,0.93,0.49,1.57,0.15亿,0.40亿,16.06亿,28.32
23,24,603280,南方路机,25.7,0.04,0.01,0.0,3.19,0.78,1.21,0.22亿,0.27亿,6.97亿,22.68
24,25,001266,宏英智能,31.27,0.03,0.01,-0.03,3.84,0.68,2.02,0.31亿,0.26亿,8.04亿,48.17
25,26,603281,江瀚新材,61.89,0.02,0.01,-0.32,8.26,1.0,3.33,3.38亿,0.67亿,41.26亿,14.9
26,27,001299,美能能源,20.19,-0.05,-0.01,0.0,1.97,0.69,0.69,0.19亿,0.47亿,9.47亿,46.26
27,28,603206,嘉环科技,16.9,-0.06,-0.01,0.06,1.78,1.28,1.18,0.23亿,0.76亿,12.89亿,34.58
28,29,001300,三柏硕,15.51,-0.06,-0.01,0.07,1.87,0.94,0.77,0.18亿,0.61亿,9.45亿,29.86
29,30,603235,天新药业,32.41,-0.09,-0.03,0.0,1.16,0.83,0.86,0.17亿,0.44亿,14.19亿,19.31
30,31,603201,常润股份,35.05,-0.14,-0.05,0.14,3.28,1.19,2.31,0.23亿,0.20亿,6.97亿,16.28
31,32,001298,好上好,41.17,-0.19,-0.08,0.02,3.33,0.8,0.99,0.33亿,0.24亿,9.88亿,26.03
32,33,001259,利仁科技,29.84,-0.23,-0.07,0.13,3.42,1.4,1.04,0.19亿,0.18亿,5.52亿,39.96
33,34,001231,农心科技,24.21,-0.25,-0.06,-0.04,2.52,0.55,0.58,0.15亿,0.25亿,6.05亿,30.39
34,35,603215,比依股份,16.09,-0.25,-0.04,0.0,1.41,1.03,0.87,0.11亿,0.47亿,7.51亿,17.15
35,36,001268,联合精密,25.27,-0.28,-0.07,0.2,5.78,2.48,2.45,0.40亿,0.27亿,6.82亿,32.53
36,37,603261,立航科技,40.36,-0.3,-0.12,0.15,3.87,1.33,1.71,0.30亿,0.19亿,7.77亿,189.6
37,38,001258,立新能源,11.26,-0.35,-0.04,0.0,1.45,0.77,0.97,0.38亿,2.33亿,26.27亿,41.89
38,39,603211,晋拓股份,13.99,-0.36,-0.05,0.07,2.1,1.26,1.21,0.20亿,0.68亿,9.51亿,54.31
39,40,603163,圣晖集成,31.85,-0.41,-0.13,0.09,3.38,1.16,1.25,0.21亿,0.20亿,6.37亿,20.79
40,41,603170,宝立食品,29.73,-0.47,-0.14,0.0,3.06,0.6,1.88,0.37亿,0.40亿,11.89亿,58.12
41,42,603272,联翔股份,18.48,-0.48,-0.09,0.05,0.61,0.71,0.97,0.03亿,0.26亿,4.79亿,70.22
