,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600282,南钢股份,3.97,4.2,0.16,0.25,1.48,0.92,4.99,2.59亿,44.67亿,177.34亿,8.84
1,2,002724,海洋王,11.06,3.85,0.41,0.55,5.23,9.33,8.54,2.18亿,3.70亿,40.88亿,73.39
2,3,301018,申菱环境,40.6,3.25,1.28,0.05,5.02,1.82,3.64,1.73亿,0.85亿,34.67亿,53.48
3,4,300084,海默科技,6.5,3.17,0.2,-0.15,4.89,1.57,5.56,1.04亿,3.30亿,21.43亿,--
4,5,601868,中国能建,2.39,2.14,0.05,0.0,2.61,4.59,2.56,8.85亿,142.22亿,339.92亿,17.89
5,6,603100,川仪股份,37.96,2.04,0.76,-0.05,0.44,1.03,5.43,0.64亿,3.91亿,148.46亿,27.72
6,7,600516,方大炭素,6.74,1.66,0.11,0.0,0.76,2.68,2.11,1.94亿,38.06亿,256.52亿,41.22
7,8,001255,博菲电气,49.9,1.38,0.68,-0.04,23.1,1.04,7.11,2.33亿,0.20亿,9.98亿,53.55
8,9,600875,东方电气,20.39,1.14,0.23,-0.05,0.92,1.2,3.22,3.71亿,20.15亿,410.89亿,19.08
9,10,600019,宝钢股份,6.28,1.13,0.07,0.0,0.09,1.19,1.29,1.16亿,218.94亿,1374.94亿,11.08
10,11,600483,福能股份,12.6,1.12,0.14,0.0,0.28,0.85,1.85,0.63亿,17.46亿,220.00亿,11.48
11,12,601611,中国核建,8.04,1.0,0.08,0.13,0.27,1.46,1.0,0.58亿,26.33亿,211.66亿,14.25
12,13,000881,中广核技,8.37,0.96,0.08,0.0,1.01,2.98,2.65,0.66亿,7.76亿,64.95亿,28.09
13,14,000932,华菱钢铁,5.3,0.95,0.05,-0.19,0.33,0.82,1.52,0.98亿,57.18亿,303.05亿,5.35
14,15,600482,中国动力,16.49,0.86,0.14,0.06,0.12,0.91,1.28,0.40亿,20.27亿,334.32亿,91.71
15,16,002276,万马股份,11.21,0.81,0.09,-0.8,6.01,2.91,5.04,6.84亿,10.35亿,116.06亿,25.93
16,17,600169,太原重工,2.55,0.79,0.02,0.39,0.24,0.7,1.19,0.16亿,25.64亿,65.38亿,68.61
17,18,600170,上海建工,2.71,0.74,0.02,0.37,0.17,0.78,1.11,0.41亿,89.04亿,241.31亿,103.88
18,19,003816,中国广核,2.72,0.74,0.02,0.37,0.11,1.45,0.74,1.18亿,393.35亿,1069.91亿,11.72
19,20,601727,上海电气,4.22,0.72,0.03,0.0,0.12,1.4,1.19,0.62亿,126.55亿,534.05亿,--
