,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002970,锐明技术,29.02,10.01,2.64,0.0,5.23,6.43,2.73,1.62亿,1.08亿,31.28亿,--
1,2,603009,北特科技,7.73,9.96,0.7,0.0,6.09,10.78,9.96,1.56亿,3.38亿,26.16亿,55.40
2,3,688262,国芯科技,62.94,8.29,4.82,0.06,3.23,4.22,11.68,3.69亿,1.87亿,117.78亿,117.22
3,4,300807,天迈科技,27.63,6.15,1.6,0.25,8.56,9.37,11.56,1.13亿,0.49亿,13.44亿,--
4,5,002488,金固股份,7.59,6.01,0.43,0.53,3.21,8.66,10.2,2.19亿,9.10亿,69.08亿,6.31
5,6,002903,宇环数控,25.56,4.97,1.21,-0.43,6.79,3.51,6.53,1.62亿,0.95亿,24.26亿,55.18
6,7,301181,标榜股份,46.04,4.8,2.11,-1.83,11.83,4.25,9.52,1.20亿,0.23亿,10.36亿,35.25
7,8,603121,华培动力,8.15,4.09,0.32,0.87,1.07,4.93,3.96,0.29亿,3.39亿,27.59亿,189.59
8,9,002434,万里扬,9.98,3.74,0.36,-0.1,1.07,5.2,5.09,1.39亿,13.12亿,130.89亿,38.19
9,10,603010,万盛股份,14.04,3.62,0.49,0.0,1.34,5.02,5.24,0.91亿,4.85亿,68.13亿,21.79
10,11,002975,博杰股份,41.79,3.59,1.45,-0.38,1.44,3.59,4.81,0.38亿,0.64亿,26.72亿,26.93
11,12,300547,川环科技,19.06,3.25,0.6,-0.42,1.14,2.94,4.5,0.38亿,1.77亿,33.69亿,36.6
12,13,300655,晶瑞电材,16.9,3.17,0.52,-0.47,3.17,6.56,5.43,2.94亿,5.54亿,93.57亿,67.98
13,14,301198,喜悦智行,27.69,2.48,0.67,-0.4,2.68,5.33,3.74,0.44亿,0.60亿,16.58亿,49.68
14,15,300071,福石控股,5.56,2.39,0.13,-0.89,9.8,3.22,9.21,4.94亿,8.91亿,49.57亿,114.77
15,16,002906,华阳集团,36.56,2.35,0.84,-0.03,0.59,2.07,3.02,1.01亿,4.75亿,173.65亿,48.89
16,17,002850,科达利,136.18,2.16,2.88,-0.35,0.47,1.41,3.29,1.00亿,1.57亿,213.22亿,40.33
17,18,002576,通达动力,21.57,1.99,0.42,-0.14,10.2,3.8,6.43,3.51亿,1.62亿,34.92亿,54.86
18,19,300484,蓝海华腾,16.58,1.91,0.31,0.3,6.75,2.25,5.35,1.79亿,1.60亿,26.56亿,41.44
19,20,002824,和胜股份,41.28,1.82,0.74,0.68,1.56,1.25,3.45,0.82亿,1.31亿,53.93亿,43.71
20,21,301079,邵阳液压,24.03,1.82,0.43,0.33,2.46,2.67,3.69,0.27亿,0.45亿,10.79亿,47.13
21,22,002182,云海金属,23.5,1.82,0.42,-0.09,1.11,2.24,2.17,1.44亿,5.57亿,130.94亿,19.68
22,23,688800,瑞可达,118.58,1.78,2.07,0.08,0.34,1.09,2.92,0.29亿,0.71亿,84.17亿,51.06
23,24,601966,玲珑轮胎,23.1,1.76,0.4,-0.09,0.32,2.91,2.73,1.08亿,14.74亿,340.38亿,118.35
24,25,300340,科恒股份,20.86,1.76,0.36,0.48,14.42,3.28,7.32,5.64亿,1.87亿,39.02亿,--
25,26,831195,三祥科技,8.9,1.71,0.15,-1.11,1.62,3.59,4.8,0.05亿,0.39亿,3.43亿,12.56
26,27,002008,大族激光,30.95,1.71,0.52,-0.1,1.43,2.23,2.76,4.33亿,9.79亿,303.06亿,24.09
27,28,603166,福达股份,7.14,1.71,0.12,0.28,0.45,3.21,3.42,0.21亿,6.46亿,46.14亿,71.07
28,29,002407,多氟多,38.21,1.62,0.61,-0.08,1.51,2.19,2.42,3.95亿,6.84亿,261.37亿,12.69
29,30,002602,世纪华通,4.87,1.46,0.07,0.41,0.97,1.66,3.12,3.26亿,68.78亿,334.96亿,39.46
30,31,300567,精测电子,62.7,1.46,0.9,0.16,0.49,1.46,1.93,0.64亿,2.07亿,129.68亿,91.05
31,32,000100,TCL科技,4.54,1.34,0.06,-0.22,2.25,5.3,3.35,14.07亿,136.52亿,619.81亿,207.12
32,33,600626,申达股份,3.9,1.3,0.05,0.0,0.57,3.32,3.12,0.19亿,8.52亿,33.24亿,--
33,34,688123,聚辰股份,92.98,1.26,1.16,0.25,1.44,2.19,4.73,1.61亿,1.21亿,112.42亿,32.63
34,35,002863,今飞凯达,6.55,1.24,0.08,0.0,1.86,1.42,2.32,0.60亿,4.99亿,32.67亿,40.53
35,36,002909,集泰股份,10.07,1.21,0.12,0.1,5.43,4.62,4.62,2.00亿,3.62亿,36.41亿,408.49
36,37,600960,渤海汽车,3.81,1.06,0.04,0.0,0.55,3.0,1.86,0.20亿,9.51亿,36.21亿,--
37,38,603786,科博达,67.98,1.01,0.68,-0.18,0.1,1.5,2.97,0.26亿,4.00亿,271.99亿,56.98
38,39,002056,横店东磁,22.28,0.95,0.21,-0.36,0.33,1.26,1.45,1.18亿,15.97亿,355.82亿,22.50
39,40,002284,亚太股份,8.5,0.95,0.08,0.35,0.5,1.33,1.78,0.29亿,6.86亿,58.34亿,115.74
40,41,688007,光峰科技,27.49,0.92,0.25,0.18,0.31,1.43,2.64,0.39亿,4.57亿,125.66亿,103.16
41,42,605133,嵘泰股份,38.85,0.86,0.33,-1.02,4.09,1.29,3.27,0.63亿,0.40亿,15.54亿,52.00
42,43,000709,河钢股份,2.46,0.82,0.02,0.41,0.13,1.01,0.82,0.33亿,103.35亿,254.25亿,16.41
43,44,600741,华域汽车,18.5,0.82,0.15,-0.05,0.09,1.31,1.09,0.51亿,31.53亿,583.25亿,8.97
44,45,605068,明新旭腾,31.65,0.8,0.25,0.0,0.24,0.8,2.29,0.04亿,0.57亿,17.88亿,72.07
45,46,300568,星源材质,21.95,0.78,0.17,-0.05,0.48,1.14,1.56,1.21亿,11.49亿,252.21亿,35.87
46,47,300613,富瀚微,66.68,0.72,0.48,-0.03,1.23,1.21,3.14,1.79亿,2.16亿,144.31亿,33.05
47,48,603306,华懋科技,45.15,0.71,0.32,0.56,0.39,0.55,2.21,0.55亿,3.21亿,144.72亿,87.30
48,49,002594,比亚迪,280.96,0.7,1.96,-0.12,0.27,1.48,1.22,8.72亿,11.65亿,3272.52亿,65.88
49,50,603477,巨星农牧,25.32,0.68,0.17,-0.08,0.84,1.59,2.11,1.02亿,4.82亿,121.97亿,--
50,51,002355,兴民智通,4.74,0.64,0.03,0.42,0.44,0.86,1.7,0.13亿,6.17亿,29.25亿,--
51,52,300222,科大智能,7.95,0.63,0.05,-0.13,2.77,4.01,3.17,1.40亿,6.26亿,49.79亿,--
52,53,300041,回天新材,19.23,0.63,0.12,0.16,0.8,1.89,2.3,0.64亿,4.19亿,80.64亿,23.87
53,54,000792,盐湖股份,25.94,0.62,0.16,-0.12,0.2,1.34,1.63,2.75亿,54.33亿,1409.27亿,8.75
54,55,002413,雷科防务,5.02,0.6,0.03,-0.2,0.65,1.73,0.8,0.40亿,12.33亿,61.90亿,--
55,56,002144,宏达高科,11.93,0.59,0.07,0.17,1.23,1.41,1.1,0.20亿,1.38亿,16.45亿,21.20
56,57,300598,诚迈科技,56.55,0.59,0.33,0.3,1.41,1.73,1.9,1.27亿,1.60亿,90.52亿,--
57,58,301338,凯格精机,58.99,0.58,0.34,-0.02,3.89,2.31,2.49,0.40亿,0.18亿,10.37亿,34.01
58,59,603809,豪能股份,13.14,0.54,0.07,-0.3,0.17,0.65,1.45,0.09亿,3.90亿,51.22亿,23.39
59,60,688533,上声电子,60.52,0.53,0.32,0.17,0.58,0.86,2.44,0.13亿,0.38亿,23.00亿,123.94
60,61,600619,海立股份,6.07,0.5,0.03,0.0,0.17,1.3,0.99,0.08亿,7.89亿,47.90亿,81.89
61,62,002454,松芝股份,8.17,0.49,0.04,0.0,0.53,1.05,1.35,0.27亿,6.26亿,51.16亿,68.48
62,63,002497,雅化集团,24.99,0.48,0.12,0.04,0.55,1.85,1.53,1.41亿,10.34亿,258.44亿,6.09
63,64,002101,广东鸿图,24.89,0.44,0.11,-0.04,1.2,0.98,1.74,1.57亿,5.29亿,131.62亿,27.61
64,65,603799,华友钴业,62.37,0.43,0.27,-0.14,0.28,1.5,1.8,2.76亿,15.80亿,985.43亿,24.88
65,66,300237,美晨生态,2.38,0.42,0.01,-0.42,0.56,1.88,1.69,0.19亿,14.38亿,34.24亿,--
66,67,002240,盛新锂能,39.83,0.38,0.15,-0.1,0.57,1.68,1.84,1.91亿,8.50亿,338.50亿,6.26
67,68,603201,常润股份,35.23,0.37,0.13,-0.26,2.56,1.7,2.31,0.18亿,0.20亿,7.00亿,16.37
68,69,300766,每日互动,13.9,0.36,0.05,0.29,4.73,2.98,4.76,2.27亿,3.43亿,47.63亿,199.30
69,70,300825,阿尔特,13.97,0.36,0.05,-0.07,0.52,0.86,2.01,0.29亿,4.10亿,57.24亿,55.74
70,71,002217,合力泰,2.93,0.34,0.01,0.34,0.34,1.06,1.03,0.30亿,31.09亿,91.10亿,--
71,72,002125,湘潭电化,15.47,0.32,0.05,-0.07,0.83,1.12,1.69,0.76亿,5.93亿,91.78亿,20.70
72,73,603089,正裕工业,9.73,0.31,0.03,-0.21,0.29,0.8,1.13,0.06亿,2.23亿,21.65亿,20.17
73,74,000678,襄阳轴承,6.72,0.3,0.02,0.3,0.77,0.96,1.34,0.24亿,4.60亿,30.89亿,--
74,75,002036,联创电子,14.04,0.29,0.04,0.07,0.87,1.75,1.71,1.27亿,10.50亿,147.46亿,55.38
75,76,002992,宝明科技,47.29,0.28,0.13,-0.09,0.83,0.83,1.97,0.30亿,0.78亿,37.06亿,--
76,77,603906,龙蟠科技,25.42,0.28,0.07,0.04,0.32,1.17,0.83,0.45亿,5.65亿,143.64亿,15.21
77,78,002340,格林美,7.97,0.25,0.02,0.25,0.25,1.31,0.5,1.02亿,50.75亿,404.46亿,30.52
78,79,300375,鹏翎股份,4.02,0.25,0.01,0.0,0.26,0.83,0.75,0.05亿,5.05亿,20.31亿,34.34
79,80,603319,湘油泵,16.95,0.24,0.04,-0.18,0.35,1.29,1.06,0.12亿,2.07亿,35.08亿,25.16
80,81,300180,华峰超纤,4.27,0.23,0.01,0.47,0.14,0.74,0.7,0.08亿,14.33亿,61.17亿,213.77
81,82,300678,中科信息,21.75,0.23,0.05,0.32,4.7,1.97,3.69,1.28亿,1.25亿,27.16亿,153.24
82,83,600335,国机汽车,9.06,0.22,0.02,-0.11,0.34,1.63,1.44,0.44亿,14.57亿,131.99亿,41.11
83,84,301133,金钟股份,27.46,0.22,0.06,-0.29,1.65,1.6,2.52,0.15亿,0.33亿,9.12亿,47.02
84,85,002265,西仪股份,15.15,0.2,0.03,-0.2,0.71,1.02,1.26,0.34亿,3.19亿,48.26亿,--
85,86,000030,富奥股份,5.08,0.2,0.01,0.0,0.08,1.09,1.18,0.07亿,17.61亿,89.46亿,23.68
86,87,000601,韶能股份,5.1,0.2,0.01,0.0,0.2,0.91,0.59,0.11亿,10.80亿,55.07亿,32.66
87,88,688071,华依科技,66.53,0.2,0.13,0.0,0.65,1.34,2.71,0.16亿,0.36亿,24.02亿,141.21
88,89,603013,亚普股份,15.75,0.19,0.03,0.0,0.09,0.95,1.15,0.07亿,5.11亿,80.53亿,15.44
89,90,000559,万向钱潮,5.36,0.19,0.02,0.19,0.08,0.73,0.75,0.11亿,27.53亿,147.56亿,21.60
90,91,002654,万润科技,5.35,0.19,0.01,0.0,1.42,1.61,2.44,0.58亿,7.64亿,40.89亿,--
91,92,301070,开勒股份,27.66,0.18,0.05,-0.14,0.54,1.5,1.63,0.05亿,0.35亿,9.76亿,34.35
92,93,300644,南京聚隆,16.96,0.18,0.03,0.24,0.46,1.22,1.24,0.07亿,0.85亿,14.42亿,47.72
93,94,603037,凯众股份,18.35,0.16,0.03,-0.16,0.34,1.94,1.09,0.07亿,1.05亿,19.25亿,27.93
94,95,300928,华安鑫创,41.2,0.15,0.06,0.22,0.75,1.06,1.09,0.13亿,0.43亿,17.81亿,61.75
95,96,000795,英洛华,7.47,0.13,0.01,0.13,0.29,1.17,1.21,0.25亿,11.34亿,84.69亿,30.10
96,97,002363,隆基机械,8.24,0.12,0.01,-0.12,1.31,0.91,3.16,0.45亿,4.16亿,34.29亿,71.92
97,98,301150,中一科技,73.5,0.11,0.08,-0.11,1.4,2.11,1.5,0.22亿,0.22亿,15.85亿,18.20
98,99,002703,浙江世宝,9.74,0.1,0.01,0.31,0.86,1.25,1.34,0.46亿,5.53亿,53.87亿,915.50
99,100,603266,天龙股份,14.41,0.07,0.01,-0.07,0.31,1.4,1.32,0.09亿,1.99亿,28.66亿,22.29
100,101,603161,科华控股,17.0,0.06,0.01,0.06,0.42,0.9,1.88,0.10亿,1.33亿,22.68亿,--
101,102,603768,常青股份,17.99,0.06,0.01,-0.06,0.49,1.57,2.67,0.18亿,2.04亿,36.70亿,36.53
102,103,000988,华工科技,20.14,0.05,0.01,0.15,0.43,1.08,1.39,0.87亿,10.05亿,202.40亿,21.03
103,104,300953,震裕科技,87.51,0.01,0.01,0.09,0.83,1.89,1.82,0.33亿,0.46亿,39.89亿,50.14
104,105,000969,安泰科技,8.94,0.0,0.0,0.11,0.42,1.49,1.34,0.38亿,10.26亿,91.70亿,40.30
105,106,002108,沧州明珠,4.88,0.0,0.0,0.21,0.38,0.76,0.82,0.31亿,16.72亿,81.58亿,23.66
106,107,002179,中航光电,57.11,0.0,0.0,0.04,0.1,0.79,0.72,0.92亿,15.67亿,895.19亿,34.20
107,108,002201,正威新材,13.29,0.0,0.0,-0.08,0.27,1.29,0.9,0.24亿,6.50亿,86.42亿,231.32
108,109,300507,苏奥传感,7.02,0.0,0.0,0.0,0.83,0.86,1.28,0.32亿,5.49亿,38.52亿,60.12
