,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300158,振东制药,7.64,5.23,0.38,1.06,5.8,4.7,6.06,4.42亿,10.24亿,78.24亿,237.93
1,2,600557,康缘药业,25.9,4.35,1.08,-0.15,2.01,4.63,10.31,3.06亿,5.76亿,149.35亿,40.38
2,3,002762,金发拉比,12.88,3.04,0.38,-0.85,14.37,4.0,6.24,3.70亿,2.01亿,25.90亿,331.74
3,4,600572,康恩贝,4.98,2.47,0.12,0.0,1.18,4.88,2.88,1.51亿,25.63亿,127.65亿,41.86
4,5,002172,澳洋健康,4.41,2.32,0.1,-0.45,3.39,6.81,4.64,1.14亿,7.65亿,33.75亿,101.96
5,6,002332,仙琚制药,12.83,1.66,0.21,-0.08,0.39,1.3,3.41,0.49亿,9.78亿,125.49亿,17.99
6,7,000989,九芝堂,9.58,1.38,0.13,0.1,0.78,2.51,2.12,0.49亿,6.58亿,63.04亿,15.72
7,8,600420,国药现代,10.29,1.18,0.12,-0.1,0.48,2.53,2.46,0.51亿,10.27亿,105.68亿,19.25
8,9,000615,奥园美谷,7.79,1.17,0.09,-0.13,1.25,1.48,2.08,0.74亿,7.62亿,59.32亿,--
9,10,300740,水羊股份,14.39,0.98,0.14,-0.28,0.8,1.28,1.97,0.41亿,3.56亿,51.16亿,35.28
10,11,002566,益盛药业,8.67,0.81,0.07,-0.12,0.93,1.9,1.51,0.19亿,2.31亿,20.06亿,35.67
11,12,002556,辉隆股份,9.03,0.67,0.06,0.0,0.35,1.11,1.11,0.28亿,8.76亿,79.07亿,12.58
12,13,002612,朗姿股份,27.55,0.4,0.11,-0.25,1.11,1.0,2.04,0.77亿,2.52亿,69.41亿,521.67
13,14,002004,华邦健康,5.55,0.36,0.02,0.18,0.27,1.61,0.9,0.28亿,18.80亿,104.32亿,11.49
14,15,301263,泰恩康,36.9,-2.9,-1.1,0.05,4.03,1.94,5.37,0.80亿,0.54亿,19.80亿,51.45
