,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002663,普邦股份,2.28,10.14,0.21,0.0,3.15,4.07,11.11,0.87亿,12.48亿,28.45亿,--
1,2,000711,京蓝科技,3.08,5.84,0.17,0.33,12.96,4.17,10.31,3.31亿,8.20亿,25.27亿,--
2,3,603165,荣晟环保,12.65,3.69,0.45,-0.08,2.5,4.55,7.46,0.89亿,2.78亿,35.22亿,19.56
3,4,000753,漳州发展,4.6,3.37,0.15,0.0,1.89,3.19,4.49,0.86亿,9.91亿,45.61亿,43.35
4,5,600168,武汉控股,6.42,3.21,0.2,0.16,1.84,9.15,9.32,0.84亿,7.10亿,45.55亿,37.47
5,6,002310,东方园林,2.21,2.79,0.06,0.46,1.43,3.02,2.33,0.81亿,26.05亿,57.58亿,--
6,7,600126,杭钢股份,4.83,2.55,0.12,0.21,0.53,1.83,3.19,0.86亿,33.77亿,163.12亿,24.66
7,8,300203,聚光科技,31.39,2.31,0.71,0.0,1.5,2.01,3.75,2.11亿,4.52亿,141.91亿,--
8,9,600846,同济科技,9.58,2.13,0.2,-0.1,0.83,2.46,2.98,0.49亿,6.25亿,59.85亿,24.12
9,10,601117,中国化学,8.94,1.82,0.16,-0.22,0.39,1.16,2.62,1.98亿,56.97亿,509.27亿,11.01
10,11,603903,中持股份,9.99,1.63,0.16,-0.1,1.06,3.15,2.34,0.21亿,2.02亿,20.21亿,26.12
11,12,603200,上海洗霸,29.81,1.57,0.46,0.2,10.36,1.79,5.66,5.39亿,1.74亿,51.75亿,74.21
12,13,300137,先河环保,6.79,1.5,0.1,0.0,1.69,1.34,2.24,0.55亿,4.82亿,32.70亿,121.88
13,14,600187,国中水务,2.9,1.4,0.04,0.0,1.53,1.21,1.75,0.72亿,16.14亿,46.80亿,--
14,15,603867,新化股份,38.02,1.28,0.48,0.29,1.11,0.8,3.04,0.77亿,1.85亿,70.20亿,21.22
15,16,600874,创业环保,6.46,1.25,0.08,0.16,0.33,1.71,1.25,0.23亿,10.87亿,70.23亿,12.02
16,17,601618,中国中冶,3.4,1.19,0.04,0.0,0.27,1.54,1.49,1.65亿,178.53亿,606.99亿,7.87
17,18,301081,严牌股份,13.15,1.08,0.14,0.08,0.93,1.81,1.38,0.09亿,0.70亿,9.25亿,34.40
18,19,301127,天源环保,10.76,1.03,0.11,-0.09,0.75,1.42,1.6,0.20亿,2.44亿,26.30亿,30.04
19,20,688057,金达莱,15.4,0.98,0.15,0.0,0.73,1.83,1.25,0.15亿,1.37亿,21.16亿,18.37
20,21,000881,中广核技,8.37,0.96,0.08,0.0,1.01,2.98,2.65,0.66亿,7.76亿,64.95亿,28.09
21,22,600710,苏美达,6.37,0.95,0.06,0.0,0.39,1.25,1.11,0.33亿,13.07亿,83.24亿,9.24
22,23,300631,久吾高科,34.28,0.82,0.28,0.0,1.37,1.1,2.15,0.57亿,1.21亿,41.37亿,166.73
23,24,000016,深康佳A,4.94,0.82,0.04,0.0,0.5,1.21,1.84,0.40亿,15.97亿,78.87亿,65.80
24,25,300422,博世科,6.26,0.81,0.05,0.0,0.35,0.8,1.29,0.08亿,3.84亿,24.04亿,--
25,26,603759,海天股份,10.1,0.8,0.08,0.0,2.19,1.96,2.89,0.44亿,1.95亿,19.72亿,21.74
26,27,300070,碧水源,5.08,0.79,0.04,0.0,0.42,1.14,1.19,0.59亿,27.27亿,138.52亿,634.82
27,28,000598,兴蓉环境,5.1,0.79,0.04,0.2,0.32,1.48,0.99,0.48亿,29.69亿,151.40亿,8.30
28,29,002672,东江环保,6.1,0.66,0.04,0.0,0.28,1.23,0.49,0.11亿,6.79亿,41.42亿,--
29,30,300867,圣元环保,18.83,0.64,0.12,0.05,0.86,0.86,1.34,0.25亿,1.54亿,29.04亿,24.11
30,31,300425,中建环能,4.84,0.62,0.03,0.0,0.44,0.85,0.62,0.14亿,6.72亿,32.52亿,45.15
31,32,603603,*ST博天,5.03,0.6,0.03,0.0,0.36,0.9,1.6,0.15亿,8.18亿,41.12亿,--
32,33,601158,重庆水务,5.3,0.57,0.03,0.0,0.05,1.11,0.57,0.13亿,48.00亿,254.40亿,11.32
33,34,603588,高能环境,10.91,0.55,0.06,0.0,0.52,2.44,3.32,0.84亿,14.86亿,162.09亿,20.71
34,35,002688,金河生物,5.56,0.54,0.03,0.18,0.23,0.88,0.9,0.10亿,7.66亿,42.60亿,31.76
35,36,000826,启迪环境,3.77,0.53,0.02,0.0,0.43,0.62,0.8,0.23亿,14.31亿,53.93亿,--
36,37,601113,华鼎股份,3.91,0.51,0.02,-0.26,0.17,0.88,1.03,0.07亿,11.04亿,43.17亿,8.77
37,38,600292,远达环保,6.01,0.5,0.03,0.17,0.23,1.21,0.84,0.11亿,7.81亿,46.93亿,85.65
38,39,002051,中工国际,8.82,0.46,0.04,0.11,0.4,0.7,1.71,0.43亿,12.37亿,109.11亿,24.84
39,40,600064,南京高科,6.79,0.44,0.03,0.0,0.34,0.94,0.89,0.40亿,17.30亿,117.49亿,4.66
40,41,688296,和达科技,29.7,0.44,0.13,-0.2,0.33,0.73,2.81,0.06亿,0.58亿,17.20亿,50.83
41,42,300021,大禹节水,4.93,0.41,0.02,0.0,0.63,0.5,0.41,0.22亿,7.01亿,34.56亿,69.37
42,43,000915,华特达因,43.5,0.39,0.17,0.12,0.45,0.4,1.27,0.46亿,2.34亿,101.88亿,19.64
43,44,000885,城发环境,10.72,0.38,0.04,0.0,0.39,0.96,0.94,0.26亿,6.42亿,68.83亿,6.21
44,45,000838,财信发展,5.39,0.37,0.02,0.0,0.35,0.84,0.74,0.20亿,10.53亿,56.76亿,--
45,46,600567,山鹰国际,2.71,0.37,0.01,-0.37,0.3,0.86,1.11,0.38亿,46.16亿,125.10亿,170.91
46,47,300664,鹏鹞环保,5.55,0.36,0.02,0.0,0.4,0.98,0.72,0.16亿,7.04亿,39.10亿,11.16
47,48,000929,兰州黄河,11.25,0.36,0.04,0.0,3.02,0.8,1.87,0.63亿,1.86亿,20.90亿,--
48,49,300145,中金环境,2.81,0.36,0.01,0.36,0.4,0.62,1.07,0.21亿,18.94亿,53.21亿,30.21
49,50,600008,首创环保,2.93,0.34,0.01,0.0,0.26,0.78,0.69,0.55亿,73.41亿,215.08亿,4.96
50,51,002573,清新环境,5.95,0.34,0.02,0.0,0.23,0.66,0.84,0.15亿,10.79亿,64.21亿,17.35
51,52,688335,复洁环保,24.25,0.33,0.08,0.0,0.36,0.97,1.74,0.06亿,0.69亿,16.79亿,26.28
52,53,603817,海峡环保,6.23,0.32,0.02,0.0,0.43,1.1,0.48,0.14亿,5.18亿,32.24亿,22.15
53,54,600635,大众公用,3.16,0.32,0.01,0.32,0.13,0.56,0.64,0.10亿,24.19亿,76.43亿,--
54,55,601200,上海环境,9.47,0.32,0.03,0.0,0.2,0.98,0.85,0.21亿,11.22亿,106.24亿,17.54
55,56,000605,渤海股份,6.58,0.3,0.02,0.0,0.56,0.96,1.07,0.12亿,3.38亿,22.22亿,165.93
56,57,300388,节能国祯,6.71,0.3,0.02,0.0,0.24,1.0,0.75,0.11亿,6.97亿,46.80亿,13.21
57,58,600979,广安爱众,3.45,0.29,0.01,0.0,0.49,0.88,0.87,0.21亿,12.32亿,42.51亿,22.61
58,59,600461,洪城环境,7.12,0.28,0.02,-0.14,0.28,1.5,0.7,0.19亿,9.51亿,67.72亿,7.62
59,60,300152,新动力,3.58,0.28,0.01,0.0,1.65,0.74,1.4,0.42亿,7.12亿,25.51亿,193.92
60,61,002696,百洋股份,7.22,0.28,0.02,-0.14,1.0,0.69,0.83,0.25亿,3.46亿,24.97亿,29.45
61,62,600495,晋西车轴,3.92,0.26,0.01,0.26,0.31,0.66,0.77,0.15亿,12.08亿,47.36亿,2558.42
62,63,300929,华骐环保,12.56,0.24,0.03,0.0,0.7,0.75,0.64,0.08亿,0.95亿,11.98亿,29.52
63,64,688096,京源环保,13.44,0.22,0.03,0.07,0.46,1.25,0.82,0.05亿,0.80亿,10.79亿,33.48
64,65,300172,中电环保,4.86,0.21,0.01,0.0,0.44,0.74,0.62,0.11亿,4.97亿,24.16亿,26.9
65,66,600736,苏州高新,5.24,0.19,0.01,0.0,0.68,0.77,0.77,0.41亿,11.51亿,60.33亿,23.11
66,67,000488,晨鸣纸业,5.35,0.19,0.01,0.0,0.34,0.57,0.94,0.31亿,16.82亿,90.01亿,49.7
67,68,601368,绿城水务,5.47,0.18,0.01,-0.18,0.23,1.07,0.73,0.11亿,8.83亿,48.30亿,21.95
68,69,605081,太和水,16.78,0.18,0.03,0.06,0.5,0.8,0.72,0.07亿,0.85亿,14.33亿,88.84
69,70,002353,杰瑞股份,31.8,0.16,0.05,-0.03,0.32,0.56,1.35,0.69亿,6.90亿,219.37亿,16.38
70,71,600283,钱江水利,13.17,0.15,0.02,0.08,0.38,0.85,0.61,0.17亿,3.53亿,46.49亿,27.35
71,72,603279,景津装备,31.5,0.13,0.04,-0.1,0.14,0.67,1.46,0.25亿,5.65亿,178.05亿,23.19
72,73,300140,中环装备,8.18,0.12,0.01,0.0,1.06,0.88,1.96,0.37亿,4.23亿,34.63亿,--
73,74,000822,山东海化,8.39,0.12,0.01,0.0,0.89,0.86,1.07,0.67亿,8.95亿,75.10亿,5.38
74,75,688701,卓锦股份,9.03,0.11,0.01,0.0,0.58,0.97,1.55,0.03亿,0.66亿,5.93亿,--
75,76,688565,力源科技,9.51,0.1,0.01,0.11,3.26,2.22,4.11,0.30亿,0.96亿,9.17亿,--
76,77,603040,新坐标,22.18,0.09,0.02,0.09,1.21,0.91,3.88,0.36亿,1.34亿,29.72亿,20.04
77,78,688718,唯赛勃,22.23,0.04,0.01,0.0,1.17,1.09,1.8,0.14亿,0.54亿,12.10亿,129.29
78,79,000532,华金资本,12.26,0.0,0.0,0.0,1.08,1.12,1.22,0.45亿,3.44亿,42.12亿,25.61
79,80,000544,中原环保,6.86,0.0,0.0,-0.15,0.26,0.54,0.88,0.17亿,9.75亿,66.86亿,12.26
80,81,000809,ST新城,3.17,0.00,0.00,0.00,0.13,0.86,0.95,0.03亿,8.25亿,26.15亿,--
81,82,002340,格林美,7.95,0.00,0.00,0.13,0.41,0.94,0.50,1.66亿,50.75亿,403.45亿,30.44
82,83,002374,中锐股份,5.10,0.00,0.00,-0.20,0.94,0.80,1.37,0.51亿,10.66亿,54.39亿,202.92
83,84,002499,*ST科林,--,--,--,--,--,--,--,--,1.89亿,3.18亿,--
84,85,300165,天瑞仪器,5.37,0.00,0.00,0.00,1.97,0.69,1.68,0.41亿,3.88亿,20.86亿,--
85,86,300169,天晟新材,4.91,0.00,0.00,0.20,0.36,0.61,1.02,0.05亿,3.02亿,14.82亿,--
86,87,300237,美晨生态,2.37,0.00,0.00,-0.42,0.90,1.32,1.69,0.31亿,14.38亿,34.09亿,--
87,88,300262,巴安水务,2.88,0.00,0.00,-0.35,0.39,0.95,1.04,0.06亿,5.25亿,15.13亿,--
88,89,300334,津膜科技,6.91,0.00,0.00,-0.15,0.38,1.01,1.74,0.08亿,3.02亿,20.87亿,--
89,90,600470,六国化工,6.59,0.00,0.00,-0.15,0.62,0.81,0.76,0.21亿,5.22亿,34.37亿,13.02
90,91,600526,菲达环保,5.95,0.0,0.0,0.0,0.39,0.74,1.18,0.13亿,5.47亿,32.57亿,39.44
91,92,600796,钱江生化,5.74,0.0,0.0,0.0,0.48,0.82,1.04,0.08亿,3.01亿,17.30亿,28.70
92,93,603797,联泰环保,5.92,0.0,0.0,-0.17,0.2,0.85,1.01,0.07亿,5.84亿,34.58亿,12.02
93,94,688448,磁谷科技,26.5,-0.04,-0.01,-0.15,1.51,0.82,0.98,0.06亿,0.16亿,4.30亿,67.84
94,95,002125,湘潭电化,15.41,-0.07,-0.01,0.07,1.16,0.69,1.69,1.06亿,5.93亿,91.42亿,20.62
95,96,002761,浙江建投,22.31,-0.09,-0.02,0.05,0.93,0.67,0.98,1.03亿,4.93亿,109.90亿,17.49
96,97,300263,隆华科技,9.05,-0.11,-0.01,0.11,2.67,0.67,3.31,1.87亿,7.72亿,69.86亿,39.96
97,98,600539,狮头股份,7.07,-0.14,-0.01,-0.14,0.4,0.7,0.85,0.07亿,2.30亿,16.26亿,521.40
98,99,600133,东湖高新,5.96,-0.17,-0.01,0.17,1.07,1.51,1.17,0.51亿,7.96亿,47.42亿,11.66
99,100,002205,国统股份,11.69,-0.17,-0.02,0.26,1.67,0.75,2.13,0.36亿,1.86亿,21.73亿,--
100,101,300897,山科智能,30.14,-0.2,-0.06,0.0,0.62,0.58,0.6,0.06亿,0.30亿,8.91亿,28.37
101,102,605069,正和生态,10.02,-0.2,-0.02,-0.2,0.39,0.58,0.8,0.03亿,0.84亿,8.43亿,--
102,103,300190,维尔利,4.47,-0.22,-0.01,0.0,0.27,0.86,1.12,0.09亿,7.76亿,34.69亿,64.96
103,104,300800,力合科技,13.03,-0.23,-0.03,-0.08,0.35,0.95,0.92,0.08亿,1.68亿,21.92亿,31.40
104,105,002778,中晟高科,15.58,-0.26,-0.04,-0.13,0.32,0.66,1.54,0.06亿,1.25亿,19.44亿,--
105,106,600323,瀚蓝环境,18.99,-0.26,-0.05,0.0,0.1,0.72,1.21,0.16亿,8.15亿,154.83亿,13.38
106,107,301288,清研环境,18.5,-0.27,-0.05,0.0,1.94,1.04,1.35,0.09亿,0.25亿,4.59亿,199.12
107,108,002080,中材科技,24.34,-0.29,-0.07,0.04,0.15,0.69,1.27,0.61亿,16.78亿,408.45亿,12.67
108,109,300187,永清环保,6.27,-0.32,-0.02,0.32,0.3,0.66,2.38,0.12亿,6.45亿,40.43亿,55.81
109,110,002483,润邦股份,6.12,-0.33,-0.02,0.16,0.74,0.43,1.47,0.40亿,8.85亿,54.18亿,25.65
110,111,301148,嘉戎技术,23.29,-0.34,-0.08,0.09,1.17,0.94,1.37,0.07亿,0.25亿,5.83亿,27.54
111,112,688178,万德斯,20.11,-0.35,-0.07,0.0,0.21,0.94,1.54,0.04亿,0.85亿,17.09亿,24.81
112,113,000967,盈峰环境,5.68,-0.35,-0.02,0.18,0.43,0.78,2.28,0.78亿,31.78亿,180.49亿,25.89
113,114,002476,宝莫股份,5.68,-0.35,-0.02,0.0,0.47,0.85,1.23,0.16亿,6.12亿,34.76亿,82.87
114,115,002255,海陆重工,5.4,-0.37,-0.02,0.0,1.26,0.93,2.03,0.43亿,6.42亿,34.69亿,13.18
115,116,600969,郴电国际,7.94,-0.38,-0.03,0.13,0.54,0.87,1.0,0.16亿,3.70亿,29.38亿,31.94
116,117,300774,倍杰特,12.43,-0.4,-0.05,0.08,1.06,0.8,0.64,0.16亿,1.24亿,15.38亿,32.13
117,118,002973,侨银股份,11.83,-0.42,-0.05,0.09,0.15,0.87,1.01,0.07亿,4.09亿,48.34亿,17.08
118,119,300055,万邦达,9.46,-0.42,-0.04,-0.21,0.29,0.86,1.37,0.17亿,6.24亿,59.06亿,58.02
119,120,603568,伟明环保,19.9,-0.45,-0.09,0.1,0.16,0.93,1.0,0.53亿,16.94亿,337.15亿,20.28
