,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600378,昊华科技,54.6,9.99,4.96,0.0,0.12,2.56,0.0,0.60亿,9.04亿,493.56亿,49.37
1,2,603927,中科软,35.51,9.49,3.08,-0.28,1.27,6.2,10.9,2.56亿,5.94亿,211.03亿,51.90
2,3,601728,中国电信,5.72,8.54,0.45,1.6,0.91,3.62,9.49,9.79亿,195.90亿,1120.57亿,15.99
3,4,603883,老百姓,41.31,7.53,2.89,0.02,1.6,11.38,5.73,3.86亿,5.82亿,240.39亿,29.70
4,5,603939,益丰药房,60.79,6.86,3.9,-0.56,1.83,12.68,3.22,8.18亿,7.19亿,436.84亿,39.95
5,6,601799,星宇股份,143.31,6.34,8.55,-0.09,0.71,6.96,7.87,2.88亿,2.86亿,409.41亿,40.73
6,7,688236,春立医疗,32.79,6.12,1.89,0.37,2.02,2.23,8.38,0.51亿,0.78亿,25.50亿,45.06
7,8,600095,湘财股份,9.9,5.77,0.54,0.2,6.94,6.11,9.19,7.60亿,11.30亿,111.89亿,--
8,9,688131,皓元医药,128.86,5.36,6.56,0.64,1.22,3.31,6.39,0.93亿,0.60亿,77.80亿,65.50
9,10,603233,大参林,38.6,5.03,1.85,-1.03,1.45,8.75,4.92,5.44亿,9.48亿,365.84亿,29.76
10,11,603596,伯特利,77.92,4.61,3.43,0.08,1.13,3.07,5.32,3.53亿,4.10亿,319.50亿,50.33
11,12,600050,中国联通,5.27,4.36,0.22,1.35,0.66,2.45,5.35,10.50亿,309.62亿,1631.72亿,18.40
12,13,601111,中国国航,11.1,4.32,0.46,-0.09,0.49,2.84,4.04,5.40亿,99.62亿,1105.80亿,--
13,14,603444,吉比特,387.48,4.24,15.75,-0.11,0.82,5.02,5.79,2.26亿,0.72亿,278.48亿,20.64
14,15,603885,吉祥航空,17.86,4.02,0.69,0.11,0.71,1.92,5.53,2.82亿,22.14亿,395.42亿,--
15,16,601577,长沙银行,7.87,3.42,0.26,0.0,0.92,2.02,4.47,1.48亿,20.68亿,162.72亿,4.65
16,17,600282,南钢股份,3.95,3.41,0.13,0.25,1.06,1.29,4.99,1.85亿,44.67亿,176.00亿,8.77
17,18,603010,万盛股份,14.0,3.32,0.45,-0.14,1.4,4.54,5.24,0.95亿,4.85亿,67.94亿,21.73
18,19,600115,中国东航,5.57,3.15,0.17,0.18,0.29,4.2,2.59,1.83亿,112.03亿,623.99亿,--
19,20,600559,老白干酒,37.79,3.08,1.13,0.75,1.76,1.46,4.5,5.85亿,8.97亿,339.08亿,48.61
20,21,600258,首旅酒店,25.84,3.07,0.77,0.27,0.55,1.38,3.71,1.52亿,10.70亿,276.60亿,--
21,22,601058,赛轮轮胎,10.47,3.05,0.31,0.67,0.38,1.81,3.44,1.20亿,30.63亿,320.96亿,22.61
22,23,600056,中国医药,15.59,3.04,0.46,0.06,3.79,7.35,3.83,8.80亿,14.95亿,233.12亿,22.81
23,24,600566,济川药业,30.18,3.04,0.89,-0.3,0.73,4.45,5.94,2.04亿,9.16亿,276.37亿,12.67
24,25,688318,财富趋势,134.4,3.04,3.97,0.12,5.21,2.73,3.94,2.01亿,0.29亿,38.82亿,141.10
25,26,601668,中国建筑,5.56,2.97,0.16,0.36,0.44,4.48,2.78,10.04亿,413.20亿,2293.28亿,4.01
26,27,600998,九州通,14.26,2.96,0.41,0.07,0.78,7.38,4.04,2.08亿,18.74亿,267.21亿,11.53
27,28,601888,中国中免,206.46,2.93,5.88,0.38,0.36,2.19,2.89,14.44亿,19.52亿,4029.52亿,84.97
28,29,603225,新凤鸣,12.91,2.79,0.35,-0.16,0.32,1.86,4.22,0.64亿,15.29亿,197.46亿,52.14
29,30,601555,东吴证券,7.18,2.72,0.19,0.14,0.5,4.7,3.0,1.78亿,50.08亿,359.54亿,21.82
30,31,600029,南方航空,7.82,2.62,0.2,0.0,0.3,1.73,2.62,2.38亿,102.20亿,799.20亿,--
31,32,600941,中国移动,78.02,2.6,1.98,0.4,0.77,3.3,3.29,4.49亿,7.59亿,591.57亿,12.68
32,33,603127,昭衍新药,59.11,2.53,1.46,0.41,0.97,2.89,2.83,2.55亿,4.50亿,266.09亿,37.57
33,34,600754,锦江酒店,65.15,2.5,1.59,0.81,0.19,0.79,3.3,1.13亿,9.14亿,595.50亿,1248.00
34,35,603708,家家悦,12.78,2.49,0.31,-0.16,0.41,1.67,2.73,0.32亿,6.08亿,77.75亿,31.12
35,36,603605,珀莱雅,184.36,2.44,4.39,0.74,0.18,0.92,3.46,0.92亿,2.81亿,518.83亿,79.15
36,37,600585,海螺水泥,30.72,2.43,0.73,-0.2,0.41,2.44,2.5,5.00亿,40.00亿,1228.71亿,9.83
37,38,600007,中国国贸,17.34,2.42,0.41,0.0,0.11,1.83,2.42,0.18亿,10.07亿,174.66亿,15.07
38,39,601633,长城汽车,33.65,2.4,0.79,0.18,0.19,2.28,2.59,3.81亿,61.33亿,2063.59亿,35.28
39,40,601995,中金公司,40.75,2.39,0.95,0.07,0.44,5.05,2.66,1.66亿,9.30亿,378.82亿,24.54
40,41,603198,迎驾贡酒,72.07,2.37,1.67,0.29,0.28,1.54,3.56,1.61亿,8.00亿,576.56亿,35.95
41,42,601108,财通证券,7.87,2.34,0.18,0.26,0.54,3.46,2.6,1.97亿,46.44亿,365.46亿,25.4
42,43,601198,东兴证券,8.75,2.34,0.2,0.23,0.38,2.62,2.57,1.06亿,32.32亿,282.84亿,38.77
43,44,600348,华阳股份,15.53,2.31,0.35,-0.19,1.14,3.22,2.9,4.24亿,24.05亿,373.50亿,5.65
44,45,600383,金地集团,9.96,2.26,0.22,-0.1,0.94,2.06,3.9,4.22亿,45.15亿,449.65亿,10.11
