,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,301236,软通动力,43.3,8.3,3.32,0.7,10.53,4.59,7.78,3.59亿,0.82亿,35.50亿,30.69
1,2,301299,卓创资讯,55.45,6.29,3.28,-0.13,10.68,3.3,9.16,0.86亿,0.15亿,8.32亿,45.12
2,3,301248,杰创智能,38.24,5.37,1.95,0.9,22.91,1.33,7.05,2.04亿,0.24亿,9.18亿,60.55
3,4,301285,鸿日达,16.19,5.13,0.79,0.25,23.37,7.18,7.92,1.84亿,0.49亿,7.89亿,59.34
4,5,301181,标榜股份,46.17,5.1,2.24,0.9,14.65,2.88,9.52,1.49亿,0.23亿,10.39亿,35.35
5,6,301367,怡和嘉业,259.79,3.5,8.79,0.19,2.54,1.16,3.98,0.99亿,0.15亿,39.42亿,46.24
6,7,301130,西点药业,33.17,3.01,0.97,0.03,7.37,3.71,3.79,0.49亿,0.20亿,6.70亿,62.59
7,8,301216,万凯新材,31.2,1.7,0.52,0.45,2.98,1.39,1.76,0.70亿,0.75亿,23.55亿,9.09
8,9,301331,恩威医药,43.4,1.5,0.64,-0.16,9.52,2.7,3.2,0.73亿,0.18亿,7.61亿,46.17
9,10,301110,青木股份,42.49,1.36,0.57,-0.02,5.37,1.22,2.93,0.36亿,0.16亿,6.80亿,56.33
10,11,301283,聚胶股份,57.1,1.21,0.68,-0.14,0.73,1.09,1.74,0.08亿,0.19亿,10.83亿,47.69
11,12,301327,华宝新能,182.08,1.1,1.99,0.02,1.76,0.82,1.87,0.74亿,0.23亿,42.38亿,51.45
12,13,301330,熵基科技,41.71,1.07,0.44,-0.02,5.96,0.99,3.51,0.83亿,0.33亿,13.87亿,34.62
13,14,301391,卡莱特,116.99,0.71,0.83,0.06,1.21,0.52,2.25,0.21亿,0.15亿,17.67亿,77.36
14,15,301109,军信股份,16.84,0.66,0.11,-0.06,1.09,1.73,1.08,0.16亿,0.89亿,15.05亿,15.78
15,16,301239,普瑞眼科,93.94,0.65,0.61,-0.02,1.02,0.65,3.81,0.36亿,0.37亿,35.14亿,112.14
16,17,301205,联特科技,71.3,0.59,0.42,0.92,21.05,1.07,5.33,2.62亿,0.18亿,12.85亿,43.38
17,18,301333,诺思格,113.57,0.52,0.59,0.24,0.85,0.46,2.67,0.14亿,0.15亿,17.04亿,60.95
18,19,301258,富士莱,45.33,0.4,0.18,-0.13,2.84,0.96,1.77,0.30亿,0.23亿,10.39亿,24.51
19,20,301277,新天地,31.89,0.38,0.12,0.19,2.83,1.0,1.26,0.29亿,0.32亿,10.09亿,35.72
20,21,301302,华如科技,70.19,0.37,0.26,0.01,3.76,1.42,2.72,0.69亿,0.26亿,18.51亿,350.77
21,22,301388,欣灵电气,26.92,0.3,0.08,-0.04,5.32,0.77,1.42,0.35亿,0.24亿,6.54亿,43.75
