,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002728,特一药业,23.09,8.91,1.89,-0.39,19.19,4.99,10.71,6.82亿,1.60亿,36.90亿,40.59
1,2,300086,康芝药业,7.23,6.95,0.47,0.42,10.92,5.07,9.17,3.37亿,4.36亿,31.50亿,--
2,3,300158,振东制药,7.73,6.47,0.47,0.26,8.73,3.37,8.13,6.73亿,10.24亿,79.16亿,240.74
3,4,000999,华润三九,52.95,6.3,3.14,0.1,1.03,3.22,6.49,5.29亿,9.78亿,518.06亿,20.10
4,5,300878,维康药业,26.31,5.92,1.47,0.38,7.89,3.59,6.36,0.80亿,0.40亿,10.48亿,30.42
5,6,002603,以岭药业,31.0,5.62,1.65,0.07,7.77,5.01,7.43,32.53亿,13.76亿,426.56亿,27.46
6,7,600976,健民集团,64.46,5.33,3.26,-0.05,1.68,2.52,6.41,1.63亿,1.52亿,98.24亿,22.74
7,8,002873,新天药业,16.5,5.03,0.79,0.06,5.23,2.96,6.81,1.90亿,2.22亿,36.68亿,27.37
8,9,300199,翰宇药业,13.54,4.47,0.58,0.37,7.49,2.85,5.48,6.60亿,6.66亿,90.18亿,--
9,10,603567,珍宝岛,13.85,4.13,0.55,0.87,0.69,1.87,4.29,0.89亿,9.42亿,130.46亿,63.75
10,11,600594,益佰制药,5.7,3.83,0.21,0.18,3.21,3.85,4.55,1.44亿,7.92亿,45.14亿,17.27
11,12,300147,香雪制药,6.13,3.55,0.21,0.49,4.84,4.48,3.55,1.92亿,6.56亿,40.22亿,--
12,13,301111,粤万年青,24.1,3.43,0.8,0.54,5.33,2.1,4.46,0.88亿,0.70亿,16.90亿,92.95
13,14,600056,中国医药,15.62,3.24,0.49,0.13,4.4,4.34,3.83,10.23亿,14.95亿,233.57亿,22.86
14,15,000756,新华制药,27.27,3.06,0.81,0.29,5.57,3.22,3.55,6.62亿,4.41亿,120.15亿,46.97
15,16,002644,佛慈制药,10.11,3.06,0.3,0.2,0.92,2.67,2.85,0.47亿,5.11亿,51.63亿,73.23
16,17,301211,亨迪药业,29.4,2.98,0.85,0.34,12.01,3.41,3.61,2.02亿,0.58亿,16.96亿,67.37
17,18,600200,江苏吴中,9.34,2.86,0.26,0.0,4.42,1.76,4.51,2.89亿,7.08亿,66.15亿,--
18,19,002435,长江健康,5.65,2.73,0.15,-0.18,2.0,2.64,4.73,1.36亿,12.03亿,67.94亿,48.80
19,20,600511,国药股份,30.58,2.69,0.8,0.16,0.97,3.39,4.4,1.64亿,5.53亿,169.21亿,12.09
20,21,300434,金石亚药,12.9,2.54,0.32,0.55,4.18,2.95,3.5,1.78亿,3.32亿,42.83亿,36.32
21,22,000153,丰原药业,10.53,2.53,0.26,0.29,4.28,2.07,2.53,1.39亿,3.12亿,32.85亿,20.73
22,23,002317,众生药业,23.38,2.36,0.54,0.34,4.29,1.98,3.94,7.02亿,7.07亿,165.35亿,57.42
23,24,301331,恩威医药,43.77,2.36,1.01,0.57,10.2,2.34,3.2,0.78亿,0.18亿,7.68亿,46.56
24,25,600085,同仁堂,47.98,2.3,1.08,0.13,0.62,2.2,2.41,4.10亿,13.71亿,658.03亿,49.21
25,26,605199,葫芦娃,17.45,2.29,0.39,0.12,5.53,2.02,2.99,0.90亿,0.93亿,16.29亿,72.84
26,27,300026,红日药业,6.74,2.28,0.15,0.0,1.82,2.23,3.04,3.31亿,26.99亿,181.90亿,32.28
27,28,002737,葵花药业,24.28,2.27,0.54,0.04,0.94,1.35,3.45,1.33亿,5.84亿,141.79亿,20.89
28,29,600129,太极集团,35.23,2.26,0.78,0.09,0.8,1.71,3.51,1.56亿,5.57亿,196.19亿,59.12
29,30,600664,哈药股份,3.25,2.2,0.07,0.31,1.45,3.76,3.15,1.18亿,25.17亿,81.80亿,19.06
30,31,002864,盘龙药业,38.33,2.19,0.82,0.42,7.85,2.17,3.09,1.62亿,0.54亿,20.75亿,31.97
31,32,002424,贵州百灵,8.54,2.15,0.18,0.24,4.27,2.47,2.99,4.35亿,12.01亿,102.54亿,90.21
32,33,600829,人民同泰,6.92,2.06,0.14,0.15,1.04,3.01,2.21,0.42亿,5.80亿,40.13亿,15.59
33,34,600062,华润双鹤,18.53,2.04,0.37,0.11,1.63,2.54,2.37,3.08亿,10.24亿,189.83亿,14.81
34,35,000650,仁和药业,6.53,2.03,0.13,0.31,2.95,2.61,2.5,2.58亿,13.42亿,87.65亿,15.02
35,36,300363,博腾股份,47.3,2.03,0.94,0.0,1.63,1.63,2.74,3.83亿,5.00亿,236.38亿,12.28
36,37,002349,精华制药,12.45,1.97,0.24,0.24,3.13,2.62,3.11,3.15亿,8.11亿,101.00亿,45.02
37,38,600222,太龙药业,6.52,1.88,0.12,0.31,1.92,1.7,2.03,0.71亿,5.74亿,37.42亿,--
38,39,600479,千金药业,10.47,1.85,0.19,-0.1,1.1,2.12,2.14,0.48亿,4.19亿,43.82亿,18.04
39,40,000597,东北制药,6.18,1.81,0.11,0.16,1.7,2.72,2.31,1.40亿,13.37亿,82.61亿,51.88
40,41,688193,仁度生物,53.72,1.74,0.92,0.04,2.07,1.41,2.44,0.09亿,0.09亿,4.59亿,67.84
41,42,603858,步长制药,20.53,1.73,0.35,0.2,0.58,1.63,2.18,1.31亿,11.06亿,227.07亿,13.44
42,43,600080,金花股份,8.41,1.69,0.14,0.12,1.61,2.01,2.06,0.50亿,3.73亿,31.39亿,73.97
43,44,002275,桂林三金,14.46,1.54,0.22,0.07,0.48,2.17,1.9,0.38亿,5.54亿,80.06亿,19.64
44,45,002412,汉森制药,6.59,1.54,0.1,0.0,1.12,1.38,1.54,0.36亿,4.94亿,32.53亿,19.12
45,46,002287,奇正藏药,24.73,1.48,0.36,0.16,0.22,2.03,2.22,0.29亿,5.29亿,130.75亿,27.35
46,47,600351,亚宝药业,6.46,1.41,0.09,0.16,1.23,1.63,1.57,0.61亿,7.70亿,49.74亿,34.92
47,48,688189,南新制药,15.84,1.41,0.22,0.0,1.98,1.67,2.62,0.44亿,1.40亿,22.18亿,160.43
48,49,300519,新光药业,17.43,1.4,0.24,0.46,1.47,1.6,1.51,0.29亿,1.14亿,19.89亿,23.40
49,50,603669,灵康药业,6.15,1.32,0.08,0.0,0.34,1.54,1.81,0.15亿,7.12亿,43.81亿,--
50,51,300238,冠昊生物,11.62,1.31,0.15,0.09,1.43,1.63,2.18,0.44亿,2.65亿,30.81亿,--
51,52,002566,益盛药业,8.71,1.28,0.11,-0.12,1.32,1.28,1.63,0.26亿,2.31亿,20.15亿,35.83
52,53,600812,华北制药,6.37,1.27,0.08,0.16,0.62,2.35,1.11,0.64亿,16.31亿,103.88亿,216.07
53,54,000790,华神科技,4.98,1.22,0.06,0.0,1.51,1.72,1.83,0.47亿,6.19亿,30.83亿,90.52
54,55,601607,上海医药,19.09,1.22,0.23,0.0,0.48,2.41,1.7,1.76亿,19.26亿,367.63亿,11.00
55,56,000739,普洛药业,23.4,1.21,0.28,0.13,0.23,0.73,2.85,0.62亿,11.78亿,275.67亿,31.47
56,57,002082,万邦德,9.39,1.19,0.11,0.21,1.18,1.47,1.51,0.40亿,3.60亿,33.82亿,29.36
57,58,600420,国药现代,10.29,1.18,0.12,0.29,0.61,1.51,2.46,0.64亿,10.27亿,105.68亿,19.25
58,59,000590,启迪药业,9.53,1.17,0.11,0.0,1.04,1.38,1.7,0.24亿,2.39亿,22.81亿,109.03
59,60,600267,海正药业,11.34,1.16,0.13,0.18,0.79,1.82,1.52,0.97亿,10.92亿,123.87亿,30.32
60,61,600467,好当家,2.67,1.14,0.03,0.0,1.09,1.38,1.51,0.42亿,14.61亿,39.01亿,57.33
61,62,688399,硕世生物,92.42,1.08,0.99,0.24,0.37,0.82,1.2,0.18亿,0.53亿,48.85亿,2.50
62,63,300832,新产业,61.7,1.06,0.65,-0.28,0.34,0.58,2.29,0.59亿,2.84亿,175.16亿,39.35
63,64,002393,力生制药,24.86,1.02,0.25,0.12,0.58,1.13,1.67,0.26亿,1.82亿,45.36亿,30.46
64,65,002038,双鹭药业,9.04,1.01,0.09,0.0,0.55,1.18,1.79,0.43亿,8.51亿,76.97亿,29.27
65,66,002022,*ST科华,12.32,0.98,0.12,0.0,0.45,1.12,1.64,0.28亿,5.14亿,63.34亿,3.99
66,67,000623,吉林敖东,15.62,0.97,0.15,0.13,0.39,1.73,1.42,0.71亿,11.59亿,181.08亿,15.47
67,68,300273,*ST和佳,2.15,0.94,0.02,0.0,1.17,0.82,1.88,0.17亿,6.81亿,14.65亿,--
68,69,600195,中牧股份,15.21,0.93,0.14,0.13,0.42,0.55,2.52,0.64亿,10.21亿,155.32亿,29.09
69,70,002007,华兰生物,22.03,0.92,0.2,0.18,0.3,0.82,1.24,1.04亿,15.72亿,346.28亿,33.47
70,71,600721,百花医药,6.75,0.9,0.06,0.15,0.66,1.07,1.34,0.17亿,3.78亿,25.49亿,173.88
71,72,603367,辰欣药业,14.91,0.88,0.13,0.13,0.34,0.88,2.1,0.23亿,4.50亿,67.12亿,17.34
72,73,000952,广济药业,8.09,0.87,0.07,0.12,0.76,1.03,1.0,0.19亿,3.06亿,24.79亿,107.89
73,74,002793,罗欣药业,8.17,0.86,0.07,0.0,0.51,1.16,1.24,0.25亿,5.97亿,48.75亿,--
74,75,600789,鲁抗医药,7.09,0.85,0.06,0.14,1.03,1.1,1.56,0.65亿,8.87亿,62.88亿,51.48
75,76,600196,复星医药,34.36,0.85,0.29,0.03,0.53,1.48,0.94,3.84亿,21.18亿,727.65亿,28.06
76,77,600513,联环药业,10.35,0.68,0.07,0.1,0.83,1.17,1.17,0.24亿,2.85亿,29.54亿,22.45
77,78,002422,科伦药业,29.37,0.58,0.17,0.14,0.62,0.82,2.12,2.04亿,11.25亿,330.52亿,22.20
78,79,300142,沃森生物,38.62,0.57,0.22,0.05,0.38,1.03,1.25,2.29亿,15.58亿,601.70亿,87.50
79,80,301087,可孚医疗,38.4,0.55,0.21,0.03,1.42,1.15,1.21,0.48亿,0.88亿,33.77亿,35.85
80,81,603811,诚意药业,16.01,0.5,0.08,0.19,0.72,0.64,1.32,0.27亿,2.34亿,37.43亿,27.38
81,82,301277,新天地,31.92,0.47,0.15,0.06,3.02,0.86,1.26,0.31亿,0.32亿,10.10亿,35.76
82,83,688289,圣湘生物,23.6,0.47,0.11,0.21,0.77,1.01,0.89,0.53亿,2.93亿,69.16亿,6.52
83,84,688068,热景生物,61.39,0.46,0.28,0.1,0.67,0.81,0.88,0.38亿,0.92亿,56.51亿,3.85
84,85,300942,易瑞生物,17.57,0.4,0.07,0.23,1.71,1.09,1.14,0.31亿,1.04亿,18.31亿,35.60
85,86,000915,华特达因,43.5,0.39,0.17,0.12,0.45,0.4,1.27,0.46亿,2.34亿,101.88亿,19.64
86,87,600223,鲁商发展,12.09,0.33,0.04,0.08,0.7,0.61,1.58,0.86亿,10.17亿,122.90亿,59.94
87,88,300318,博晖创新,6.13,0.33,0.02,0.16,0.53,1.38,1.31,0.26亿,7.97亿,48.83亿,--
88,89,688166,博瑞医药,24.73,0.28,0.07,0.53,0.39,0.9,1.34,0.40亿,4.10亿,101.39亿,39.65
89,90,000513,丽珠集团,35.1,0.26,0.09,-0.06,0.6,1.15,1.34,1.27亿,6.06亿,212.66亿,16.34
90,91,301207,华兰疫苗,47.81,0.25,0.12,0.19,1.71,0.9,1.47,0.29亿,0.36亿,17.22亿,28.42
91,92,000661,长春高新,201.4,0.25,0.5,0.08,0.5,0.94,2.14,4.05亿,4.02亿,809.67亿,17.64
92,93,002742,ST三圣,4.31,0.23,0.01,0.0,0.53,0.71,0.93,0.09亿,4.12亿,17.77亿,--
93,94,002755,奥赛康,8.88,0.23,0.02,0.0,0.26,0.74,1.69,0.22亿,9.28亿,82.42亿,--
94,95,600201,生物股份,12.11,0.17,0.02,-0.08,0.6,0.48,1.74,0.81亿,11.20亿,135.68亿,48.44
95,96,688767,博拓生物,48.74,0.16,0.08,-0.04,0.8,1.04,0.76,0.15亿,0.39亿,19.06亿,4.41
96,97,002923,润都股份,18.65,0.16,0.03,0.0,2.12,1.3,1.4,0.73亿,1.84亿,34.31亿,32.92
