,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300086,康芝药业,7.15,5.77,0.39,-0.14,10.53,5.92,9.17,3.25亿,4.36亿,31.15亿,--
1,2,002734,利民股份,12.5,3.65,0.44,-0.56,7.73,1.86,9.12,3.15亿,3.25亿,40.61亿,19.51
2,3,002762,金发拉比,12.85,2.8,0.35,-0.31,16.87,2.7,6.24,4.34亿,2.01亿,25.84亿,330.97
3,4,000635,英力特,11.9,2.41,0.28,-0.25,15.88,14.87,11.62,5.82亿,3.03亿,36.07亿,--
4,5,600315,上海家化,33.08,2.13,0.69,0.0,0.7,1.47,2.93,1.55亿,6.73亿,222.69亿,53.77
5,6,603200,上海洗霸,29.91,1.91,0.56,0.13,10.09,2.11,5.66,5.26亿,1.74亿,51.93亿,74.46
6,7,002223,鱼跃医疗,30.38,1.88,0.56,-0.03,1.11,2.05,2.31,3.16亿,9.38亿,284.91亿,20.12
7,8,000650,仁和药业,6.51,1.72,0.11,0.0,2.72,2.92,2.5,2.37亿,13.42亿,87.39亿,14.97
8,9,000908,景峰医药,3.34,1.52,0.05,0.0,1.13,2.02,1.52,0.29亿,7.82亿,26.12亿,--
9,10,300430,诚益通,15.38,1.52,0.23,0.07,0.47,1.17,2.64,0.18亿,2.56亿,39.43亿,41.88
10,11,002644,佛慈制药,9.95,1.43,0.14,0.0,0.65,2.26,1.73,0.33亿,5.11亿,50.81亿,72.07
11,12,002864,盘龙药业,38.02,1.36,0.51,-0.05,7.33,2.46,3.09,1.51亿,0.54亿,20.58亿,31.71
12,13,002118,紫鑫药业,2.36,1.29,0.03,0.0,1.61,2.4,2.15,0.48亿,12.81亿,30.22亿,--
13,14,001316,润贝航科,40.75,1.12,0.45,-0.05,5.78,3.03,3.55,0.47亿,0.20亿,8.15亿,40.73
14,15,600955,维远股份,25.18,1.08,0.27,0.0,0.52,1.55,2.09,0.48亿,3.65亿,91.88亿,21.15
15,16,300132,青松股份,7.86,1.03,0.08,0.13,0.54,0.64,1.93,0.21亿,4.92亿,38.67亿,--
16,17,603867,新化股份,37.89,0.93,0.35,0.08,0.9,0.78,2.64,0.62亿,1.85亿,69.96亿,21.14
17,18,000615,奥园美谷,7.77,0.91,0.07,0.0,1.55,1.06,2.08,0.92亿,7.62亿,59.17亿,--
18,19,600587,新华医疗,29.7,0.75,0.22,0.03,1.18,0.74,2.65,1.41亿,4.03亿,119.83亿,21.85
19,20,600789,鲁抗医药,7.08,0.71,0.05,0.0,0.95,1.23,1.56,0.60亿,8.87亿,62.79亿,51.41
20,21,000915,华特达因,43.63,0.69,0.3,0.21,0.39,0.42,1.27,0.40亿,2.34亿,102.19亿,19.70
21,22,300422,博世科,6.24,0.48,0.03,-0.32,0.31,0.85,1.29,0.08亿,3.84亿,23.96亿,--
22,23,600673,东阳光,9.29,0.43,0.04,-0.11,0.18,1.03,1.08,0.51亿,29.95亿,278.25亿,29.36
23,24,002584,西陇科学,7.35,0.41,0.03,-0.14,2.46,1.58,1.91,0.74亿,4.06亿,29.86亿,32.13
24,25,002748,世龙实业,13.31,0.38,0.05,-0.08,2.46,0.72,3.02,0.78亿,2.40亿,31.94亿,18.73
25,26,001218,丽臣实业,22.03,0.36,0.08,-0.09,0.54,0.92,0.91,0.08亿,0.70亿,15.43亿,26.87
26,27,600141,兴发集团,31.05,0.36,0.11,0.06,0.45,0.97,0.94,1.55亿,11.05亿,343.23亿,5.27
27,28,601678,滨化股份,5.65,0.35,0.02,-0.18,0.35,0.95,1.24,0.41亿,20.58亿,116.28亿,8.60
28,29,002636,金安国纪,8.93,0.34,0.03,0.34,0.25,0.86,1.24,0.16亿,7.23亿,64.57亿,127.32
29,30,600691,阳煤化工,3.35,0.3,0.01,-0.3,0.14,1.14,1.2,0.11亿,23.76亿,79.58亿,31.16
30,31,600623,华谊集团,6.92,0.29,0.02,0.0,0.15,0.85,0.72,0.19亿,18.62亿,128.86亿,9.72
31,32,300267,尔康制药,3.74,0.27,0.01,-0.27,1.55,1.18,1.34,0.83亿,14.21亿,53.15亿,159.33
32,33,600273,嘉化能源,8.93,0.23,0.02,0.0,0.31,0.88,1.01,0.39亿,14.02亿,125.19亿,7.38
33,34,600618,氯碱化工,10.56,0.19,0.02,-0.1,0.19,0.86,0.95,0.15亿,7.50亿,79.18亿,8.04
34,35,300109,新开源,27.2,0.18,0.05,-0.22,0.91,0.95,2.06,0.65亿,2.62亿,71.14亿,23.81
35,36,002900,哈三联,13.71,0.15,0.02,0.07,0.72,1.07,0.95,0.16亿,1.65亿,22.66亿,152.57
36,37,603213,镇洋发展,15.84,0.13,0.02,0.19,1.18,0.73,1.39,0.29亿,1.56亿,24.68亿,16.28
37,38,002385,大北农,8.3,0.12,0.01,-0.12,1.46,0.83,0.96,3.98亿,32.94亿,273.44亿,--
38,39,301256,华融化学,9.28,0.11,0.01,0.11,1.66,1.02,1.73,0.18亿,1.20亿,11.14亿,44.15
39,40,600538,国发股份,4.87,0.0,0.0,-0.21,0.51,0.98,1.03,0.13亿,5.10亿,24.85亿,58.28
40,41,002092,中泰化学,8.54,-0.12,-0.01,0.0,0.67,0.76,1.87,1.48亿,25.76亿,219.95亿,14.42
41,42,002637,赞宇科技,13.05,-0.15,-0.02,0.08,0.22,0.88,1.3,0.11亿,3.96亿,51.63亿,61.07
42,43,000698,沈阳化工,5.08,-0.2,-0.01,-0.2,0.71,0.67,0.79,0.28亿,7.86亿,39.91亿,--
43,44,301212,联盛化学,37.39,-0.27,-0.1,-0.03,2.15,0.85,0.83,0.22亿,0.27亿,10.10亿,21.25
44,45,002002,鸿达兴业,3.09,-0.32,-0.01,0.0,0.6,0.86,0.97,0.57亿,30.95亿,95.64亿,25.20
45,46,002741,光华科技,22.19,-0.49,-0.11,-0.09,1.23,2.61,4.48,0.95亿,3.42亿,76.00亿,61.90
46,47,000830,鲁西化工,14.16,-0.56,-0.08,0.0,0.42,0.71,1.61,0.88亿,14.64亿,207.31亿,6.54
47,48,603360,百傲化学,17.59,-0.56,-0.1,-0.11,0.3,0.63,1.36,0.13亿,2.55亿,44.93亿,10.17
48,49,300343,联创股份,11.13,-0.62,-0.07,0.09,1.44,1.18,1.25,1.49亿,9.31亿,103.58亿,10.53
49,50,600409,三友化工,7.14,-0.69,-0.05,0.0,0.27,0.87,0.97,0.39亿,20.64亿,147.40亿,11.63
50,51,300437,清水源,19.03,-0.78,-0.15,-0.05,1.15,0.75,1.82,0.39亿,1.78亿,33.84亿,32.92
51,52,000523,广州浪奇,3.76,-0.79,-0.03,0.0,0.65,0.68,2.9,0.34亿,13.77亿,51.77亿,--
52,53,300586,美联新材,19.72,-0.85,-0.17,-0.1,0.9,0.89,2.16,0.69亿,3.89亿,76.69亿,31.00
