,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300678,中科信息,22.07,1.71,0.37,0.23,6.28,1.5,3.69,1.71亿,1.25亿,27.56亿,155.50
1,2,600235,民丰特纸,5.96,0.51,0.03,0.0,0.55,1.13,0.84,0.11亿,3.51亿,20.94亿,96.93
2,3,600830,香溢融通,6.48,0.47,0.03,0.16,0.74,1.19,1.4,0.22亿,4.54亿,29.44亿,111.91
3,4,603429,集友股份,11.44,0.35,0.04,-0.09,0.3,0.68,1.05,0.18亿,5.24亿,60.00亿,38.85
4,5,002161,远望谷,5.88,0.34,0.02,0.17,1.13,1.01,2.05,0.47亿,7.12亿,41.89亿,--
5,6,603867,新化股份,37.67,0.32,0.12,0.19,0.79,0.73,2.05,0.54亿,1.85亿,69.53亿,21.02
6,7,002191,劲嘉股份,8.11,0.12,0.01,0.0,0.86,0.91,0.99,1.00亿,14.30亿,115.95亿,15.28
7,8,002812,恩捷股份,137.23,0.02,0.03,-0.08,0.6,1.61,3.41,6.09亿,7.42亿,1018.31亿,28.47
8,9,603020,爱普股份,10.55,0.0,0.0,0.1,0.32,1.0,1.14,0.13亿,3.79亿,40.03亿,26.65
9,10,601515,东风股份,4.7,0.0,0.0,0.21,0.49,0.56,0.85,0.43亿,18.43亿,86.62亿,22.76
10,11,300195,长荣股份,6.26,0.0,0.0,-0.16,0.59,0.79,1.6,0.12亿,3.13亿,19.62亿,681.88
11,12,301220,亚香股份,46.56,-0.04,-0.02,-0.11,3.67,0.78,2.62,0.32亿,0.19亿,8.90亿,28.44
12,13,002836,新宏泽,10.92,-0.09,-0.01,0.0,0.64,0.68,1.1,0.13亿,1.92亿,20.97亿,17.05
13,14,300741,华宝股份,25.51,-0.12,-0.03,-0.04,0.11,0.58,0.9,0.17亿,6.16亿,157.11亿,22.05
14,15,603607,京华激光,15.58,-0.26,-0.04,-0.13,0.4,0.75,1.6,0.11亿,1.79亿,27.81亿,21.76
15,16,603687,大胜达,10.63,-0.28,-0.03,0.38,3.77,1.3,3.0,1.68亿,4.19亿,44.59亿,44.23
16,17,000812,陕西金叶,6.68,-0.45,-0.03,0.0,2.12,0.8,1.34,1.09亿,7.68亿,51.31亿,69.77
17,18,300883,龙利得,6.61,-0.45,-0.03,-0.15,0.54,0.81,1.05,0.08亿,2.36亿,15.62亿,68.70
18,19,600356,恒丰纸业,8.55,-0.47,-0.04,-0.12,0.34,0.69,1.4,0.09亿,2.99亿,25.54亿,20.24
19,20,603058,永吉股份,8.28,-0.48,-0.04,0.24,0.28,0.79,1.44,0.10亿,4.19亿,34.66亿,--
20,21,002012,凯恩股份,6.24,-0.64,-0.04,0.0,2.23,0.62,1.75,0.65亿,4.67亿,29.11亿,33.88
21,22,300125,聆达股份,22.68,-0.66,-0.15,0.04,2.02,0.65,3.2,1.22亿,2.64亿,59.78亿,--
22,23,002565,顺灏股份,4.37,-0.68,-0.03,0.0,1.24,0.86,1.36,0.57亿,10.56亿,46.13亿,--
23,24,300886,华业香料,26.44,-0.79,-0.21,-0.08,0.86,1.12,2.59,0.08亿,0.33亿,8.76亿,66.46
24,25,600433,冠豪高新,4.58,-0.87,-0.04,0.0,0.42,1.27,1.73,0.28亿,14.39亿,65.93亿,25.21
25,26,301311,昆船智能,20.61,-1.29,-0.27,0.54,5.92,1.41,2.49,0.69亿,0.57亿,11.73亿,64.21
26,27,301223,中荣股份,21.38,-1.52,-0.33,-0.09,5.03,0.84,1.7,0.49亿,0.46亿,9.79亿,20.02
27,28,002951,金时科技,11.94,-2.13,-0.26,0.25,1.74,0.9,1.64,0.84亿,4.05亿,48.36亿,1063.85
28,29,603733,仙鹤股份,29.73,-3.72,-1.15,0.27,0.22,1.39,3.17,0.46亿,7.06亿,209.89亿,27.76
